contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Bloeiend Hillegom,CDA,BEVOLKINGSBELANGEN HILLEGOM (BBH),GROENLINKS,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66)
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,Stembureau Hotel Flora,0534::SB1,2181 EB,1715,1337,6,7,0,0,0,1214,136,0,0,0,0,0,0,1350,156,185,199,444,98,85,170
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,"Stembureau Verenigingsgebouw ""De Drempel""",0534::SB2,2182 EM,1580,618,4,3,0,0,0,559,66,0,0,0,0,0,0,625,78,93,118,169,67,41,52
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,Stembureau Basisschool Hilmare,0534::SB3,2181 SB,1610,719,3,3,0,0,0,669,56,0,0,0,0,0,0,725,75,85,116,216,62,69,96
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,Stembureau De Hoeksteen,0534::SB4,2182 XC,1429,945,4,1,0,0,0,833,117,0,0,0,0,0,0,950,141,137,181,264,88,39,95
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,Stembureau Zorgcentrum Parkwijk,0534::SB5,2181 DB,1397,639,1,1,0,0,0,592,49,0,0,0,0,0,0,641,105,94,108,192,36,29,75
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,Stembureau Zorgcentrum Bloemswaard,0534::SB6,2181 LA,1559,849,0,2,0,0,0,785,66,0,0,0,0,0,0,851,83,123,151,283,77,59,73
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,Stembureau Basisschool De Leerwinkel,0534::SB7,2181 VD,915,499,0,1,0,0,0,455,45,0,0,0,0,0,0,500,70,58,77,184,31,36,43
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,Stembureau Basisschool De Giraf,0534::SB8,2182 WB,1193,845,0,4,0,0,0,847,2,0,0,0,0,0,0,849,82,123,128,289,63,81,79
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,Stembureau Basisschool De Tourmalijn,0534::SB9,2182 TZ,1610,840,3,2,0,0,0,781,64,0,0,0,0,0,0,845,96,96,154,267,68,58,101
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,Stembureau Basisschool De Giraf,0534::SB10,2182 WB,1251,497,0,1,0,0,0,450,48,0,0,0,0,0,0,498,40,67,47,194,55,36,58
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,Stembureau Verenigingsgebouw Patrimonium,0534::SB11,2181 GK,1109,391,1,1,0,0,0,346,47,0,0,0,0,0,0,393,48,40,54,143,72,19,15
,Hillegom,GR2014_Hillegom,Gemeenteraad Hillegom 2014,0534,Hillegom,2014-03-19,Stembureau Skicentrum Hillegom,0534::SB12,2181 CD,1384,735,2,1,0,0,0,650,88,0,0,0,0,0,0,738,148,92,106,203,56,35,95
