contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Progressief Ermelo,BurgerBelangen Ermelo,ChristenUnie,VVD,Staatkundig Gereformeerde Partij (SGP),Gelovig Democratische Unie (G.D.U.),Groep Hop
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,Stembureau Bejaardentehuis De Dillenburg,0233::SB1,3851 PW,1389,875,0,2,0,0,0,794,83,0,0,0,0,0,0,877,285,121,151,120,117,68,1,12
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,"Stembureau Chr.Ger.Kerk ""De Voorhof""",0233::SB2,3851 XA,1542,978,1,1,0,0,0,862,118,0,0,0,0,0,0,980,223,163,115,110,253,83,2,29
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,Stembureau Gemeentehuis,0233::SB3,3851 NT,1569,1237,2,3,1,2,0,1141,104,0,0,0,3,0,0,1245,327,267,188,165,152,108,3,27
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,Stembureau Rehobothkerk,0233::SB4,3851 LH,1203,922,0,4,0,0,0,867,59,0,0,0,0,0,0,926,285,164,137,111,94,102,3,26
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,Stembureau Sporthal Dindoa,0233::SB5,3850 AD,1197,477,0,0,0,1,0,429,49,0,0,0,1,0,0,478,152,90,67,49,44,55,4,16
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,Stembureau De Baanveger,0233::SB6,3851 CP,1308,785,3,2,0,0,0,721,69,0,0,0,0,0,0,790,215,137,140,133,68,62,3,27
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,"Stembureau PCB ""Koningin Juliana""",0233::SB7,3853 VA,1367,890,1,1,0,0,0,820,72,0,0,0,0,0,0,892,246,237,136,124,76,47,5,19
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,"Stembureau PCB ""De Klokbeker""",0233::SB8,3851 BL,1325,844,3,3,0,0,0,760,90,0,0,0,0,0,0,850,183,176,110,156,66,127,3,23
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,Stembureau Het Theehuis 's Heeren Loo,0233::SB9,3853 HM,1314,513,3,0,0,0,0,463,53,0,0,0,0,0,0,516,164,70,76,69,50,65,10,9
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,"Stembureau Verenigingsgebouw ""Ons Huis""",0233::SB10,3853 LN,1248,782,0,2,0,1,0,688,97,0,0,0,1,0,0,785,347,75,40,67,61,166,1,25
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,Stembureau RK Kerk,0233::SB11,3852 XB,1635,978,1,0,0,1,0,890,90,0,0,0,1,0,0,980,256,191,155,112,159,81,6,18
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,"Stembureau OBS ""De Arendshorst""",0233::SB12,3853 CA,928,705,2,1,0,0,0,646,62,0,0,0,0,0,0,708,157,196,96,123,79,38,5,11
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,"Stembureau Sporthal ""Triade""",0233::SB13,3852 ZX,1537,1128,4,3,0,2,0,1033,104,0,0,0,2,0,0,1137,296,244,172,170,156,71,3,16
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,Stembureau SmdB Speulderbrink,0233::SB14,3852 NH,571,368,1,0,0,0,0,327,42,0,0,0,0,0,0,369,80,17,20,39,26,177,1,8
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,Stembureau Westerkerk,0233::SB15,3853 JS,1669,1036,2,0,0,2,0,951,89,0,0,0,2,0,0,1040,291,247,151,186,83,54,1,23
,Ermelo,GR2014_Ermelo,Gemeenteraad Ermelo 2014,0233,Ermelo,2014-03-19,Stembureau Henriëtte van Heemstrahuis,0233::SB16,3851 WB,1101,476,1,1,0,0,0,437,41,0,0,0,0,0,0,478,110,119,71,75,41,52,2,6
