contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie - SGP,"PROgressief 21 (D66, GroenLinks, PvdA)",VVD,De Lokale Partij
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau Stadhuis (dependance),0267::SB1,3861 AK,1712,975,3,5,1,0,0,886,98,0,0,0,1,0,0,984,299,218,158,105,195
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau verpleeghuis Zilverschoon,0267::SB2,3862 JN,1552,972,1,7,0,1,0,881,98,0,0,1,0,0,0,979,299,294,123,141,115
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau De Schakel,0267::SB3,3862 CX,1762,954,0,3,0,0,0,849,108,0,0,0,0,0,0,957,310,254,139,103,148
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau verzorgingshuis Sint Jozef,0267::SB4,3861 CK,1785,950,0,3,0,0,0,874,79,0,0,0,0,0,0,953,329,157,180,114,170
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau Hervormd verenigingsgebouw,0267::SB5,3861 EG,1605,971,1,7,0,0,0,868,111,0,0,0,0,0,0,979,276,207,167,109,212
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau openbare basisschool Corlaer,0267::SB6,3863 AZ,1210,739,1,2,0,0,0,665,77,0,0,0,0,0,0,742,227,129,117,107,159
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau Wijkcentrum  Corlaer,0267::SB7,3863 BZ,1241,732,2,2,0,0,0,650,86,0,0,0,0,0,0,736,230,159,134,103,106
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau school Holk,0267::SB8,3863 EN,2294,890,0,1,0,0,0,814,77,0,0,0,0,0,0,891,252,183,164,123,168
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau school De Hoeksteen,0267::SB9,3863 HS,1237,668,0,0,0,0,0,604,64,0,0,0,0,0,0,668,147,192,104,106,119
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau school  De Open Kring,0267::SB11,3862 HN,1443,871,1,7,0,2,0,780,101,0,0,0,2,0,0,881,248,309,110,84,120
