contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,DGS-BVT ROOI,Christen Democratisch Appèl (CDA),VVD,Hart voor Rooi,Roois Burger Belang
,Sint-Oedenrode,GR2014_SintOedenrode,Gemeenteraad Sint-Oedenrode 2014,0846,Sint-Oedenrode,2014-03-19,Stembureau Kasteel-Raadhuis Dommelrode,0846::SB1,5492 GD,1212,718,4,2,0,0,0,654,70,0,0,0,0,0,0,724,144,165,154,221,34
,Sint-Oedenrode,GR2014_SintOedenrode,Gemeenteraad Sint-Oedenrode 2014,0846,Sint-Oedenrode,2014-03-19,Stembureau Zorgcentrum Odendael,0846::SB2,5492 CT,1522,902,6,3,0,0,0,854,57,0,0,0,0,0,0,911,247,266,100,245,44
,Sint-Oedenrode,GR2014_SintOedenrode,Gemeenteraad Sint-Oedenrode 2014,0846,Sint-Oedenrode,2014-03-19,Stembureau Basisschool Dommelrode,0846::SB3,5492 BJ,1224,512,8,2,0,0,0,458,64,0,0,0,0,0,0,522,104,137,110,139,22
,Sint-Oedenrode,GR2014_SintOedenrode,Gemeenteraad Sint-Oedenrode 2014,0846,Sint-Oedenrode,2014-03-19,Stembureau Wijkcentrum Eerschot,0846::SB4,5491 BC,1616,755,4,1,0,0,0,689,71,0,0,0,0,0,0,760,189,156,204,187,19
,Sint-Oedenrode,GR2014_SintOedenrode,Gemeenteraad Sint-Oedenrode 2014,0846,Sint-Oedenrode,2014-03-19,Stembureau Basisschool Eerschot,0846::SB5,5491 AB,1201,648,2,2,0,0,0,576,76,0,0,0,0,0,0,652,115,173,193,142,25
,Sint-Oedenrode,GR2014_SintOedenrode,Gemeenteraad Sint-Oedenrode 2014,0846,Sint-Oedenrode,2014-03-19,Stembureau Kantine brandweerkazerne,0846::SB6,5491 GD,1733,1115,8,3,0,0,0,1027,100,0,1,0,1,0,0,1127,280,229,241,306,59
,Sint-Oedenrode,GR2014_SintOedenrode,Gemeenteraad Sint-Oedenrode 2014,0846,Sint-Oedenrode,2014-03-19,Stembureau Basisschool Kienehoef,0846::SB7,5491 JD,1707,868,6,4,0,0,0,798,80,0,0,0,0,0,0,878,213,122,196,274,63
,Sint-Oedenrode,GR2014_SintOedenrode,Gemeenteraad Sint-Oedenrode 2014,0846,Sint-Oedenrode,2014-03-19,Stembureau EHBO-lokaal Boskant,0846::SB8,5492 EC,1148,582,2,2,0,0,0,520,66,0,0,0,0,0,0,586,194,153,125,90,20
,Sint-Oedenrode,GR2014_SintOedenrode,Gemeenteraad Sint-Oedenrode 2014,0846,Sint-Oedenrode,2014-03-19,Stembureau MFA De Loop'r,0846::SB9,5491 XP,823,460,2,1,0,0,0,422,41,0,0,0,0,0,0,463,109,162,111,57,21
,Sint-Oedenrode,GR2014_SintOedenrode,Gemeenteraad Sint-Oedenrode 2014,0846,Sint-Oedenrode,2014-03-19,Stembureau Zalencentrum De Beckart,0846::SB10,5492 HT,1927,953,12,5,0,0,0,856,114,0,0,0,0,0,0,970,144,433,188,149,39
