contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),P.B.B.,SP (Socialistische Partij),VVD,CDA,GROENLINKS,Westerwolde Lokaal
,Bellingwedde,GR2014_Bellingwedde,Gemeenteraad Bellingwedde 2014,0007,Bellingwedde,2014-03-19,Stembureau Streekmuseum De Oude Wolden,0007::SB1,9695 AE,509,329,2,0,0,0,0,298,33,0,0,0,0,0,0,331,51,33,91,46,48,45,15
,Bellingwedde,GR2014_Bellingwedde,Gemeenteraad Bellingwedde 2014,0007,Bellingwedde,2014-03-19,Stembureau Steunstee Reiderstee,0007::SB2,9695 GD,897,437,6,2,0,0,0,399,46,0,0,0,0,0,0,445,81,34,191,36,37,42,16
,Bellingwedde,GR2014_Bellingwedde,Gemeenteraad Bellingwedde 2014,0007,Bellingwedde,2014-03-19,Stembureau Brandweerkazerne,0007::SB3,9695 BA,761,443,4,3,0,0,0,416,34,0,0,0,0,0,0,450,87,35,105,77,60,57,22
,Bellingwedde,GR2014_Bellingwedde,Gemeenteraad Bellingwedde 2014,0007,Bellingwedde,2014-03-19,Stembureau Buurthuis De Brug,0007::SB4,9695 CJ,555,281,1,3,0,0,0,259,26,0,0,0,0,0,0,285,42,38,75,35,26,43,22
,Bellingwedde,GR2014_Bellingwedde,Gemeenteraad Bellingwedde 2014,0007,Bellingwedde,2014-03-19,Stembureau Kerkje,0007::SB5,9696 XN,146,117,1,0,0,0,0,107,11,0,0,0,0,0,0,118,19,4,30,31,13,17,3
,Bellingwedde,GR2014_Bellingwedde,Gemeenteraad Bellingwedde 2014,0007,Bellingwedde,2014-03-19,Stembureau Buurthuis 't Ganzenust,0007::SB6,9699 SE,676,383,4,0,0,0,0,348,39,0,0,0,0,0,0,387,80,41,108,37,61,35,21
,Bellingwedde,GR2014_Bellingwedde,Gemeenteraad Bellingwedde 2014,0007,Bellingwedde,2014-03-19,Stembureau MFA Noabershoes,0007::SB7,9566 PL,542,265,2,1,0,0,0,245,23,0,0,0,0,0,0,268,53,51,64,14,28,35,20
,Bellingwedde,GR2014_Bellingwedde,Gemeenteraad Bellingwedde 2014,0007,Bellingwedde,2014-03-19,Stembureau De Blanckenborg,0007::SB8,9697 RJ,824,431,2,3,0,0,0,414,22,0,0,0,0,0,0,436,151,24,95,43,51,30,37
,Bellingwedde,GR2014_Bellingwedde,Gemeenteraad Bellingwedde 2014,0007,Bellingwedde,2014-03-19,Stembureau cbs De Loopplank,0007::SB9,9697 NS,405,279,4,2,0,0,0,248,37,0,0,0,0,0,0,285,30,24,72,47,55,28,23
,Bellingwedde,GR2014_Bellingwedde,Gemeenteraad Bellingwedde 2014,0007,Bellingwedde,2014-03-19,Stembureau Gemeentehuis,0007::SB10,9698 AE,871,534,3,1,0,0,0,492,46,0,0,0,0,0,0,538,130,23,129,58,65,97,32
,Bellingwedde,GR2014_Bellingwedde,Gemeenteraad Bellingwedde 2014,0007,Bellingwedde,2014-03-19,Stembureau Zalencentrum Het Oude Wapen,0007::SB11,9697 NL,1194,692,12,2,0,0,0,642,64,0,0,0,0,0,0,706,129,48,156,107,128,64,60
