contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Wat Wassenaar Wil,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,Passie voor Wassenaar,DLW-Democratische Liberalen Wassenaar,Hart voor Wassenaar
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Raadhuis De Paauw,0629::SB1,,1336,807,1,1,0,0,0,809,0,0,0,0,0,0,0,809,189,121,138,100,29,51,91,74,14
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Bloemcampschool,0629::SB2,,1611,1141,9,4,0,0,0,1154,0,0,0,0,0,0,0,1154,477,133,92,123,14,49,144,97,12
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Buurtcentr. Charlottestr.,0629::SB3,,1267,663,5,1,0,0,0,669,0,0,0,0,0,0,0,669,112,75,118,65,45,107,45,53,43
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Woonzorgcentrum Van Ommerenpark 200,0629::SB4,2243 EX,1511,875,2,5,0,0,0,882,0,0,0,0,0,0,0,882,359,129,132,57,9,22,109,42,16
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Ridderhof,0629::SB5,,1457,888,5,3,0,0,0,896,0,0,0,0,0,0,0,896,136,145,189,161,45,47,71,59,35
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Sophiekehuis,0629::SB6,,1355,738,4,5,0,0,0,747,0,0,0,0,0,0,0,747,124,115,165,85,41,57,57,49,45
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Herenwegschool,0629::SB7,,1235,921,3,2,0,0,0,926,0,0,0,0,0,0,0,926,209,125,178,145,20,60,76,60,48
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Den Deylschool,0629::SB8,,1348,855,8,6,0,0,0,869,0,0,0,0,0,0,0,869,160,147,136,137,34,86,48,76,31
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Duinstede,0629::SB9,,1446,798,3,7,0,0,0,808,0,0,0,0,0,0,0,808,103,72,155,131,57,95,60,70,55
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,"Stembureau gebouw 'Sion', naast St Jozef Kerk",0629::SB10,,1066,651,6,6,0,0,0,663,0,0,0,0,0,0,0,663,64,97,144,83,52,67,35,55,54
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Gemeentekantoor,0629::SB11,,1390,874,19,6,0,0,0,899,0,0,0,0,0,0,0,899,109,98,204,89,58,96,62,63,95
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Buurtcentr. Oostdorp,0629::SB12,,1202,603,6,5,0,0,0,614,0,0,0,0,0,0,0,614,52,53,175,40,41,56,55,52,79
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Buurtcentrum,0629::SB13,,1322,704,7,12,0,0,0,723,0,0,0,0,0,0,0,723,89,107,161,62,50,65,57,57,56
,Wassenaar,GR2014_Wassenaar,Gemeenteraad Wassenaar 2014,0629,Wassenaar,2014-03-19,Stembureau Buurtcentrum,0629::SB14,,1979,917,8,4,0,0,0,929,0,0,0,0,0,0,0,929,121,103,182,105,79,119,79,65,64
