contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij,19
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ulrum,1663::SB1,,1284,928,1,2,285,142,78,122,99,22,129,22,5,16,0,2,4,0,0,1,1
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Vierhuizen,1663::SB2,,316,256,1,3,53,45,27,64,25,7,10,12,7,1,0,1,4,0,0,0,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zoutkamp,1663::SB3,,941,667,0,1,120,149,58,97,147,43,20,18,3,1,0,11,0,0,0,0,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Houwerzijl,1663::SB4,,191,180,0,0,24,51,18,15,16,24,8,8,3,10,0,1,1,0,1,0,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wehe-den Hoorn,1663::SB5,,644,500,1,1,62,155,70,60,76,30,16,22,7,0,0,1,0,0,1,0,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Leens,1663::SB6,,1349,1067,1,3,221,186,73,127,109,56,241,16,22,10,0,1,3,0,1,1,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zuurdijk,1663::SB7,,131,110,0,0,5,19,7,25,14,17,10,4,9,0,0,0,0,0,0,0,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Warfhuizen,1663::SB8,,192,142,0,1,15,33,17,13,19,31,1,5,8,0,0,0,0,0,0,0,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Schouwerzijl,1663::SB9,,96,96,1,0,13,28,6,8,3,21,11,5,1,0,0,0,0,0,0,0,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Mensingeweer,1663::SB10,,145,119,0,0,20,32,19,9,6,18,6,7,2,0,0,0,0,0,0,0,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Kloosterburen,1663::SB11,,758,535,0,0,97,125,66,90,67,39,11,20,9,0,1,6,2,0,0,2,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Kruisweg,1663::SB12,,462,357,0,0,49,105,57,63,35,19,5,5,11,0,0,2,5,0,0,1,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Eenrum,1663::SB13,,1209,941,0,5,44,392,133,140,67,86,6,41,22,0,0,6,2,0,1,1,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Pieterburen,1663::SB14,,366,289,0,0,21,89,33,61,10,42,11,9,9,0,0,1,2,0,0,1,0
Groningen,De Marne,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Westernieland,1663::SB15,,211,192,0,0,21,37,31,22,23,22,17,8,6,1,0,2,1,0,1,0,0
