contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zandvoorts Museum,0473::SB1,,1267,1052,0,2,63,152,63,414,192,51,0,73,21,0,0,7,3,4,0,9
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Strandhotel Sunparcs Zandvoort,0473::SB2,,1274,916,1,0,71,111,57,345,208,43,5,49,16,0,0,4,4,0,1,2
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Oranje Nassauschool,0473::SB3,,1438,1190,0,0,92,165,42,499,191,57,4,84,34,0,0,9,5,1,2,5
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Voormalig VVV kantoor,0473::SB4,,1280,1040,1,0,81,146,72,361,218,49,0,73,25,0,0,7,4,3,1,0
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Rode Kruisgebouw,0473::SB5,,1604,1103,0,1,77,209,92,290,251,66,1,77,18,1,0,11,5,2,0,3
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau ""De School"" voorheen Geref. Kerk",0473::SB6,,1080,774,1,2,50,90,38,376,95,39,6,60,13,0,0,2,3,0,0,2
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Stichting Pluspunt Zandvoort (A),0473::SB7,,2240,785,0,3,44,155,90,163,200,62,0,44,14,0,0,2,4,0,0,7
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zorgcentrum,0473::SB8,,1009,650,2,3,82,117,40,196,121,30,4,36,17,0,0,0,5,0,2,0
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Nieuw-Unicum,0473::SB9,,168,134,0,0,14,38,26,15,11,12,5,7,2,2,0,0,0,0,0,2
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Stichting A.G.Bodaan,0473::SB10,,797,657,2,1,76,55,11,375,28,25,7,64,14,0,0,1,1,0,0,0
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Stichting Pluspunt Zandvoort (B),0473::SB11,,0,783,0,2,47,164,91,155,211,54,2,34,12,0,0,11,2,0,0,0
Haarlem,Zandvoort,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Station NS,0473::SB12,,1075,919,0,0,55,157,74,293,187,50,5,70,16,1,0,2,7,1,1,0
