contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woonzorgcentrum St.Agnes,0396::SB1,,1914,1069,0,1,160,250,110,141,224,90,14,49,18,1,0,8,2,0,0,2
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verpleeghuis Meerstate,0396::SB2,,1778,1495,1,4,155,299,148,312,264,127,26,110,29,4,1,10,6,0,2,2
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau RKBS De Otterkolken,0396::SB3,,1924,1474,1,2,149,321,178,296,254,109,20,104,29,0,2,5,7,0,0,0
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau OBS De Zevenhoeven,0396::SB4,,1974,1445,0,1,219,326,144,270,197,120,19,119,13,0,0,10,8,0,0,0
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Kantine Brandweerkazerne,0396::SB5,,1676,1101,0,2,159,253,145,167,200,75,15,59,17,1,0,5,3,0,0,2
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Buurthuis de Schuilhoek,0396::SB6,,1568,1045,0,5,155,178,119,201,182,82,16,71,21,1,0,11,4,0,2,2
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Raadhuis,0396::SB7,,2047,1633,1,2,281,306,164,347,252,115,6,109,23,1,2,10,12,0,2,3
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woongroep van Ouderen Burisbeek,0396::SB8,,1749,1382,2,0,198,212,145,317,225,111,34,88,28,0,0,10,5,1,4,4
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verpleeghuis Heemswijk,0396::SB9,,1715,1467,0,2,166,275,143,311,256,115,27,114,28,2,0,21,4,1,2,2
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Buurtcentrum D'Evelaer,0396::SB10,,1372,1062,0,0,254,108,59,341,156,48,11,56,14,0,0,11,2,0,1,1
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verzorgingshuis Westerheem,0396::SB11,,1909,1724,2,2,272,337,167,366,263,141,20,112,24,1,1,13,4,1,1,1
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Anne Frankschool,0396::SB12,,1584,1282,0,2,150,231,159,281,187,112,18,108,15,1,0,14,5,1,0,0
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Harteheem,0396::SB13,,1513,1036,1,5,154,202,98,200,182,82,16,75,10,2,1,8,0,0,3,3
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau OBS 't Tweespan,0396::SB14,,2058,1631,1,3,164,362,215,336,251,129,21,105,32,2,0,7,7,0,0,0
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau RKB De Vlinder,0396::SB15,,1888,1091,2,11,131,248,131,144,234,79,17,70,19,1,0,10,2,0,1,4
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool De Bareel,0396::SB16,,1480,1551,1,6,107,275,112,540,225,116,21,119,20,2,0,10,4,0,0,0
Haarlem,Heemskerk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wijkcentrum Citadel,0396::SB17,,1422,711,0,2,37,105,55,250,123,33,12,69,16,1,0,3,3,0,1,3
