contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij,19
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verzorgingshuis Aylvastate,0710::SB1,,1301,990,3,1,284,241,104,161,90,40,25,29,7,0,0,6,1,0,0,2,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Gouden Hoep,0710::SB2,,474,369,0,0,54,73,38,70,64,35,4,17,6,1,0,4,3,0,0,0,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ned. Herv. Consistorie,0710::SB3,,785,580,0,1,139,118,70,101,71,26,27,15,5,2,0,4,1,0,1,0,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Bolle en de Hynst,0710::SB4,,453,375,0,0,29,118,40,73,46,30,7,17,11,0,0,1,3,0,0,0,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Het Anker,0710::SB5,,1279,1156,0,1,241,236,154,190,128,74,32,75,7,1,1,9,7,0,0,1,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verzorgingshuis Avondrust,0710::SB6,,1554,1073,0,1,207,220,126,186,150,67,45,47,11,3,0,5,5,0,0,1,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis It Doniahûs,0710::SB7,,420,326,0,0,99,59,44,53,17,27,4,11,7,0,0,3,2,0,0,0,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis De Fûke,0710::SB8,,381,276,0,0,127,30,20,44,21,19,6,5,2,0,0,1,0,1,0,0,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis It Waltahûs,0710::SB9,,398,340,0,0,122,63,36,39,29,18,14,12,4,0,0,2,1,0,0,0,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis It Honk,0710::SB10,,402,336,0,0,137,48,28,43,24,19,14,12,6,1,0,2,1,0,0,1,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ned. Herv. Kerk,0710::SB11,,427,351,0,0,109,46,37,69,40,16,18,10,3,2,0,0,1,0,0,0,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis Nije Haven,0710::SB12,,280,218,0,0,82,33,26,34,8,14,11,8,2,0,0,0,0,0,0,0,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis De Utwyk,0710::SB13,,593,446,0,1,173,58,33,73,35,22,23,22,1,1,0,1,3,0,1,0,0
Leeuwarden,Wûnseradiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis It String,0710::SB14,,179,135,0,0,19,29,16,32,18,10,0,9,2,0,0,0,0,0,0,0,0
