contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij,19
Groningen,Grootegast,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis,0015::SB1,,1603,1273,2,5,362,175,104,160,133,49,199,33,22,25,0,4,4,0,1,1,1
Groningen,Grootegast,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gebouw Irene,0015::SB2,,491,369,0,0,51,64,27,56,64,18,53,21,2,7,0,3,1,0,0,0,2
Groningen,Grootegast,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis 't Kompas,0015::SB3,,737,560,1,0,243,54,47,55,65,19,55,5,6,8,0,2,0,0,1,0,0
Groningen,Grootegast,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verzorgingshuis Het Hooge Heem,0015::SB4,,942,693,1,1,276,94,50,75,87,16,76,9,3,5,0,1,1,0,0,0,0
Groningen,Grootegast,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gebouw De Branding,0015::SB5,,840,614,0,0,235,75,43,45,68,17,90,21,4,8,0,3,2,0,1,0,2
Groningen,Grootegast,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis 't Hörnhuus,0015::SB6,,554,427,0,0,129,50,38,35,58,12,76,10,4,9,0,6,0,0,0,0,0
Groningen,Grootegast,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Vrijzinnig gebouw,0015::SB7,,436,308,0,0,75,52,36,39,47,16,22,7,4,8,0,2,0,0,0,0,0
Groningen,Grootegast,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Stichting Mfc De Veste,0015::SB8,,1338,984,1,0,207,209,104,156,144,31,81,29,12,6,0,2,2,0,1,0,0
Groningen,Grootegast,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gebouw Ons Centrum,0015::SB9,,848,623,1,1,196,81,65,76,71,38,59,23,7,5,0,1,1,0,0,0,0
Groningen,Grootegast,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis De Rotonde,0015::SB10,,1242,1003,0,2,207,218,118,164,105,59,69,37,8,6,0,6,5,0,1,0,0
