contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Wilgeroos,0375::SB1,,1630,1105,0,2,115,237,158,149,256,87,15,45,19,1,1,17,3,0,2,0
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Buurthuis Wijk aan Duin,0375::SB2,,1495,1001,1,0,95,194,140,150,226,71,11,63,29,2,0,14,2,1,0,3
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Brandweer Post West,0375::SB3,,1580,1304,0,0,125,241,150,282,254,109,10,95,19,1,2,11,2,0,1,2
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Montessori basisschool,0375::SB4,,1219,1090,1,3,147,177,58,319,153,102,7,89,15,2,2,9,7,1,0,2
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Paviljoen Westerhout,0375::SB5,,1408,1075,0,1,133,216,85,302,117,91,3,92,10,3,0,10,11,0,0,2
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Op Hoop van Zegen,0375::SB6,,1475,1129,1,1,99,253,118,215,169,153,6,82,18,0,0,7,6,0,2,1
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau,0375::SB7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Stichting Nieuw Akerendam,0375::SB8,,1423,1079,0,2,128,178,64,366,152,65,10,82,22,2,0,7,2,0,0,1
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woonzorgcentrum Lommerlust,0375::SB9,,1587,1065,1,2,135,234,134,166,217,74,10,59,18,3,0,6,2,1,3,3
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Kennemer Theater,0375::SB10,,1445,997,0,1,73,174,123,182,289,80,5,45,13,2,0,8,2,0,1,0
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Kennemer College,0375::SB11,,1466,1127,0,3,112,234,112,219,283,69,8,67,12,0,0,5,2,0,0,4
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Huis ter Wijck,0375::SB12,,1620,1053,0,2,138,259,120,175,211,60,12,35,22,3,1,5,6,1,1,4
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Leger des Heils,0375::SB13,,1138,663,1,0,63,169,67,91,180,30,7,37,10,0,0,6,3,0,0,0
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau SWB zaal de Kleine Beer,0375::SB14,,1324,913,0,0,120,226,120,156,157,58,8,47,8,1,0,8,2,0,1,1
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau voormalig 't Kompas,0375::SB15,,1396,795,0,0,68,217,108,95,177,46,14,45,12,0,0,5,6,0,0,2
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Openbare basisschool 't Kompas,0375::SB16,,1509,1002,0,7,99,199,121,121,285,81,13,64,8,2,1,5,1,1,1,0
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Brandweerkazerne,0375::SB17,,1744,1214,0,6,72,288,168,173,325,70,13,73,18,2,0,11,0,0,1,0
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Consistoriekamer Doopsgezinde Gem.,0375::SB18,,1180,744,0,5,76,141,83,153,172,51,3,45,10,0,0,5,0,2,1,2
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Openbare Basisschool De Zeester,0375::SB19,,1544,1182,1,2,64,182,123,415,183,77,13,95,17,0,1,11,0,0,1,0
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool Panta Rhei,0375::SB20,,1223,876,0,2,65,124,71,332,133,48,6,76,12,1,0,6,1,0,0,1
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Moriaan,0375::SB21,,1622,1247,0,0,141,248,113,262,201,145,7,86,25,1,0,9,4,0,1,4
Haarlem,Beverwijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Mobiel Stembureau,0375::SB22,,0,287,0,0,15,65,38,53,35,40,2,29,8,0,0,0,2,0,0,0
