contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Hal Stadhuis,0677::SB1,,2207,1901,4,4,337,372,181,457,337,89,13,82,15,0,2,12,2,0,1,1
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau St. Curamus, loc. De Blaauwe Hoeve",0677::SB2,,1302,959,1,3,218,171,100,157,196,49,4,44,7,3,0,8,1,0,1,0
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gemeenschapscentrum ""Den Dullaert""",0677::SB3,,2173,1703,0,2,320,301,181,358,286,104,16,99,16,2,0,15,2,0,2,1
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Reynaertcollege, loc. Gildenstr",0677::SB4,,2292,1300,0,1,156,256,158,246,318,62,8,57,21,1,0,8,3,1,3,2
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gemeenschapscentrum ""Malpertuus""",0677::SB5,,1691,1054,1,5,154,210,117,161,278,58,10,26,16,1,0,18,3,1,0,1
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gemeenschapscentrum ""De Kauter""",0677::SB6,,513,342,1,0,82,53,29,45,98,10,5,11,4,1,0,3,1,0,0,0
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gemeenschapshuis ""Graauw""",0677::SB7,,635,493,1,1,131,80,55,81,85,30,4,11,8,1,1,4,0,1,0,1
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gemeenschapscentrum ""De Warande""",0677::SB8,,2568,1711,1,3,236,327,209,305,418,84,12,56,23,2,1,29,3,0,3,3
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gemeenschapscentrum "" t Heike """,0677::SB9,,948,654,0,1,122,102,51,126,175,27,6,20,11,1,0,6,2,0,2,3
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau St. Curamus, loc. Antonius",0677::SB10,,1269,929,0,0,225,157,118,146,189,38,3,18,11,1,1,16,1,1,0,4
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpscentrum De Luifel,0677::SB11,,741,549,0,0,139,104,60,95,90,29,2,15,6,1,0,5,1,0,1,1
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis Terhole,0677::SB12,,458,334,0,0,57,63,45,37,77,22,1,16,8,0,0,5,3,0,0,0
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpscentrum Vogelwaarde,0677::SB13,,1444,1071,1,3,223,193,131,171,220,57,18,27,16,4,0,8,2,0,1,0
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeenschapshuis Hof ter Nesse,0677::SB14,,394,272,0,1,51,37,42,65,41,14,2,7,8,2,0,3,0,0,0,0
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpscentrum De Schuur,0677::SB15,,498,379,0,1,71,65,60,52,80,21,5,9,9,3,0,1,3,0,0,0
Middelburg,Hulst,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Voormalig gem.huis Kloosterzande,0677::SB16,,1225,895,3,2,192,149,120,184,166,34,4,29,3,1,0,10,3,0,0,0
