contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij,19
Den Helder,Drechterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis Hoogkarspel,0498::SB1,,1610,1808,4,3,338,312,187,423,278,102,12,110,21,3,1,9,5,0,1,3,2,1
Den Helder,Drechterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Het Reigersnest,0498::SB2,,1676,827,0,0,113,127,84,301,98,27,4,60,8,0,0,4,1,0,0,0,0,0
Den Helder,Drechterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Water en Vuurhuis,0498::SB3,,1245,1143,0,1,185,183,126,271,190,81,10,56,22,3,0,9,4,1,1,0,1,0
Den Helder,Drechterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Lindeboom,0498::SB4,,1465,1126,0,2,228,126,122,319,164,64,9,62,14,0,0,13,4,0,0,1,0,0
Den Helder,Drechterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Harmonie,0498::SB5,,1208,967,1,2,173,127,65,321,145,47,11,47,11,0,0,17,2,1,0,0,0,0
Den Helder,Drechterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Bosmanstichting,0498::SB6,,1436,1017,1,2,267,132,90,268,138,40,11,50,10,0,0,6,3,0,0,0,1,1
Den Helder,Drechterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau 't Kleinhof,0498::SB7,,1657,1377,0,4,178,198,129,449,218,76,8,82,17,2,2,11,6,0,0,0,0,1
Den Helder,Drechterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis Venhuizen,0498::SB8,,1232,1004,3,1,148,110,65,366,161,52,3,74,8,0,1,10,3,0,0,0,3,0
Den Helder,Drechterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis de Wiekslag,0498::SB9,,1134,903,1,2,104,127,62,332,105,69,6,72,15,1,0,8,0,0,1,1,0,0
Den Helder,Drechterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis De Dregt,0498::SB10,,689,560,1,0,37,118,49,187,50,46,3,44,13,0,0,8,5,0,0,0,0,0
Den Helder,Drechterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Jeugdcentrum Loods 2,0498::SB11,,1256,750,0,1,122,113,60,224,112,40,5,51,8,0,0,11,2,0,0,2,0,0
