contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij,19
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gemeentehuis, trouwzaal",0398::SB1,,2161,2093,5,16,310,428,235,457,270,147,40,157,16,4,0,18,6,0,1,0,4,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau O.b.s. De Aventurijn,0398::SB2,,1397,1062,0,2,101,233,130,212,188,76,28,62,14,1,0,9,7,0,1,0,0,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau O.b.s. De Fonkelsteen,0398::SB3,,2040,1804,3,3,181,374,163,524,188,143,37,141,22,1,0,16,10,0,0,3,1,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Buurthuis De Hoeksteen,0398::SB4,,1855,1142,1,0,86,247,174,252,131,87,47,78,18,0,1,8,6,2,1,1,3,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau ICBS De Vaart  v.h.Tweemaster,0398::SB5,,1644,1208,2,2,84,273,170,216,244,76,24,64,24,0,1,14,9,2,0,3,4,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau ICBS De Vaart v.h. de Kameleon,0398::SB6,,1802,937,3,2,79,190,160,161,189,72,15,41,11,0,0,12,4,0,0,1,1,1
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau O.b.s. de Hasselbraam, lokatie Windmolen",0398::SB7,,1350,974,0,1,109,165,127,227,150,84,14,70,18,1,0,6,3,0,0,0,0,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau O.b.s. Atalanta,0398::SB8,,1833,935,1,1,70,139,68,384,92,58,10,93,9,0,0,7,3,1,0,1,0,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Boomladder,0398::SB9,,1563,1317,0,1,131,257,185,278,204,104,34,79,14,3,0,13,6,0,0,1,8,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woonzorgcomplex Arboretum,0398::SB10,,1571,1067,1,0,98,269,140,158,206,95,27,48,10,0,0,9,4,0,0,1,2,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Huize Hugo-Oord,0398::SB11,,1672,847,0,2,90,161,109,186,128,59,28,58,16,0,0,3,4,0,0,2,3,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau O.b.s. Jeroen Bosch,0398::SB12,,1105,1017,2,0,148,219,101,219,155,71,13,65,15,2,0,6,3,0,0,0,0,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau R.K.b.s. De Zevensprong,0398::SB13,,1455,961,1,2,116,162,150,203,153,55,19,66,17,1,0,15,1,0,0,2,0,1
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis De Noord,0398::SB14,,2001,1587,3,0,444,123,92,551,208,49,16,64,12,1,0,17,4,0,2,3,1,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau S.B.O. De Witte Raven,0398::SB15,,931,730,3,1,88,163,53,184,105,57,6,46,10,0,1,11,4,0,0,0,2,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Vonder,0398::SB16,,1269,865,1,0,183,134,95,192,122,42,20,55,11,0,0,8,3,0,0,0,0,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gebouw Kern 8,0398::SB17,,1197,855,1,4,109,201,105,174,137,48,16,44,7,0,0,7,4,0,1,2,0,0
,Heerhugowaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gymzaal De Kleine en Grote Beer,0398::SB18,,1418,847,0,2,90,161,109,186,128,59,28,58,16,0,0,3,4,0,0,2,3,0
