contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij
Leiden,Nederlek,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Raadhuis,0643::SB1,,708,757,0,0,95,135,42,246,91,37,26,38,7,26,1,7,3,0,1,2,0
Leiden,Nederlek,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau 't Schateiland,0643::SB2,,959,787,0,0,76,176,85,171,110,42,31,36,7,46,0,5,0,0,0,0,2
Leiden,Nederlek,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau ARTcetera v/m Julianaschool,0643::SB3,,388,250,0,0,37,22,10,95,26,9,11,9,2,25,0,4,0,0,0,0,0
Leiden,Nederlek,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Pr Bernhardschool,0643::SB4,,343,296,0,0,47,41,25,85,51,14,7,12,3,8,0,2,0,0,0,0,1
Leiden,Nederlek,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dependance Gemini,0643::SB5,,1070,931,1,0,90,161,96,236,172,28,39,37,18,39,0,9,1,0,0,2,3
Leiden,Nederlek,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Breeje Hendrick,0643::SB6,,1366,1000,1,1,113,227,84,236,146,41,28,34,8,75,0,4,3,0,0,1,0
Leiden,Nederlek,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ichtus Kerk,0643::SB7,,1178,902,0,4,114,140,59,255,106,28,38,41,12,104,0,3,2,0,0,0,0
Leiden,Nederlek,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zalencentrum Schippers,0643::SB8,,1240,730,1,1,89,98,49,188,123,39,35,45,18,41,0,3,0,0,0,1,1
Leiden,Nederlek,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ireneschool,0643::SB9,,1269,1068,1,0,119,200,113,201,205,51,55,62,17,34,1,5,2,0,1,1,1
Leiden,Nederlek,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Floraschool,0643::SB10,,1380,1089,4,2,121,181,92,269,194,46,35,81,12,51,0,6,0,0,0,1,0
Leiden,Nederlek,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Dertienhuizen,0643::SB11,,1097,1054,1,1,125,201,113,160,182,63,42,62,25,70,1,8,1,0,0,0,1
