contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij,19
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sellingen  (Gemeentehuis),0048::SB1,,1335,1207,0,1,222,254,120,166,208,94,55,47,21,1,0,10,3,1,0,4,1
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Vlagtwedde (""De Bolderbörg"")",0048::SB2,,1301,868,0,2,152,241,112,94,154,37,35,13,7,5,0,5,8,0,0,3,2
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Vlagtwedde (MFA 't Aambeeld),0048::SB3,,1112,975,1,1,202,189,102,176,124,50,54,46,13,3,2,6,4,0,3,1,0
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Bourtange (""De Turfschuur"")",0048::SB4,,636,496,0,2,60,111,52,103,89,26,11,17,18,2,0,4,2,1,0,0,0
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau  Jipsinghuizen (Buurthuis),0048::SB5,,843,587,0,1,91,110,65,106,118,35,14,20,12,3,2,4,5,2,0,0,0
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Ter Apelkanaal (""D'Oale School"")",0048::SB6,,839,556,0,5,102,121,60,65,139,24,13,10,14,1,0,5,2,0,0,0,0
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Ter Apel  (""'t Streekje"")",0048::SB7,,1437,825,1,2,112,253,90,90,192,33,22,16,10,0,0,5,2,0,0,0,0
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Ter Apel (""Kloosterheerd"")",0048::SB8,,984,641,0,2,112,201,83,53,119,27,13,17,8,2,0,2,3,0,0,1,0
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ter Apel (Sporthalkantine),0048::SB9,,1509,1089,0,4,169,312,114,188,189,51,17,33,6,1,0,4,4,0,0,0,1
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Barnflair (""De Grensstreek"")",0048::SB10,,859,567,1,2,74,128,56,60,179,27,3,19,6,4,0,9,1,0,0,1,0
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Ter Apel (""De Wilpskamp"")",0048::SB11,,900,692,0,1,95,136,83,143,126,47,14,22,9,2,1,9,4,0,0,1,0
Groningen,Vlagtwedde,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Ter Apel (""Heemborgh"")",0048::SB12,,1132,729,0,0,45,213,93,67,204,41,28,20,5,0,3,4,4,0,0,1,1
