contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij,19
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Lindestede loc.Verpleeghuis Wolvega,0098::SB1,,1872,1210,2,2,197,354,133,177,166,58,23,65,17,4,1,7,2,2,2,2,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Lycklama Stins, Wolvega",0098::SB2,,1894,1240,3,4,201,286,135,268,149,89,31,56,10,5,0,5,5,0,0,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Hotel Wolvega/Holland Inn,0098::SB3,,1636,1156,1,1,174,322,143,191,149,89,31,39,8,3,0,3,4,0,0,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Sickengaoord, Wolvega",0098::SB4,,1583,1074,2,2,164,282,117,183,181,51,37,30,13,1,0,13,2,0,0,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Clubhuis ""Het Wolvennest"", Wolvega",0098::SB5,,1569,1118,1,2,124,317,135,178,217,55,33,30,13,3,0,9,3,0,0,0,1
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau OBS ""De Heidepolle""",0098::SB6,,1459,1035,0,3,102,263,146,173,180,69,41,33,13,3,0,4,5,0,1,1,1
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau 't Polderhuus,0098::SB7,,1141,871,1,0,148,149,101,200,117,72,21,28,26,1,0,5,3,0,0,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis Oldelamer,0098::SB8,,269,251,0,0,67,32,14,82,22,22,7,5,0,0,0,0,0,0,0,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Dorpshuis ""De Bult"", Ter Idzard",0098::SB9,,503,390,0,1,85,62,22,122,39,24,3,26,4,2,0,1,0,0,0,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau OBS ""De Striepe"", Oldeholtpade",0098::SB10,,845,636,1,2,78,171,76,152,75,32,8,31,5,0,0,8,0,0,0,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Multifunctioneel Centrum,0098::SB11,,364,322,0,0,43,81,24,82,41,18,2,17,7,1,0,3,2,0,1,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Dorpshuis ""De Tille"", Boijl",0098::SB12,,703,536,0,0,63,134,51,132,57,38,9,30,10,1,1,3,7,0,0,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Openbare Bibliotheek Noordwolde,0098::SB13,,1287,1109,0,1,47,388,137,211,186,51,28,37,15,3,0,2,3,0,0,1,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Clubgebouw vv Zandhuizen,0098::SB14,,346,226,0,2,23,52,20,55,26,16,5,10,16,0,0,0,1,1,1,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau OBS ""De Velden"", Noordwolde",0098::SB15,,693,542,1,0,50,142,67,103,59,53,10,35,15,2,1,2,2,0,1,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpscentrum Sonnega-Oldetrijne,0098::SB16,,389,298,0,0,63,43,24,95,26,10,14,19,1,2,0,1,0,0,0,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau De Krommestede, Noordwolde",0098::SB17,,981,599,0,3,50,190,47,107,118,39,15,18,6,0,1,4,0,0,2,2,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau OBS ""De Klaeter"", De Hoeve",0098::SB18,,313,285,0,0,44,61,23,60,38,19,13,15,5,0,0,1,5,1,0,0,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gebouw ""Het Anker"", Steggerda",0098::SB19,,977,725,0,0,181,149,71,146,89,36,7,22,8,2,0,10,3,0,0,1,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gebouw ""'t Centrum"", De Blesse",0098::SB20,,1085,868,4,1,201,165,97,199,92,39,19,32,9,6,0,3,4,0,1,1,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis Oosterstreek,0098::SB21,,420,326,0,0,35,71,38,93,37,25,7,14,2,0,0,3,0,0,0,1,0
Leeuwarden,Weststellingwerf,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau NS Station,0098::SB22,,0,392,0,4,46,99,46,71,55,33,9,22,6,0,0,2,1,0,2,0,0
