contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Ver.gebouw ""de Wingerd""",0716::SB1,,1275,1011,0,3,149,118,80,183,146,35,96,19,9,166,0,9,0,0,0,1
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dalemhof,0716::SB2,,1257,1137,1,1,196,125,88,183,141,28,85,17,10,246,0,13,3,0,1,1
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gemeenschapscentrum ""Meulvliet""",0716::SB3,,1417,1137,0,1,163,138,94,149,165,42,87,25,11,255,1,5,2,0,0,0
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zalencentrum Ger.Gemeente,0716::SB4,,1588,1172,0,2,211,96,84,234,155,22,97,27,10,231,0,3,0,1,0,1
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis 't Ouwe Raed' uus,0716::SB5,,1269,940,1,1,180,95,72,99,159,21,68,31,8,201,0,3,1,0,2,0
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Holland Huis,0716::SB6,,1249,982,0,2,123,133,63,94,110,14,41,13,14,376,0,1,0,0,0,0
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gemeenschapscentrum ""Haestinge""",0716::SB7,,1536,1106,0,0,107,196,120,180,245,21,40,34,10,140,0,12,0,0,0,1
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zorgcentrum Maartenshof,0716::SB8,,1204,904,0,2,89,218,82,81,180,25,40,17,19,151,0,2,0,0,0,0
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis de Stove,0716::SB9,,1234,986,0,2,107,81,64,84,171,14,38,9,6,406,0,5,1,0,0,0
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zorgcentrum de Schutse,0716::SB10,,1210,951,0,0,135,106,76,123,145,27,60,18,10,242,1,7,0,0,0,1
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gemeenschapscentrum ""Wellevaete""",0716::SB11,,1523,1239,0,2,205,173,100,202,143,23,84,33,11,250,0,13,2,0,0,0
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Dorpshuis ""De Vossenkuil""",0716::SB12,,1034,863,0,2,135,133,104,171,160,30,27,25,6,67,0,3,1,0,0,1
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ver.Gebouw Ger.Gemeente in Ned.,0716::SB13,,997,665,0,0,103,76,81,109,126,24,47,17,7,72,1,1,0,0,0,1
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis De Wimpel,0716::SB14,,1670,1369,0,0,194,99,70,185,254,16,68,32,16,428,0,4,3,0,0,0
Middelburg,Tholen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis Ons Dorpshuis,0716::SB15,,330,258,0,0,52,25,21,48,57,10,15,5,3,19,0,1,2,0,0,0
