contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verenigingsgebouw Veere,0717::SB1,,1289,1055,0,0,212,154,55,264,91,71,47,77,20,55,0,2,4,0,1,2
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verenigingsgebouw De Spil,0717::SB2,,403,327,0,0,100,53,21,56,19,18,16,13,14,15,1,0,0,0,1,0
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verenigingsgebouw Vrouwenpolder,0717::SB3,,871,829,0,0,184,109,44,157,75,37,112,34,27,36,0,6,6,0,2,0
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verenigingsgebouw De Zandput,0717::SB4,,1338,1137,0,1,285,167,85,166,87,74,85,55,19,111,0,0,1,0,2,0
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verenigingsgebouw Amicitia,0717::SB5,,1006,923,1,0,133,40,34,100,51,16,49,7,4,481,0,4,1,0,0,3
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Het Dorpshuis,0717::SB6,,1021,905,1,1,264,123,63,165,84,47,67,27,10,52,0,1,2,0,0,0
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verenigingsgebouw Ons Huis,0717::SB7,,962,840,0,0,142,20,16,48,41,17,40,15,4,496,0,1,0,0,0,0
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sportcentrum De Couburg,0717::SB8,,1434,1273,2,0,269,219,92,273,159,61,75,62,20,26,2,11,4,0,0,0
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Archipelschool De Sprong,0717::SB9,,1333,977,0,3,163,192,84,192,141,71,30,62,20,11,0,6,4,0,0,1
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpscentrum Biggekerke,0717::SB10,,697,621,2,0,157,66,54,133,47,30,21,30,15,56,0,9,1,0,1,1
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gebouw Middendorp,0717::SB11,,1204,1206,1,1,311,149,87,318,136,38,44,54,16,47,0,5,1,0,0,0
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis Domburg,0717::SB12,,1208,1273,0,0,208,259,75,342,117,72,36,84,23,28,0,20,6,1,1,1
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Protestants Kerkcentrum,0717::SB13,,1046,1019,0,1,251,119,63,181,82,39,88,53,12,126,0,1,1,1,2,0
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ontmoetingscentrum De Halve Maan,0717::SB14,,933,829,0,1,186,127,43,170,45,47,53,47,10,96,0,5,0,0,0,0
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sportzaal De Bellink,0717::SB15,,1033,834,0,1,150,177,81,130,105,36,34,27,12,75,0,4,3,0,0,0
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Westkapelle Herrijst,0717::SB16,,1121,937,1,4,172,177,72,180,118,24,27,35,11,111,0,6,4,0,0,0
Middelburg,Veere,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Mobiel stembureau,0717::SB17,,0,170,0,1,72,29,4,23,12,3,4,4,3,13,0,3,0,0,0,0
