"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Ouder-Amstel"
"Nummer";"";"0437"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Gemeentehuis";"Jan Hekmanschool";"Het Kofschip";"De Aanbouw";"Dorpshuis"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5"
"Postcode";"";"";"";"";"1191 BD";"1191 JP";"1191 GW";"1115 AP";"1115 CX"
"";"opgeroepenen";"";"";"9917";"2119";"2320";"1927";"1652";"1899"
"";"geldige stempas";"";"";"7721";"1791";"1484";"1757";"1141";"1548"
"";"geldig volmachtbewijs";"";"";"788";"190";"198";"182";"106";"112"
"";"geldige kiezerspas";"";"";"23";"5";"5";"4";"0";"9"
"";"toegelaten kiezers";"";"";"8532";"1986";"1687";"1943";"1247";"1669"
"";"geldige stembiljetten";"";"";"8483";"1981";"1681";"1930";"1243";"1648"
"";"blanco stembiljetten";"";"";"10";"0";"2";"2";"1";"5"
"";"ongeldige stembiljetten";"";"";"23";"2";"4";"2";"3";"12"
"";"aangetroffen stembiljetten";"";"";"8516";"1983";"1687";"1934";"1247";"1665"
"";"meer stembiljetten dan toegelaten kiezers ";"";"";"0";"0";"0";"0";"0";"0"
"";"minder stembiljetten dan toegelaten kiezers ";"";"";"16";"3";"0";"9";"0";"4"
"";"kiezers met stembiljet hebben niet gestemd";"";"";"0";"0";"0";"0";"0";"0"
"";"er zijn te weinig stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0"
"";"er zijn te veel stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0"
"";"er zijn stembiljetten kwijtgeraakt";"";"";"0";"0";"0";"0";"0";"0"
"";"geen verklaring";"";"";"13";"0";"0";"9";"0";"4"
"";"andere verklaring";"";"";"3";"3";"0";"0";"0";"0"
"1";"VVD";"";"";"2305";"653";"597";"517";"242";"296"
"";"";"1";"Rutte, M.";"1764";"515";"471";"383";"171";"224"
"";"";"2";"Hennis-Plasschaert, J.A.";"189";"49";"39";"46";"30";"25"
"";"";"3";"Zijlstra, H.";"20";"6";"2";"5";"1";"6"
"";"";"4";"van Ark, T.";"11";"2";"2";"3";"2";"2"
"";"";"5";"Dijkhoff, K.H.D.M.";"130";"41";"24";"25";"20";"20"
"";"";"6";"Dekker, S.";"2";"0";"1";"1";"0";"0"
"";"";"7";"Visser, B.";"11";"4";"1";"3";"1";"2"
"";"";"8";"Harbers, M.G.J.";"1";"0";"0";"1";"0";"0"
"";"";"9";"ten Broeke, J.H.";"3";"0";"1";"1";"0";"1"
"";"";"10";"Azmani, M.";"1";"0";"0";"0";"1";"0"
"";"";"11";"Wiersma, A.D.";"2";"0";"1";"0";"1";"0"
"";"";"12";"Lodders, W.J.H.";"1";"1";"0";"0";"0";"0"
"";"";"13";"van 't Wout, B.";"0";"0";"0";"0";"0";"0"
"";"";"14";"Becker, B.";"7";"2";"1";"2";"1";"1"
"";"";"15";"Duisenberg, P.J.";"3";"0";"1";"2";"0";"0"
"";"";"16";"Hermans, S.T.M.";"10";"3";"2";"2";"0";"3"
"";"";"17";"Mulder, A.";"0";"0";"0";"0";"0";"0"
"";"";"18";"de Vries, A.";"0";"0";"0";"0";"0";"0"
"";"";"19";"Ye?ilgöz-Zegerius, D.";"10";"0";"1";"3";"4";"2"
"";"";"20";"Rutte, A.C.L.";"2";"0";"1";"0";"1";"0"
"";"";"21";"Tellegen, O.C.";"4";"0";"0";"4";"0";"0"
"";"";"22";"Koerhuis, D.A.N.";"5";"0";"0";"0";"4";"1"
"";"";"23";"Ziengs, E.";"1";"0";"0";"1";"0";"0"
"";"";"24";"Bosman, A.";"0";"0";"0";"0";"0";"0"
"";"";"25";"van den Bosch, A.";"0";"0";"0";"0";"0";"0"
"";"";"26";"El Yassini, Z.";"1";"0";"0";"0";"0";"1"
"";"";"27";"Dijkstra, R.J.";"1";"0";"0";"1";"0";"0"
"";"";"28";"Wörsdörfer, M.";"3";"0";"3";"0";"0";"0"
"";"";"29";"Weverling, A.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Nijkerken-de Haan, C.N.A.";"8";"0";"4";"2";"1";"1"
