Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;
Gebied;;Gemeente Brunssum;;;;;;;;;;;;;;;;
Nummer;;899;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;D'r Brikkeoave;Parochiezaal Gregorius-kerk;zaal cafe De Kroeg;Verpleeghuis Schuttershof;BS Meander;Zorgcentrum Huize Louise;Speeltuingebouw Buschkesberg;Brede School Langeberg;Verenigingsgebouw De Burcht;Parochiezaaltje Barbara-kerk;Trefcentrum;Zorgcentrum Emmastaete;Basisschool Fatima;Microhal Brunssum-Noord
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14
;opgeroepenen;;;22893;1463;1381;925;1108;1711;1528;1165;1131;1214;1893;1663;1997;2042;3672
;geldige stempas;;;15558;1292;1002;638;691;935;1042;719;824;860;1473;1058;1313;1450;2261
;geldig volmachtbewijs;;;1891;126;137;90;81;123;130;82;107;105;167;129;158;190;266
;geldige kiezerspas;;;42;14;4;3;3;2;3;1;1;0;4;1;2;2;2
;toegelaten kiezers;;;17491;1432;1143;731;775;1060;1175;802;932;965;1644;1188;1473;1642;2529
;geldige stembiljetten;;;17432;1428;1139;729;774;1050;1168;799;931;963;1639;1183;1467;1638;2524
;blanco stembiljetten;;;36;2;4;0;1;10;4;2;0;2;2;3;3;2;1
;ongeldige stembiljetten;;;23;2;0;2;0;0;3;1;1;0;3;2;3;2;4
;aangetroffen stembiljetten;;;17491;1432;1143;731;775;1060;1175;802;932;965;1644;1188;1473;1642;2529
;meer stembiljetten dan toegelaten kiezers ;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers ;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn stembiljetten kwijtgeraakt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;2235;229;166;58;80;68;138;117;110;110;202;171;243;250;293
;;1;Rutte, M.;1676;162;123;44;55;53;104;89;77;84;145;134;174;193;239
;;2;Hennis-Plasschaert, J.A.;108;13;8;0;4;3;6;5;5;8;13;10;13;9;11
;;3;Zijlstra, H.;12;1;1;1;0;0;1;1;4;0;0;0;1;2;0
;;4;van Ark, T.;7;0;1;0;1;0;0;0;0;0;2;0;0;2;1
;;5;Dijkhoff, K.H.D.M.;138;18;6;4;5;3;17;11;5;5;18;4;15;12;15
;;6;Dekker, S.;4;0;2;1;0;0;0;0;1;0;0;0;0;0;0
;;7;Visser, B.;6;1;0;0;0;0;0;2;0;0;0;1;2;0;0
;;8;Harbers, M.G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;ten Broeke, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Azmani, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Wiersma, A.D.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;12;Lodders, W.J.H.;3;0;0;0;0;1;0;0;0;0;0;1;0;1;0
;;13;van 't Wout, B.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;14;Becker, B.;3;1;0;0;0;0;1;0;0;0;0;0;0;1;0
;;15;Duisenberg, P.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Hermans, S.T.M.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;Mulder, A.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;18;de Vries, A.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Ye?ilgöz-Zegerius, D.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Rutte, A.C.L.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
