Uitslagen per partij per stembureau;;;;;;;;;;;;;;;;;;
Tweede Kamerverkiezingen 2017;;;;;;;;;;;;;;;;;;
Partij;totaal;Gemeentehuis;Zorgcentrum Van Wijckerslooth;Recreatiezaal Trompenburg;Hockeyclub LOHC;Jenaplanschool De Kring;Dorpscentrum;Brandweerkazerne;Bredeschool Het Dok;Woonlocatie Tilly Koenen;Recreatiezaal Boerhaaveplein;Daltonschool;verenigingsgebouw Attila;Gymzaal Poelgeest;Wellantcollege;;;
1.VVD;4531;552;347;318;372;275;442;320;338;218;211;277;318;266;277;;;
2. Partij van de Arbeid (P.v.d.A.);1024;110;56;70;52;73;131;72;54;67;84;73;68;75;39;;;
3.PVV (Partij voor de Vrijheid);1056;48;63;35;24;34;138;118;163;67;63;68;123;67;45;;;
4.SP (Socialistische Partij);607;37;32;23;5;27;87;80;61;47;62;37;56;37;16;;;
5.CDA;1560;121;130;105;64;89;183;148;113;114;112;95;125;67;94;;;
6.Democraten 66 (D66);3034;357;227;222;233;235;304;201;202;160;167;193;169;198;166;;;
7.ChristenUnie;465;26;14;35;20;33;69;46;28;39;41;38;35;26;15;;;
8.GROENLINKS;1547;165;55;113;93;113;170;132;92;101;117;123;62;138;73;;;
9.Staatkundig Gereformeerde Partij (SGP);65;0;5;8;3;1;7;11;11;1;3;2;8;1;4;;;
10.Partij voor de Dieren;512;61;20;38;21;35;58;20;38;31;33;42;40;45;30;;;
11.50PLUS;311;17;24;13;11;18;33;28;21;35;33;19;30;13;16;;;
12.OndernemersPartij;3;0;0;2;0;0;0;0;0;0;1;0;0;0;0;;;
13.VNL (VoorNederland);46;4;1;2;0;1;6;4;5;5;1;4;9;1;3;;;
14.DENK;54;8;1;2;0;2;3;0;11;4;8;8;0;4;3;;;
15.NIEUWE WEGEN;14;0;0;0;2;3;0;0;4;0;1;1;1;0;2;;;
16.Forum voor Democratie;257;28;9;11;11;21;37;12;35;13;14;13;16;24;13;;;
17.De Burger Beweging;3;1;0;1;0;0;0;0;0;1;0;0;0;0;0;;;
18.Vrijzinnige Partij;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;
19.GeenPeil;7;1;0;1;0;0;1;1;2;1;0;0;0;0;0;;;
20.Piratenpartij;49;5;1;3;1;2;4;2;6;11;5;5;2;1;1;;;
21.Artikel 1;13;2;1;0;0;1;1;1;3;2;1;1;0;0;0;;;
22.Niet Stemmers;6;2;0;0;0;1;0;0;0;1;0;1;1;0;0;;;
23.Libertarische Partij (LP);2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;;
25.JEZUS LEEFT;3;1;0;1;0;0;1;0;0;0;0;0;0;0;0;;;
26.StemNL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
geldige stemmen;15170;1546;986;1003;912;964;1675;1197;1187;918;957;1001;1064;963;797;;;
ongeldig;18;0;0;0;1;0;5;2;2;1;0;0;3;3;1;;;
blanco;19;1;3;1;2;0;7;0;1;0;2;1;0;1;0;;;
opgeroepen;17047;1391;1252;1374;1053;856;1410;1455;1650;1061;1173;952;1395;988;1037;;;
opkomstpercentage;89,21;111,21;78,99;73,07;86,89;112,62;119,65;82,41;72,12;86,62;81,76;105,25;76,49;97,87;76,95;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
