Stemdistrict;VVD;PvdA;PVV;SP;CDA;D66;Cr.Unie;GrL;SGP;PvdD;50plus;L 12;L 13;L 14;L 15;L 16;L 17;L 18;L 19;L 20;L 21;L 22;L 23;L 24 ;L 25;L 26;L 27;Geldig;Blanco;Ongeldig;Oproep;Opkomst;Opkomst
1 Albertusgebouw;326;69;236;164;220;125;11;66;3;32;51;2;4;1;2;13;1;0;0;1;0;0;0;1;0;0;1;1329;1;5;1583;1335;84,30%
2 De Ziep;264;60;184;163;216;128;8;72;0;23;42;2;2;2;1;21;0;0;0;2;0;1;0;1;0;0;1;1193;0;1;1564;1194;76,30%
3 A.Schweitsersch;337;85;325;243;266;167;9;89;4;31;59;3;5;12;1;30;0;0;2;4;3;1;0;1;1;0;0;1678;0;5;1822;1683;92,40%
4 Cafe-restaurant Uniek;625;92;318;249;349;233;10;102;3;51;79;2;3;1;5;21;0;0;0;3;1;2;1;0;0;0;0;2150;1;1;2321;2152;92,70%
5 gemeentehuis;295;45;236;129;165;106;3;89;2;28;30;3;0;7;1;16;1;0;0;2;0;1;0;5;0;0;3;1167;3;3;1938;1173;60,50%
6 Verenigingsgebouw de Zomp;308;39;146;83;334;94;5;51;0;22;37;0;5;0;1;19;0;0;1;4;0;0;1;1;0;0;0;1151;1;1;1362;1153;84,70%
7 Verenigingsgebouw de Meikever;276;33;236;121;266;80;9;45;0;26;43;0;3;0;1;10;0;0;0;0;0;1;0;0;0;0;0;1150;2;2;1474;1154;78,30%
8 Gouden Handen;453;89;365;224;246;199;12;108;1;47;67;4;12;10;2;38;0;0;3;7;1;1;1;3;0;0;1;1894;2;3;2222;1899;85,50%
9 het Willem van den Berghcentrum;265;62;274;157;174;108;7;71;1;25;49;2;5;8;0;18;1;0;2;5;0;0;0;2;0;0;0;1236;1;4;1621;1241;76,60%
10 Past.Galamasch;159;54;326;183;105;88;9;75;2;25;46;0;6;43;2;18;0;1;0;4;0;3;0;1;1;0;1;1152;0;3;1588;1155;72,70%
11 Dorpshuis Lengel;229;28;176;123;142;100;8;52;2;25;25;0;2;7;2;22;0;0;0;5;0;2;0;0;0;0;1;951;0;0;1330;951;71,50%
12 Dorpshuis Zeddam;287;57;135;105;243;108;5;57;5;25;52;0;5;2;0;23;0;1;1;0;1;0;0;1;0;0;0;1113;0;2;938;1115;118,90%
13 Kantine voetbalvereniging Stokkum;196;40;120;80;194;70;5;35;0;10;36;2;3;0;0;15;0;0;0;0;0;0;0;0;0;0;2;808;1;0;939;809;86,20%
"14 Dorpshuis De Braempt""""";199;34;137;93;181;66;6;49;6;13;30;1;2;2;0;14;0;1;0;1;1;0;0;1;0;0;0;837;0;1;1011;838;82,90%
15 De Averhof;321;29;193;126;225;93;10;48;1;15;50;0;6;1;1;19;0;1;0;1;0;0;0;2;1;0;0;1143;0;4;1317;1147;87,10%
16 Partycentrum  De Dèèl;198;19;94;71;161;75;2;38;5;17;22;0;4;0;1;12;1;0;0;1;0;0;0;0;1;0;0;722;1;0;829;723;87,20%
17 zaal van 't Kelrehuus;226;44;148;129;237;73;7;53;0;14;38;5;1;0;2;17;0;1;0;9;0;0;0;0;0;0;0;1004;2;2;1203;1008;83,80%
18 clubgebouw voetbalverening Azewijn;125;25;39;45;176;42;4;18;3;15;13;2;0;0;0;13;0;0;1;0;0;0;0;0;0;0;0;521;2;0;587;523;89,10%
19 hal Waverlo/Meulenvelden;228;68;226;181;263;108;14;82;0;21;71;1;0;7;0;8;1;0;2;8;0;0;0;0;2;2;1;1294;0;7;1441;1301;90,30%
"20 Sydehem"" Benedendorpsstraat 35 Zed""";169;25;101;75;121;85;6;37;1;21;35;1;6;2;0;14;0;1;1;4;2;1;0;0;1;0;0;709;0;1;1163;710;61,00%
Totaal;5486;997;4015;2744;4284;2148;150;1237;39;486;875;30;74;105;22;361;5;6;13;61;9;13;3;19;7;2;11;23202;17;45;28253;23264;83,10%
