LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11,Sb 12,Sb 13,Sb 14,Sb 15,Sb 16,Sb 17
1,VVD,1,"Rutte, M. (Mark) (m)",3642,373,132,117,243,247,302,171,118,93,194,184,157,174,307,218,243,369
,,2,"Hennis - Plasschaert, J.A. (Jeanine) (v)",201,29,8,8,7,16,21,3,6,3,11,6,18,11,20,9,11,14
,,3,"Zijlstra, H. (Halbe) (m)",19,4,2,0,1,0,2,2,2,0,3,1,0,1,1,0,0,0
,,4,"van Ark, T. (Tamara) (v)",17,3,1,0,0,1,1,1,1,0,1,1,1,0,2,2,1,1
,,5,"Dijkhoff, K.H.D.M. (Klaas) (m)",193,27,15,6,14,13,16,9,6,1,7,5,9,11,19,12,11,12
,,6,"Dekker, S. (Sander) (m)",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,7,"Visser, B. (Barbara) (v)",9,3,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,0
,,8,"Harbers, M.G.J. (Mark) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,9,"ten Broeke, J.H. (Han) (m)",549,67,31,16,32,39,49,22,10,8,29,27,19,22,51,31,45,51
,,10,"Azmani, M. (Malik) (m)",43,6,3,9,3,1,8,0,0,0,0,2,1,1,2,2,4,1
,,11,"Wiersma, A.D. (Dennis) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,12,"Lodders, W.J.H. (Helma) (v)",5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1
,,13,"van 't Wout, B. (Bas) (m)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,14,"Becker, B. (Bente) (v)",4,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0
,,15,"Duisenberg, P.J. (Pieter) (m)",2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,16,"Hermans, S.T.M. (Sophie) (v)",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,,17,"Mulder, A. (Anne) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18,"de Vries, A. (Aukje) (v)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,19,"Yeşilgöz - Zegerius, D. (Dilan) (v)",4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
,,20,"Rutte, A.C.L. (Arno) (m)",3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,21,"Tellegen, O.C. (Ockje) (v)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,22,"Koerhuis, D.A.N. (Daniel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"Ziengs, E. (Erik) (m)",4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
,,24,"Bosman, A. (André) (m)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,"van den Bosch, A. (Albert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"El Yassini, Z. (Zohair) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"Dijkstra, R.J. (Remco) (m)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
,,28,"Wörsdörfer, M. (Martin) (m)",2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,,29,"Weverling, A. (Arne) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,"Nijkerken - de Haan, C.N.A. (Chantal) (v)",16,3,0,0,1,2,1,1,0,1,0,1,1,1,1,1,1,1
,,31,"Potters, S.C.C.M. (Sjoerd) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"van Oosten, F. (Foort) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,33,"Koopmans, S.M.G. (Sven) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
