Nr;Stembureau;Lijstnr 1 ;Lijstnr 2 ;Lijstnr 3 ;Lijstnr 4 ;Lijstnr 5 ;Lijstnr 6 ;Lijstnr 7 ;Lijstnr 8 ;Lijstnr 9 ;Lijstnr 10 ;Lijstnr 11 ;Lijstnr 12 ;Lijstnr 13 ;Lijstnr 14 ;Lijstnr 15 ;Lijstnr 16 ;Lijstnr 17 ;Lijstnr 18 ;Lijstnr 19 ;Lijstnr 20 ;Lijstnr 21 ;Lijstnr 22 ;Lijstnr 23 ;Lijstnr 24 ;Lijstnr 25 ;Uitgebrachte stemmen;Blanco stemmen;Geldige stemmen;Ongeldige stemmen;Aantal kiezers;Aantal opgeroepen
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Woonzorgcentrum De Hoven;105;46;102;59;121;47;22;36;10;14;55;1;2;3;0;9;1;0;0;2;3;0;1;0;0;639;0;639;0;639;1112
2;Woonzorgcentrum De Uiterton;214;83;239;120;145;79;51;105;16;36;63;0;6;28;0;19;1;0;0;2;11;2;0;3;1;1224;3;1227;7;1234;1829
3;School Laetare;142;44;200;100;46;76;42;104;8;26;28;2;3;121;0;14;0;0;0;3;14;2;0;0;1;976;1;977;4;981;1495
4;Wijkcentrum Zuiderzee;91;52;210;84;54;52;28;79;12;21;36;2;1;65;4;5;0;0;0;7;16;5;0;3;3;830;1;831;7;838;1344
5;Atolplaza;65;49;166;114;53;82;28;91;7;37;43;1;2;415;1;6;1;1;0;2;13;1;1;3;2;1184;0;1184;12;1196;1592
6;Kerkcentrum Ontmoetingskerk;112;52;187;105;91;69;41;83;13;24;52;2;5;98;0;13;0;0;0;2;8;1;0;1;0;959;5;964;2;966;1401
7;School De Wingerd;276;79;149;58;185;141;108;100;8;42;57;2;5;3;1;30;0;0;1;9;1;2;0;1;0;1258;4;1262;1;1263;1534
8;School Arcus;142;67;89;65;64;101;32;82;2;30;38;2;6;3;2;16;0;1;0;3;0;0;0;0;0;745;1;746;3;749;1199
9;Buurtvereniging Het Palet;286;87;233;133;132;135;60;136;16;62;68;1;8;8;4;32;0;1;1;9;0;6;2;1;1;1422;3;1425;2;1427;1688
10;Laarstaete;106;56;155;122;52;47;44;59;5;34;49;0;2;10;0;22;1;0;2;4;5;0;0;1;1;777;5;782;5;787;1499
11;School De Driemaster;209;68;242;129;97;119;32;121;11;38;46;3;8;35;2;28;1;1;0;6;5;0;0;2;7;1210;4;1214;8;1222;1665
12;School Het Spectrum;180;66;168;115;80;109;48;99;12;38;56;3;8;5;3;26;0;0;1;5;3;2;0;1;0;1028;1;1029;0;1029;1461
13;Buurtcentrum De Brink;187;90;312;166;91;102;37;115;11;45;79;3;5;39;6;21;2;0;2;13;16;1;1;1;1;1346;6;1352;11;1363;1365
14;School De Poolster;63;42;201;113;45;66;30;74;2;26;36;0;8;46;0;10;0;0;2;3;12;0;0;1;1;781;0;781;7;788;1629
15;School Driestromenland;208;108;328;175;122;114;63;141;11;162;62;2;6;60;5;45;0;0;1;8;20;2;0;1;2;1646;1;1647;13;1660;2059
16;Apollo Hotel Lelystad;137;57;141;104;54;63;20;70;2;33;24;3;2;14;3;15;0;0;1;4;7;1;0;2;8;765;3;768;3;771;1213
17;Kerkcentrum Het Anker;284;86;170;113;171;150;64;128;11;50;72;3;7;0;2;35;1;1;0;9;1;1;1;0;0;1360;4;1364;2;1366;1584
18;School De Boeier;385;94;135;105;115;176;40;134;3;46;73;0;8;2;2;33;0;2;0;6;1;1;0;1;0;1362;0;1362;0;1362;1323
19;KBS De Toermalijn Noord;154;65;230;111;71;61;36;63;4;37;68;0;8;20;3;25;0;1;4;4;5;0;0;0;2;972;1;973;4;977;2117
20;School De Albatros;405;65;269;100;144;142;30;63;7;34;48;0;7;10;5;38;0;2;2;7;0;2;2;0;3;1385;7;1392;7;1399;2163
21;Dans- en Partycentrum Overeem;182;68;341;200;91;103;31;123;7;56;57;2;13;33;2;22;2;0;2;6;4;1;1;3;1;1351;1;1352;5;1357;1780
22;Kindcentrum Warande;311;41;109;42;80;128;29;91;6;24;16;0;8;14;1;39;0;0;0;4;1;0;0;2;0;946;0;946;0;946;1269
23;Woonzorgcentrum Hanzeborg;276;120;357;214;118;185;52;169;13;68;94;1;3;67;3;38;1;0;1;6;6;2;1;2;0;1797;5;1802;7;1809;2232
24;Kerkcentrum 't Lichtschip;259;49;269;165;120;110;50;125;18;59;57;4;6;7;1;33;3;0;1;13;5;0;0;1;0;1355;1;1356;4;1360;1675
25;School De Toermalijn;144;63;266;103;76;110;46;95;4;56;68;3;6;9;1;18;0;0;0;3;6;1;0;0;0;1078;7;1085;3;1088;1617
26;Kerkcentrum Petruskerk;187;77;240;117;94;82;29;83;7;32;81;2;2;34;3;22;0;0;0;6;3;1;1;1;0;1104;2;1106;5;1111;1479
27;School De Tjalk;229;70;211;123;117;121;46;78;5;36;48;1;1;5;1;29;1;0;2;4;9;1;0;1;2;1141;2;1143;5;1148;1557
28;School De Triangel;216;54;272;130;96;85;38;76;10;46;49;1;14;12;6;28;0;1;0;4;6;0;0;4;2;1150;2;1152;10;1162;1621
29;Buurtcentrum De Windhoek;205;73;339;143;86;119;37;119;2;64;57;5;11;18;2;41;2;2;4;8;3;2;0;1;2;1345;1;1346;6;1352;1284
30;Tennispark I.T.L.;181;26;106;33;78;81;17;29;6;21;27;0;9;4;0;13;1;0;0;2;3;1;0;0;1;639;14;653;0;653;741
31;School De Tjotter;551;85;190;116;179;198;68;136;16;55;65;1;8;28;2;42;0;0;0;6;4;3;0;1;0;1754;2;1756;4;1760;2044
32;Groenhorst College;233;46;128;84;104;91;29;70;10;32;44;1;3;1;2;16;0;0;1;3;2;1;0;1;0;902;1;903;1;904;1148
33;School De Lispeltuut;405;60;216;98;115;154;50;85;12;62;61;1;9;15;11;36;3;0;0;10;10;1;0;1;0;1415;2;1417;1;1418;1871
34;Stadhuis Lelystad;227;118;243;144;102;206;39;194;5;65;75;2;11;41;3;29;1;1;1;14;10;1;0;5;3;1540;1;1541;4;1545;801
35;Kerkcentrum Lichtbron;407;77;180;84;133;110;71;118;21;31;43;5;2;23;2;27;2;0;0;5;8;0;0;1;1;1351;3;1354;1;1355;1266
36;School De Meander (M.O);359;39;126;27;114;109;32;63;11;29;27;0;7;10;1;15;0;0;0;4;3;0;0;0;0;976;3;979;1;980;1419
37;School De Sluis;119;22;75;46;33;52;12;54;2;20;17;4;3;2;3;13;0;0;1;0;2;0;0;1;0;481;0;481;2;483;1318
38;Marker Wadden;251;120;77;83;156;172;58;205;7;79;36;1;7;0;3;18;0;0;1;10;1;1;0;2;0;1288;0;1288;1;1289;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Totaal;8493;2564;7671;4143;3825;4147;1590;3796;333;1670;1975;64;230;1308;90;921;24;14;31;216;227;45;11;49;45;43482;97;43579;158;43737;56394
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Partijnaam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Partij van de Arbeid (P.v.d.A.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;PVV (Partij voor de Vrijheid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;SP (Socialistische Partij);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;CDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Democraten 66 (D66);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;ChristenUnie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;GROENLINKS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Staatkundig Gereformeerde Partij (SGP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Partij voor de Dieren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;50PLUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;OndernemersPartij;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;VNL (VoorNederland);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;DENK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;NIEUWE WEGEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Forum voor Democratie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;De Burger Beweging;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Vrijzinnige Partij;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;GeenPeil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Piratenpartij;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Artikel 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Niet Stemmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Libertarische Partij (LP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Lokaal in de Kamer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;JEZUS LEEFT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
