"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Zevenaar"
"Nummer";"";"0299"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Locatie Pelgromhof";"NME-gebouw";"IKC De Tamboerijn";"Rode Kruis gebouw";"Basisschool De Carrousel";"Kantine AV de Liemers";"OBS Het Kofschip";"Rijnstate ziekenhuis, locatie Zevenaar";"Basisschool Lindenhage";"Dienstencentrum De Hooge Bongert";"Partycentrum de Griethse Poort";"Caleidoz, locatie Steenhuizen";"Schoolgebouw Guido Gezellestraat";"Brede School St. Martinus";"Kulturhus De Borg Babberich";"Centrum De Meent";"Dorpshuis Het Gebouw";"Hof van Giesbeek";"Clubgebouw GSV'38"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19"
"";"opgeroepenen";"";"";"25870";"1407";"1279";"1329";"1487";"1262";"1569";"1374";"1414";"1430";"1471";"1237";"1631";"1365";"1712";"1459";"1045";"1179";"1282";"938"
"";"geldige stempas";"";"";"19548";"1203";"874";"1017";"1172";"893";"1118";"1351";"1234";"573";"1309";"960";"1075";"1072";"1156";"1114";"844";"774";"1074";"735"
"";"geldig volmachtbewijs";"";"";"1690";"83";"73";"90";"100";"60";"113";"133";"120";"58";"96";"104";"116";"73";"127";"66";"75";"55";"75";"73"
"";"geldige kiezerspas";"";"";"59";"3";"0";"6";"1";"3";"1";"0";"3";"0";"4";"5";"4";"0";"2";"19";"2";"2";"4";"0"
"";"toegelaten kiezers";"";"";"21297";"1289";"947";"1113";"1273";"956";"1232";"1484";"1357";"631";"1409";"1069";"1195";"1145";"1285";"1199";"921";"831";"1153";"808"
"";"geldige stembiljetten";"";"";"21174";"1283";"949";"1110";"1240";"952";"1230";"1467";"1344";"630";"1398";"1067";"1188";"1141";"1279";"1194";"919";"829";"1149";"805"
"";"blanco stembiljetten";"";"";"30";"3";"0";"0";"1";"2";"2";"5";"3";"0";"2";"2";"3";"1";"3";"2";"1";"0";"0";"0"
"";"ongeldige stembiljetten";"";"";"54";"1";"0";"2";"4";"4";"1";"7";"8";"1";"10";"0";"3";"2";"3";"3";"1";"0";"1";"3"
"";"aangetroffen stembiljetten";"";"";"21258";"1287";"949";"1112";"1245";"958";"1233";"1479";"1355";"631";"1410";"1069";"1194";"1144";"1285";"1199";"921";"829";"1150";"808"
"";"meer stembiljetten dan toegelaten kiezers ";"";"";"6";"0";"2";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"minder stembiljetten dan toegelaten kiezers ";"";"";"45";"2";"0";"1";"28";"0";"0";"5";"2";"0";"0";"0";"1";"1";"0";"0";"0";"2";"3";"0"
"";"kiezers met stembiljet hebben niet gestemd";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn te weinig stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn te veel stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
