"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Veendam"
"Nummer";"";"0047"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Gemeentehuis";"Cultuurcentrum van Beresteyn";"Waterschap Hunze en Aa's";"Huize St Franciscus";"Woonzorgcentrum A.G. Wildervanck";"Verpleeghuis Meander";"Zorglokatie Meander: De Breehorn";"Wijkcentrum Dukdalf";"O.B.S. de Viermaster";"Woon en zorgcentrum Westerhave";"Bijleveldcentrum";"O.B.S. de Sleutel";"Dorpshuis de Molenwiek";"Woonzorgcomplex De Meridiaan";"Buurthuis Noord-West";"O.S.G. Winkler Prins";"VV Borgercompagnie"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17"
"Postcode";"";"";"";"";"9641 AW";"9641 AD";"9641 PJ";"9641 LW";"9642 LN";"9642 AP";"9642 LK";"9642 MA";"9642 KX";"9648 BE";"9648 CM";"9648 KK";"9644 VL";"9645 HC";"9645 BC";"9646 AA";"9631 TN"
"";"opgeroepenen";"";"";"21838";"1214";"1428";"1140";"1247";"1330";"817";"1157";"1718";"1189";"1534";"1234";"1368";"1337";"2241";"1000";"1531";"353"
"";"geldige stempas";"";"";"15704";"1120";"1325";"572";"808";"809";"708";"734";"1393";"896";"1140";"839";"846";"915";"1515";"588";"1210";"286"
"";"geldig volmachtbewijs";"";"";"1423";"119";"126";"53";"74";"62";"51";"55";"117";"67";"100";"73";"86";"100";"150";"57";"112";"21"
"";"geldige kiezerspas";"";"";"22";"1";"6";"2";"0";"1";"3";"0";"0";"0";"1";"1";"3";"2";"0";"0";"2";"0"
"";"toegelaten kiezers";"";"";"17149";"1240";"1457";"627";"882";"872";"762";"789";"1510";"963";"1241";"913";"935";"1017";"1665";"645";"1324";"307"
"";"geldige stembiljetten";"";"";"17058";"1236";"1447";"624";"876";"872";"758";"782";"1505";"959";"1234";"910";"930";"1014";"1651";"636";"1317";"307"
"";"blanco stembiljetten";"";"";"23";"1";"4";"1";"1";"0";"2";"1";"2";"0";"1";"1";"4";"1";"2";"2";"0";"0"
"";"ongeldige stembiljetten";"";"";"50";"1";"6";"2";"5";"3";"0";"6";"3";"1";"3";"2";"1";"1";"10";"5";"1";"0"
"";"aangetroffen stembiljetten";"";"";"17131";"1238";"1457";"627";"882";"875";"760";"789";"1510";"960";"1238";"913";"935";"1016";"1663";"643";"1318";"307"
"";"meer stembiljetten dan toegelaten kiezers ";"";"";"3";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"minder stembiljetten dan toegelaten kiezers ";"";"";"21";"2";"0";"0";"0";"0";"2";"0";"0";"3";"3";"0";"0";"1";"2";"2";"6";"0"
"";"kiezers met stembiljet hebben niet gestemd";"";"";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"";"er zijn te weinig stembiljetten uitgereikt";"";"";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"";"er zijn te veel stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn stembiljetten kwijtgeraakt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"geen verklaring";"";"";"21";"2";"0";"0";"0";"3";"2";"0";"0";"3";"3";"0";"0";"0";"0";"2";"6";"0"
"";"andere verklaring";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
