Nr;Stembureau;Lijstnr 1 ;Lijstnr 2 ;Lijstnr 3 ;Lijstnr 4 ;Lijstnr 5 ;Lijstnr 6 ;Lijstnr 7 ;Lijstnr 8 ;Lijstnr 9 ;Lijstnr 10 ;Lijstnr 11 ;Lijstnr 12 ;Lijstnr 13 ;Lijstnr 14 ;Lijstnr 15 ;Lijstnr 16 ;Lijstnr 17 ;Lijstnr 18 ;Lijstnr 19 ;Lijstnr 20 ;Lijstnr 21 ;Lijstnr 22 ;Lijstnr 24 ;Lijstnr 28 ;Uitgebrachte stemmen;Blanco stemmen;Geldige stemmen;Ongeldige stemmen;Aantal kiezers;Aantal opgeroepen;Opkomst percentage
1;Brede School De Oude Boomgaard;194;28;62;43;54;61;5;53;0;13;8;3;2;0;1;15;0;1;0;1;0;0;0;0;544;1;545;0;545;1212;44,97%
2;Woonzorgcomplex De Carrousel;232;27;83;36;104;50;11;39;6;10;25;1;6;1;2;10;0;0;1;2;0;0;1;0;647;1;648;1;649;1000;64,90%
3;Café De Brug;195;23;70;42;49;39;12;37;2;20;11;0;2;0;1;16;0;0;0;1;0;0;1;0;521;0;521;3;524;800;65,50%
4;Café Wapen van Holland;524;53;147;108;204;167;17;82;1;26;45;1;14;5;2;40;0;1;1;4;0;0;5;0;1447;1;1448;1;1449;1006;144,04%
5;Zwembad Den Krieck;513;60;200;74;239;152;27;60;9;33;61;6;11;0;3;37;1;0;0;7;0;1;5;0;1499;1;1500;5;1505;1159;129,85%
6;Wijksteunpunt Keijzershoff;285;89;179;126;186;124;31;90;5;31;106;3;11;3;3;23;1;0;0;2;0;2;9;0;1309;1;1310;0;1310;1196;109,53%
10;Amerikaanse schoolbus;97;19;24;30;22;32;2;26;1;15;8;1;4;0;1;3;1;0;1;0;0;0;0;0;287;0;287;1;288;1000;28,80%
11;Zorgcentrum Noorderlicht 1;266;59;141;82;103;88;12;55;2;30;56;0;8;0;1;31;0;0;2;1;0;0;5;1;943;0;943;1;944;1050;89,90%
12;Zorgcentrum Noorderlicht 2;377;93;187;106;138;117;19;75;7;27;51;0;9;0;3;66;3;1;0;4;0;0;6;0;1289;0;1289;3;1292;1045;123,64%
13;Dorpshuis 't Skrale End;160;52;126;39;50;55;14;38;3;16;18;1;8;0;5;19;1;0;1;4;0;0;2;0;612;0;612;0;612;761;80,42%
14;Zorgcentrum Kapellehof;187;49;151;57;84;47;4;35;1;15;45;4;8;1;4;37;0;1;1;3;1;1;4;0;740;0;740;2;742;1000;74,20%
15;Kantine vv Wiron;186;35;141;72;81;78;8;31;6;15;39;1;5;0;1;27;0;0;0;5;0;1;5;0;737;1;738;1;739;914;80,85%
17;Sporthal de Veerburg 1;277;52;187;99;137;95;17;78;4;26;56;3;12;1;2;16;0;0;0;2;0;0;4;0;1068;0;1068;3;1071;1600;66,94%
