Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 23 ,Lijstnr 24 ,Lijstnr 25 ,Lijstnr 26 ,Lijstnr 27 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
1,Gemeentehuis,311,98,136,172,171,161,13,92,0,32,30,1,11,3,2,16,0,1,0,3,1,3,0,2,0,0,3,1262,0,1262,2,1264,1162,"108,78%"
2,Zorgcentrum J.W. Andriessen,218,80,94,163,169,127,5,84,4,29,36,0,4,1,0,4,0,0,1,2,0,0,0,3,0,0,1,1025,3,1028,4,1032,1256,"82,17%"
3,School Noord,249,124,170,198,153,142,15,106,0,15,37,3,7,7,0,27,0,0,2,3,0,0,0,2,0,0,0,1260,1,1261,4,1265,1538,"82,25%"
4,H.W. Heuvelschool,358,88,119,137,202,174,10,87,5,17,17,1,6,4,0,14,1,0,0,3,0,0,0,0,0,0,1,1244,0,1244,2,1246,1447,"86,11%"
5,Kiezel en Kei School,145,32,53,96,92,100,11,68,2,15,18,2,0,3,1,15,0,3,0,0,0,0,0,2,0,0,0,658,0,658,1,659,788,"83,63%"
6,Dorpshuis De Zunnekamp,296,58,62,71,175,75,15,61,2,20,19,0,2,0,0,5,0,0,0,3,0,1,0,1,1,0,0,867,3,870,1,871,1029,"84,65%"
7,Dorpshoes Gelster,137,29,39,29,116,41,12,25,0,9,10,2,2,0,1,7,1,0,0,1,0,0,0,0,0,0,0,461,1,462,3,465,538,"86,43%"
8,Kulturhus 't Stieltjen,146,42,33,49,110,50,19,37,2,15,9,2,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,520,1,521,1,522,559,"93,38%"
9,Kerst Zwartschool,284,76,94,156,163,117,16,95,0,22,35,0,1,6,0,12,0,0,0,5,0,0,0,7,0,0,0,1089,1,1090,3,1093,1217,"89,81%"
10,Wooncentrum De Bundeling,322,85,60,128,210,108,17,69,6,27,32,7,1,0,0,15,0,0,0,1,0,2,0,0,0,0,3,1093,1,1094,5,1099,1236,"88,92%"
11,OBS De Driesprong,280,31,54,63,205,75,17,25,11,15,15,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,804,0,804,1,805,1092,"73,72%"
12,CBS WonderWijs,194,93,94,175,142,156,13,76,4,17,31,3,3,12,0,7,1,0,0,1,0,1,0,1,0,0,1,1025,1,1026,2,1028,1329,"77,35%"
13,Zalencentrum de Huve,306,90,100,191,298,145,12,126,8,30,22,2,8,3,0,18,1,0,1,3,2,0,0,1,0,0,0,1367,0,1367,6,1373,1723,"79,69%"
14,Woonzorgcentrum de Meergaarden,191,133,156,214,258,147,13,108,10,22,49,1,5,0,2,10,0,0,0,2,2,0,0,0,0,2,0,1325,1,1326,3,1329,1271,"104,56%"
15,RK Basisschool De Regenboog,202,132,189,279,237,113,22,98,0,43,32,2,8,9,1,26,0,3,0,4,1,2,0,2,0,0,1,1406,9,1415,8,1423,1484,"95,89%"
