Nr,Stembureau,Lijstnr 1 VVD,Lijstnr 2 P.v.d.A.,Lijstnr 3 PVV,Lijstnr 4 SP,Lijstnr 5 CDA,Lijstnr 6 D66,Lijstnr 7 CU,Lijstnr 8 GL,Lijstnr 9 SGP,Lijstnr 10 PvdD,Lijstnr 11 50PLUS,Lijstnr 12 OP,Lijstnr 13 VNL,Lijstnr 14 DENK,Lijstnr 15 NW,Lijstnr 16 FVD,Lijstnr 17 DBW,Lijstnr 18 VP,Lijstnr 19 GP,Lijstnr 20 PP,Lijstnr 21 A1,Lijstnr 22 NS,Lijstnr 24 LidK,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
"1,Gemeentehuis,298,100,412,193,118,209,33,115,6,68,82,5,14,20,0,54,0,1,1,13,2,8,3,1755,6,1761,10,1771,1477,""119,91%"""
"2,Woon en zorgcentrum Huis ter Hagen,369,90,52,33,141,169,26,88,4,30,27,0,2,0,0,16,0,0,1,1,0,1,0,1050,0,1050,0,1050,1121,""93,67%"""
"3,Basisschool De Toermalijn,446,97,72,46,135,245,22,110,0,45,17,1,3,0,1,29,0,0,0,4,0,0,0,1273,3,1276,2,1278,1316,""97,11%"""
"4,Voormalig Raadhuis,379,98,111,52,139,154,43,70,4,32,46,0,0,2,0,14,0,0,2,2,0,0,0,1148,3,1151,0,1151,1564,""73,59%"""
"10,Wooncentrum Velserhooft,523,127,79,94,155,335,38,197,3,75,52,0,5,0,4,29,2,1,1,5,1,1,1,1728,3,1731,1,1732,1881,""92,08%"""
"11,Cafe Zaal De Wildeman,582,93,158,101,162,306,25,173,0,72,45,0,4,3,2,44,0,1,0,5,0,1,2,1779,5,1784,2,1786,1847,""96,70%"""
"13,De ZorgSpecialist,463,137,102,81,157,265,36,143,9,71,46,2,5,0,0,29,1,1,2,9,0,1,0,1560,1,1561,8,1569,1880,""83,46%"""
"14,'t Brederode Huys,531,101,54,50,129,303,29,187,2,63,19,1,0,2,0,35,0,0,0,0,0,1,1,1508,4,1512,5,1517,1410,""107,59%"""
"15,Basisschool Het Anker,391,93,216,122,144,165,46,148,5,64,65,4,13,0,3,33,0,0,1,3,0,2,2,1520,0,1520,4,1524,1880,""81,06%"""
"16,Brederode Daltonschool,289,41,42,26,59,182,19,74,3,32,7,1,0,0,0,8,0,0,0,0,0,0,0,783,0,783,0,783,1121,""69,85%"""
"17,COB Hofstede,404,100,206,128,168,214,67,146,8,59,82,1,10,3,1,41,0,0,2,6,0,0,2,1648,1,1649,4,1653,1680,""98,39%"""
"18,De Pionier,497,116,251,136,198,289,54,159,2,80,75,2,7,11,2,47,0,0,0,4,2,3,2,1937,1,1938,3,1941,1791,""108,38%"""
"19,Basisschool De Westbroek,428,81,134,117,140,182,34,115,5,45,41,0,4,5,2,37,0,1,1,6,0,0,2,1380,0,1380,4,1384,1781,""77,71%"""
"20,Basisschool De Hoeksteen,296,68,157,81,108,162,32,88,2,34,49,3,6,1,3,30,0,0,0,4,0,1,0,1125,1,1126,0,1126,1595,""70,60%"""
"21,RKBS De Rozenbeek,386,84,160,107,119,210,31,129,5,42,44,1,13,12,0,27,0,0,0,4,1,2,0,1377,1,1378,4,1382,1908,""72,43%"""
"22,Sporthal Het Polderhuis,486,80,219,114,184,239,39,119,4,61,60,4,13,9,1,45,1,1,6,6,0,2,5,1698,2,1700,5,1705,1687,""101,07%"""
"32,Stichting OIG-IHD,286,89,231,109,103,138,36,116,1,59,78,1,12,6,2,40,2,1,2,3,0,0,3,1318,1,1319,5,1324,1804,""73,39%"""
"33,Sint Fransciscusschool,337,66,284,109,100,168,32,100,5,49,56,4,9,8,4,52,0,0,0,3,2,1,0,1389,6,1395,2,1397,1779,""78,53%"""
"35,De Vliegende Hollander,212,68,362,131,95,93,26,78,1,25,65,6,9,19,0,41,1,0,1,3,0,1,1,1238,2,1240,4,1244,1762,""70,60%"""
"36,Buurthuis De Spil,156,54,228,144,64,98,17,58,2,35,73,2,6,7,4,31,0,1,0,5,0,0,3,988,1,989,0,989,1401,""70,59%"""
"41,Verpleeghuis Velserduin,144,92,315,154,76,97,25,76,1,44,81,0,8,46,3,38,1,3,1,8,1,0,3,1217,7,1224,6,1230,1607,""76,54%"""
"42,CBS Het Kompas,258,49,236,99,89,139,30,78,11,36,36,1,8,23,2,26,3,2,0,1,0,1,1,1129,1,1130,3,1133,1492,""75,94%"""
"44,Woon-en zorgcentrum W.F. Visserhuis,201,79,315,118,98,116,27,58,4,39,64,2,13,17,1,38,1,0,1,8,2,1,1,1204,4,1208,3,1211,1440,""84,10%"""
"46,IJmuider Zee en Havenmuseum,292,70,339,126,119,141,27,81,12,49,69,6,7,17,5,52,0,0,0,4,1,0,0,1417,2,1419,2,1421,1718,""82,71%"""
"48,Buurthuis De Brulboei,204,66,330,108,77,87,25,70,3,54,75,2,11,13,3,32,0,1,0,12,1,1,2,1177,2,1179,7,1186,1822,""65,09%"""
"50,Woonzorgcentrum De Moerberg,191,87,245,142,127,110,24,77,4,33,82,1,5,49,2,36,3,0,0,3,0,0,1,1222,2,1224,5,1229,1772,""69,36%"""
"53,""De Pleiaden, ingang schoolplein"",215,55,274,79,87,92,19,59,3,41,41,2,16,34,3,29,0,0,1,3,3,1,0,1057,0,1057,4,1061,1475,""71,93%"""
"55,Basisschool De Origon,252,65,245,133,95,116,36,103,2,38,62,0,3,28,3,50,0,0,1,1,3,1,0,1237,3,1240,1,1241,1736,""71,49%"""
"56,Buurtcentrum de Dwarsligger,147,48,197,91,78,107,28,97,1,34,45,5,4,78,2,29,1,0,0,4,1,2,1,1000,2,1002,6,1008,1122,""89,84%"""
"57,Dienstencentrum Zeewijk,187,86,232,117,111,77,30,73,3,36,80,1,13,28,0,23,0,0,1,4,1,0,1,1104,1,1105,2,1107,1534,""72,16%"""
"81,Wijkcentrum de Stek,151,60,342,149,67,113,21,99,2,44,61,0,6,87,5,21,0,0,0,14,1,4,1,1248,1,1249,8,1257,1651,""76,14%"""
"83,Woon en Zorgcentrum De Schulpen,210,55,347,157,95,115,16,105,5,48,68,3,8,66,5,20,0,0,1,12,1,1,5,1343,0,1343,2,1345,1912,""70,35%"""

",Totaal,10211,2595,6947,3447,3737,5436,993,3389,122,1537,1793,61,237,594,63,1076,16,14,26,160,23,37,43,42557,66,42623,112,42735,51966,""82,24 %"""
