Nr,Aanduiding van de politieke groepering,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11,Sb 12,Sb 13,Sb 14,Sb 15,Sb 16
1,VVD,2013,159,157,152,118,198,152,120,125,146,111,126,91,93,83,85,97
2,Partij van de Arbeid (P.v.d.A.),1085,92,69,115,81,134,91,50,81,93,55,22,29,37,63,27,46
3,PVV (Partij voor de Vrijheid),2872,103,113,98,176,133,242,321,321,281,288,144,100,117,185,98,152
4,SP (Socialistische Partij),1948,120,112,115,124,112,167,134,206,203,134,90,75,96,113,82,65
5,CDA,4106,333,248,397,273,380,340,210,262,255,193,350,247,154,84,182,198
6,Democraten 66 (D66),903,107,71,97,59,66,59,45,53,63,36,31,42,49,60,35,30
7,ChristenUnie,1767,234,117,237,142,130,131,57,85,131,92,162,70,45,25,61,48
8,GROENLINKS,788,108,59,93,57,48,60,39,38,60,25,28,37,36,41,36,23
9,Staatkundig Gereformeerde Partij (SGP),277,25,19,25,16,16,7,12,13,25,36,27,7,24,5,5,15
10,Partij voor de Dieren,282,25,21,25,18,12,25,15,24,24,13,13,17,14,14,7,15
11,50PLUS,487,24,24,33,31,38,37,33,43,46,33,22,26,25,35,23,14
12,OndernemersPartij,21,0,2,0,0,1,2,0,2,4,2,2,0,1,0,2,3
13,VNL (VoorNederland),44,3,4,2,2,1,5,3,3,3,1,4,1,4,3,2,3
14,DENK,5,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
15,NIEUWE WEGEN,39,2,1,3,1,5,7,0,2,6,4,2,0,2,2,1,1
16,Forum voor Democratie,348,22,12,21,20,15,20,32,40,40,17,34,11,11,14,24,15
17,De Burger Beweging,11,1,0,1,0,0,1,0,1,3,0,2,0,0,2,0,0
18,Vrijzinnige Partij,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
19,GeenPeil,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
20,Piratenpartij,29,1,0,3,3,3,2,3,1,2,2,1,0,3,2,1,2
23,Libertarische Partij (LP),5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
24,Lokaal in de Kamer,18,0,0,0,2,4,0,0,1,1,1,1,0,0,3,3,2

,Aantal op kandidaten uitgebrachte stemmen,17054,1360,1029,1418,1125,1297,1349,1074,1301,1388,1043,1062,754,711,737,676,730
,Aantal blanco stemmen,13,0,2,1,2,3,1,0,2,1,0,1,0,0,0,0,0
,Aantal geldige stemmen,17067,1360,1031,1419,1127,1300,1350,1074,1303,1389,1043,1063,754,711,737,676,730
,Aantal ongeldige stemmen,28,3,0,4,2,4,4,2,0,2,2,4,0,0,0,0,1
,Aantal kiezers,17095,1363,1031,1423,1129,1304,1354,1076,1303,1391,1045,1067,754,711,737,676,731
,Aantal opgeroepen kiezers,21437,1708,1267,1412,1551,1740,1408,1537,1750,1858,1383,1286,978,946,907,861,845
,Opkomstpercentage,"79,75%","79,80%","81,37%","100,78%","72,79%","74,94%","96,16%","70,01%","74,46%","74,87%","75,56%","82,97%","77,10%","75,16%","81,26%","78,51%","86,51%"
