"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Losser"
"Nummer";"";"0168"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aleida Leurinkhuis";"KBS De Verrekijker";"RK school De Wegwijzer";"De Muchte";"Maartens-Stede";"De Schuttersput";"De Driehoek";"Tiekerhook";"Dorpshuis De Glaan";"De Vereeniging";"Erve Boerrigter";"Cafe 't Sterrebos";"De LosserHof"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13"
"";"opgeroepenen";"";"";"17731";"1679";"1667";"1718";"1640";"1800";"1556";"1502";"1675";"383";"1306";"1523";"717";"565"
"";"geldige stempas";"";"";"12974";"1342";"1306";"1283";"1336";"1148";"1197";"1063";"1106";"284";"1000";"1123";"564";"222"
"";"geldig volmachtbewijs";"";"";"1292";"115";"117";"123";"120";"95";"101";"128";"110";"44";"99";"140";"68";"32"
"";"geldige kiezerspas";"";"";"155";"17";"4";"7";"4";"1";"1";"12";"9";"7";"22";"66";"5";"0"
"";"toegelaten kiezers";"";"";"14421";"1474";"1427";"1413";"1460";"1244";"1299";"1203";"1225";"335";"1121";"1329";"637";"254"
"";"geldige stembiljetten";"";"";"14385";"1474";"1425";"1404";"1455";"1240";"1299";"1198";"1221";"335";"1116";"1327";"637";"254"
"";"blanco stembiljetten";"";"";"11";"0";"0";"7";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0"
"";"ongeldige stembiljetten";"";"";"25";"0";"2";"2";"4";"4";"0";"4";"3";"0";"5";"1";"0";"0"
"";"aangetroffen stembiljetten";"";"";"14421";"1474";"1427";"1413";"1460";"1244";"1299";"1203";"1225";"335";"1121";"1329";"637";"254"
"";"meer stembiljetten dan toegelaten kiezers ";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"minder stembiljetten dan toegelaten kiezers ";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"kiezers met stembiljet hebben niet gestemd";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn te weinig stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn te veel stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn stembiljetten kwijtgeraakt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"geen verklaring";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"andere verklaring";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"VVD";"";"";"2900";"313";"303";"243";"371";"243";"253";"162";"155";"64";"251";"347";"141";"54"
"";"";"1";"Rutte, M.";"2234";"239";"241";"188";"293";"195";"199";"128";"118";"50";"189";"251";"108";"35"
"";"";"2";"Hennis-Plasschaert, J.A.";"101";"13";"9";"2";"7";"13";"7";"8";"11";"3";"5";"18";"4";"1"
"";"";"3";"Zijlstra, H.";"18";"2";"1";"0";"1";"1";"2";"1";"1";"1";"5";"1";"1";"1"
"";"";"4";"van Ark, T.";"10";"0";"2";"0";"2";"1";"0";"2";"1";"0";"1";"1";"0";"0"
"";"";"5";"Dijkhoff, K.H.D.M.";"79";"6";"10";"6";"16";"4";"6";"2";"9";"0";"5";"10";"4";"1"
"";"";"6";"Dekker, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Visser, B.";"6";"0";"0";"0";"1";"1";"1";"0";"0";"0";"2";"1";"0";"0"
"";"";"8";"Harbers, M.G.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"ten Broeke, J.H.";"373";"50";"32";"28";"44";"25";"28";"16";"10";"7";"39";"55";"23";"16"
"";"";"10";"Azmani, M.";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"3";"0";"0"
"";"";"11";"Wiersma, A.D.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Lodders, W.J.H.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"";"";"13";"van 't Wout, B.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Becker, B.";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Duisenberg, P.J.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"16";"Hermans, S.T.M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Mulder, A.";"3";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"18";"de Vries, A.";"4";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Ye?ilgöz-Zegerius, D.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Rutte, A.C.L.";"3";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"21";"Tellegen, O.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Koerhuis, D.A.N.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Ziengs, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"Bosman, A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"";"";"25";"van den Bosch, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"26";"El Yassini, Z.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Dijkstra, R.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Wörsdörfer, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Weverling, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Nijkerken-de Haan, C.N.A.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Potters, S.C.C.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Oosten, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Koopmans, S.M.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Middendorp, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"van der Linde, R.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"van Keulen, J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Laan-Geselschap, A.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Tielen, J.Z.C.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Veldman, H.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Heerema, R.J.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"van Haga, W.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"de Lange, L.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"van Gent, T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"de Veth, A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"Van Wijngaarden, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Aartsen, A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"Regterschot, K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
