;Partij;SB1;SB2;SB3;SB5;SB6;SB7;SB8;SB11;SB12;SB13;SB14;SB15;SB16;SB18;SB20;SB22;SB23;SB24;SB25;SB26;SB27;SB28;SB30;SB31;SB33;SB34;SB35;SB36;SB37;SB38;SB39;SB40;SB41;SB42;SB43;SB44;SB45;SB46;SB47;SB49;SB50;SB51;SB52;SB53;SB55;SB56;SB57;SB58;SB59;SB60;SB61;SB62;SB64;SB65;SB66;SB67;SB69;SB70;SB71;SB701;SB702;SB703;SB704;SB705;SB706;SB707;SB708;SB709;SB710;SB711;SB712;Partij;;
1;VVD;551;296;509;330;396;441;497;272;297;200;263;206;110;889;99;208;284;225;329;180;228;266;297;252;209;86;113;163;236;216;131;289;168;121;102;215;236;203;278;399;579;507;582;453;321;232;566;484;569;805;783;694;493;433;526;180;883;721;359;435;170;327;774;127;266;132;122;514;160;175;42;VVD;;24204
2;Partij van de Arbeid (P.v.d.A.);110;62;151;104;98;126;117;86;94;76;61;71;50;189;19;78;70;69;76;60;71;103;134;135;87;58;63;71;81;122;37;84;55;63;38;72;91;80;116;72;154;115;82;75;88;105;75;83;62;88;100;77;79;74;94;45;76;147;101;99;37;64;108;13;58;34;25;60;33;46;29;Partij van de Arbeid (P.v.d.A.);;5726
3;PVV (Partij voor de Vrijheid);184;97;275;225;469;157;127;517;316;347;213;465;402;178;52;260;194;259;245;185;325;384;327;583;292;202;230;219;284;312;68;247;190;248;148;238;179;203;348;318;458;297;291;358;322;396;314;319;310;239;169;195;183;164;171;193;307;191;149;78;32;135;90;30;112;62;60;95;47;44;147;PVV (Partij voor de Vrijheid);;16470
4;SP (Socialistische Partij);174;117;311;189;320;179;197;330;257;218;158;219;242;276;32;243;203;230;190;157;215;260;323;410;215;167;181;163;232;328;70;259;188;193;111;211;197;194;300;256;376;251;190;213;320;292;231;207;215;197;186;189;203;177;157;138;149;182;150;129;35;177;123;26;128;96;42;83;50;74;57;SP (Socialistische Partij);;13758
5;CDA;167;114;246;240;162;139;158;156;130;94;136;108;103;351;33;132;139;120;97;79;126;107;153;113;92;42;89;117;147;230;81;189;102;117;74;126;133;152;185;167;331;200;175;172;197;132;230;212;193;486;395;322;285;302;319;76;225;315;227;89;38;91;198;21;112;58;60;177;27;41;22;CDA;;11174
6;Democraten 66(D66);428;271;498;408;333;340;389;279;366;235;192;190;146;490;95;236;326;264;309;198;178;253;361;287;120;63;100;164;196;159;104;203;182;128;58;147;217;160;246;212;388;318;268;240;217;195;281;244;286;398;358;344;188;159;257;140;364;432;268;474;142;385;834;124;186;112;63;244;137;270;56;Democraten 66(D66);;17903
7;ChristenUnie;5;16;18;14;12;11;11;9;18;7;8;5;8;13;8;13;25;12;20;16;9;13;23;17;14;18;12;5;18;19;5;7;16;16;2;20;30;35;32;20;20;15;23;15;7;12;20;8;17;15;15;20;12;10;11;7;20;22;22;24;6;16;44;4;17;2;2;7;0;5;3;ChristenUnie;;1001
8;GROENLINKS;426;236;427;398;318;335;337;238;401;229;152;160;125;219;50;186;290;297;319;187;184;248;398;342;149;140;118;158;189;158;68;144;151;134;72;158;194;171;244;158;336;203;138;151;164;188;171;146;173;214;174;157;122;122;153;139;173;266;196;486;78;333;410;96;119;79;50;105;109;234;63;GROENLINKS;;14456
9;Staatkundig Gereformeerde Partij (SGP);5;0;2;3;0;4;1;6;6;4;1;2;1;0;1;2;3;1;2;2;4;5;6;5;0;0;0;9;3;2;0;2;3;2;3;6;4;0;2;1;3;0;4;5;4;2;0;3;2;6;2;0;2;3;4;2;5;6;3;3;3;3;3;0;1;0;0;0;1;2;0;Staatkundig Gereformeerde Partij (SGP);;175
10;Partij voor de Dieren;127;64;111;127;100;105;90;91;151;75;56;53;29;60;26;79;92;99;90;58;56;64;117;122;34;16;19;44;53;48;26;43;42;38;19;56;71;32;50;38;80;54;40;36;42;59;57;39;38;59;46;45;44;24;35;67;58;64;71;156;29;93;84;40;30;25;10;27;35;49;29;Partij voor de Dieren;;4236
11;50PLUS;53;37;82;46;87;49;42;102;63;61;39;68;68;72;7;65;53;39;39;47;52;43;70;88;86;38;43;46;76;131;13;91;52;54;28;66;68;53;88;60;143;100;54;62;107;76;83;76;62;75;69;59;77;48;46;17;45;62;65;14;9;33;18;6;36;15;18;39;18;11;15;50PLUS;;3923
12;OndernemersPartij;2;4;4;1;3;3;2;4;4;0;1;2;0;3;0;1;1;1;3;1;2;1;4;1;4;2;2;1;2;0;1;0;2;0;0;1;0;2;1;0;3;5;0;1;4;3;1;3;4;2;1;1;4;3;3;2;1;0;0;3;1;1;5;0;1;0;0;4;1;0;0;OndernemersPartij;;123
13;VNL (VoorNederland);2;8;3;6;8;4;3;8;6;5;2;7;7;3;1;7;6;4;7;2;4;8;2;10;4;3;2;6;5;6;1;11;9;3;5;3;4;4;4;2;16;13;7;7;8;10;9;15;14;11;5;4;10;7;7;3;8;6;3;3;2;9;9;0;3;2;1;3;2;3;1;VNL (VoorNederland);;396
14;DENK;37;7;4;44;36;6;2;138;61;64;50;149;63;0;59;24;15;17;21;20;14;77;33;194;356;181;170;123;170;67;3;31;134;115;44;113;227;90;280;9;36;31;48;15;17;48;17;26;20;1;0;0;15;9;4;14;33;98;20;32;8;16;101;4;17;18;5;1;3;11;55;DENK;;3971
15;NIEUWE WEGEN;3;1;2;0;3;1;9;5;4;1;0;1;1;4;0;4;0;8;2;2;1;1;0;2;1;0;1;1;2;1;0;3;3;3;1;0;0;2;1;2;3;4;2;2;1;1;1;2;2;7;3;3;2;0;1;0;2;0;1;1;0;1;4;0;1;0;0;0;0;0;0;NIEUWE WEGEN;;120
16;Forum voor Democratie;49;28;40;24;38;30;34;41;40;28;24;6;21;39;10;30;23;36;38;27;26;33;42;39;16;13;10;22;21;19;14;29;19;18;16;24;24;33;28;34;46;44;37;32;26;27;31;19;40;27;35;35;15;14;17;18;45;30;23;44;11;32;61;14;13;6;12;29;19;23;12;Forum voor Democratie;;1923
17;De Burger Beweging;3;0;2;2;1;0;0;0;1;2;2;1;1;1;0;0;0;0;1;0;0;1;3;5;0;0;1;0;0;0;0;0;0;1;0;1;0;2;1;3;2;0;0;3;1;1;0;0;0;2;0;0;0;0;1;0;0;3;0;0;0;0;1;0;0;0;1;0;0;0;0;De Burger Beweging;;50
18;Vrijzinnige Partij;0;1;0;2;0;2;0;3;0;2;0;0;3;0;0;0;1;1;1;1;0;1;0;3;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;1;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;Vrijzinnige Partij;;37
19;GeenPeil;0;0;1;0;0;3;1;1;1;1;0;1;0;0;0;1;0;0;2;3;0;0;1;2;0;0;0;1;3;0;0;0;3;0;1;0;3;2;0;1;0;1;0;2;1;0;3;1;0;0;1;0;0;0;0;1;1;0;0;2;1;1;3;1;0;0;0;0;0;0;0;GeenPeil;;51
20;Piratenpartij;9;10;4;9;14;11;5;12;13;14;6;5;1;5;4;10;9;6;17;13;10;13;16;20;2;2;2;4;3;0;1;4;4;7;0;6;6;4;5;3;13;4;7;2;10;4;5;5;4;4;2;5;3;4;2;5;3;6;4;13;2;16;12;2;3;2;0;3;2;4;2;Piratenpartij;;442
21;Artikel  1;2;4;4;4;1;2;0;5;8;3;1;1;2;0;0;1;4;0;0;3;2;5;11;6;13;11;3;2;4;5;3;7;0;3;0;6;6;3;5;2;8;6;3;0;4;6;0;2;3;0;0;1;0;0;0;0;0;2;2;6;0;4;11;0;2;0;0;1;1;0;1;Artikel  1;;205
22;Niet Stemmers;0;0;2;1;1;0;1;3;0;2;2;1;2;0;0;1;1;1;0;1;0;0;3;3;0;0;1;0;1;0;0;3;1;1;1;2;0;2;1;3;0;1;0;1;2;3;0;0;1;0;0;0;0;0;1;1;1;0;1;2;0;2;4;0;0;0;0;1;3;0;2;Niet Stemmers;;67
23;Libertarische Partij (LP);0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;3;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;3;0;0;Libertarische Partij (LP);;24
24;Lokaal in de Kamer;2;2;4;2;2;0;0;3;1;2;2;1;1;0;1;1;0;1;1;2;1;9;6;10;2;2;7;0;7;4;0;6;4;1;0;0;1;3;0;1;6;3;9;2;6;4;2;1;3;0;2;2;1;2;2;1;3;2;1;3;0;1;2;2;0;0;0;4;1;1;1;Lokaal in de Kamer;;159
25;JEZUS LEEFT;3;1;0;1;1;0;1;1;0;0;1;1;1;0;0;1;0;1;2;1;1;2;3;2;3;1;3;0;2;3;0;1;1;0;0;1;2;3;0;0;1;1;0;2;0;1;0;2;0;0;2;0;0;1;0;0;0;1;0;1;0;2;0;0;0;0;0;1;0;0;1;JEZUS LEEFT;;60
26;StemNL;0;0;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;StemNL;;11
;;2342;1376;2702;2180;2405;1948;2024;2310;2240;1671;1370;1723;1389;2793;497;1583;1739;1691;1811;1245;1509;1901;2333;2651;1700;1048;1171;1320;1735;1830;627;1653;1329;1268;724;1473;1694;1434;2215;1761;3002;2174;1962;1851;1871;1797;2099;1897;2018;2637;2348;2153;1739;1556;1811;1050;2404;2557;1667;2099;604;1743;2900;510;1106;643;471;1398;652;993;538;optelling partijtotalen;;120665
;Geldige stemmen kandidaat;2342;1376;2702;2180;2405;1948;2024;2310;2240;1671;1370;1723;1389;2793;497;1583;1739;1691;1811;1245;1509;1901;2333;2651;1700;1048;1171;1320;1735;1830;627;1653;1329;1268;724;1473;1694;1434;2215;1761;3002;2174;1962;1851;1871;1797;2099;1897;2018;2637;2348;2153;1739;1556;1811;1050;2404;2557;1667;2099;604;1743;2900;510;1106;643;471;1398;652;993;538;Geldige stemmen kandidaat;;120665
