Lijstnr,Aanduiding van de politieke groepering,Stemmen,Percentage,Zetels,Bijzonderheden
1,VVD,4982,"33,74",,
2,Partij van de Arbeid (P.v.d.A.),717,"4,86",,
3,PVV (Partij voor de Vrijheid),1630,"11,04",,
4,SP (Socialistische Partij),974,"6,60",,
5,CDA,2233,"15,12",,
6,Democraten 66 (D66),1583,"10,72",,
7,ChristenUnie,132,"0,89",,
8,GROENLINKS,931,"6,30",,
9,Staatkundig Gereformeerde Partij (SGP),50,"0,34",,
10,Partij voor de Dieren,418,"2,83",,
11,50PLUS,535,"3,62",,
12,OndernemersPartij,31,"0,21",,
13,VNL (VoorNederland),112,"0,76",,
14,DENK,9,"0,06",,
15,NIEUWE WEGEN,18,"0,12",,
16,Forum voor Democratie,312,"2,11",,
17,De Burger Beweging,10,"0,07",,
18,Vrijzinnige Partij,5,"0,03",,
19,GeenPeil,3,"0,02",,
20,Piratenpartij,41,"0,28",,
21,Artikel 1,8,"0,05",,
22,Niet Stemmers,13,"0,09",,
24,Lokaal in de Kamer,20,"0,14",,
28,Vrije Democratische Partij (VDP),1,"0,01",,

,Aantal op kandidaten uitgebrachte stemmen,14768,"100,00",0,
,Aantal blanco stemmen,16,"0,11",,
,Aantal geldige stemmen,14784,,,
,Aantal ongeldige stemmen,31,"0,21",,
,Aantal kiezers,14815,,,
,Aantal opgeroepen kiezers,17247,,,
,Opkomstpercentage,"85,90%",,,
