Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 23 ,Lijstnr 24 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
"1,Beuckelaer,116,70,83,70,188,58,31,47,4,16,19,3,3,0,1,10,1,0,0,1,0,1,722,3,725,0,725,902,""80,38%"""
"2,Alg. ruimten Nijefenne,199,102,95,114,216,91,43,96,3,21,40,4,2,0,0,28,0,0,0,2,1,1,1058,2,1060,2,1062,1223,""86,84%"""
"3,PKN Kerk,60,23,41,77,97,27,28,33,3,21,10,1,1,0,1,7,0,0,0,3,0,0,433,0,433,0,433,528,""82,01%"""
"4,'t Jabikshuus,173,71,108,151,122,66,19,44,1,29,40,1,0,0,2,18,0,1,0,5,0,0,851,0,851,2,853,1096,""77,83%"""
"5,Verenigingsgebouw de Spitsroeden,64,16,52,51,28,27,4,19,0,23,11,0,1,0,3,7,0,0,0,3,0,0,309,0,309,0,309,413,""74,82%"""
"6,Dorpshuis De Kijfhueck,68,29,74,58,80,32,10,28,2,14,19,3,2,0,0,9,1,0,0,0,1,0,430,1,431,0,431,531,""81,17%"""
"7,Aerden Plaats,89,39,63,71,119,43,19,59,12,33,27,2,1,0,2,6,0,0,0,4,0,1,590,0,590,1,591,756,""78,17%"""
"8,MFA de Doarpsfinne,165,60,119,95,371,77,55,47,2,21,27,0,3,0,2,23,0,0,1,3,0,3,1074,1,1075,1,1076,1359,""79,18%"""
"9,Gemeentehuis,158,95,96,135,165,76,20,84,2,39,18,1,1,0,0,29,1,0,0,1,0,0,921,4,925,1,926,1124,""82,38%"""

",Totaal,1092,505,731,822,1386,497,229,457,29,217,211,15,14,0,11,137,3,1,1,22,2,6,6388,11,6399,7,6406,7932,""80,76 %"""
