Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hilversum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis;Mozarthof School;Openbare Bibliotheek;Chr. Verpleeghuis 'Gooizicht';Zorgcentrum 'De Boomberg';Anna Gebouw;'Emmaushuis';Wijkcentrum 'De Koepel';Goudenregenschool Kerkelanden;Nieuw Kerkelanden;obs Elckerlycschool;Bavinckschool;Violenschool;Intern. school (vh Rembr.sch.);Hilversumse School Vereniging;Wijkcentrum 'De Zoutkeet';Verzorgingshuis 'Zuiderheide';Zorgcentrum 'St. Carolus'; Goudenregenschool;Woond.centr. 'De Egelantier';Diependaalse Kerk;Woondienstencentrum Lopes Dias;Fresh Forward;Da Costaschool;Sterrenschool Hilversum;Scouting clubhuis 'De Orion';Wijkcentrum De Geus;College de Opmaat;Sportcafé 'De Lieberg';Lorentzschool;Wijkcentrum 'St.Joseph';Gebouw 'Rotor Media';Evangelische Omroep;Zorgcentrum 'Gooiers Erf';Wijkcentrum 'De Kruisdam';Gebouw 'T Luye Gat';Station Hilversum;Ned. Inst. voor Beeld en Geluid
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;20;21;22;23;25;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42
Postcode;;;;;1217 JE;1217 CM;1217 EH;1217 SH;1217 SV;1211 NE;1216 RN;1216 JC;1216 LD;1216 SB;1215 EG;1214 JS;1214 CJ;1213 BH;1213 BM;1215 PR;1215 KG;1215 AN;1214 NC;1214 EH;1214 KE;1222 VE;1222 HJ;1222 LH;1222 TJ;1223 AJ;1221 BV;1221 CL;1221 EM;1223 HN;1223 LD;1223 RE;1213 AC;1212 EM;1218 CB;1218 CR;;1217 WE
;opgeroepenen;;;65195;1278;1539;1689;1326;2057;2120;1739;1482;1595;1560;1212;1581;1926;2276;970;1546;1836;1727;2117;1991;2110;2831;1473;1855;1683;2072;2442;2048;2019;1898;2271;1829;1649;1595;1513;1747;2;591
;geldige stempas;;;48888;1513;1120;1259;831;1126;1400;1321;1850;968;764;1186;1406;1243;1406;783;1315;977;1336;1473;1430;1467;1847;772;1435;1259;1588;1151;1353;1512;1876;1484;1013;898;1490;1659;939;1974;464
;geldig volmachtbewijs;;;4462;184;201;157;88;98;116;127;144;85;60;124;155;99;122;106;97;86;72;132;126;209;123;64;121;129;162;94;130;149;173;91;104;12;136;142;91;106;47
;geldige kiezerspas;;;225;20;9;8;4;1;6;5;2;3;3;5;3;7;10;7;7;6;2;4;7;6;6;2;4;6;2;4;9;2;5;10;1;1;9;1;6;23;9
;toegelaten kiezers;;;53575;1717;1330;1424;923;1225;1522;1453;1996;1056;827;1315;1564;1349;1538;896;1419;1069;1410;1609;1563;1682;1976;838;1560;1394;1752;1249;1492;1663;2054;1585;1118;911;1635;1802;1036;2103;520
;geldige stembiljetten;;;53277;1706;1325;1418;922;1213;1513;1448;1983;1052;819;1315;1561;1349;1535;889;1414;1063;1405;1603;1555;1681;1943;836;1554;1383;1733;1243;1487;1645;2044;1566;1112;909;1621;1790;1032;2091;519
;blanco stembiljetten;;;62;1;0;1;1;6;2;3;3;2;1;0;2;2;0;2;2;2;0;0;0;0;5;0;2;1;0;3;1;1;1;3;1;0;5;3;2;3;1
;ongeldige stembiljetten;;;171;4;2;5;0;5;5;2;5;2;5;0;1;1;3;5;1;3;4;5;2;1;17;2;2;5;11;3;5;15;4;16;5;2;8;3;2;10;0
;aangetroffen stembiljetten;;;53510;1711;1327;1424;923;1224;1520;1453;1991;1056;825;1315;1564;1352;1538;896;1417;1068;1409;1608;1557;1682;1965;838;1558;1389;1744;1249;1493;1661;2049;1585;1118;911;1634;1796;1036;2104;520
;meer stembiljetten dan toegelaten kiezers ;;;5;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
;minder stembiljetten dan toegelaten kiezers ;;;70;6;3;0;0;1;2;0;5;0;2;0;0;0;0;0;2;1;1;1;6;0;11;0;2;5;8;0;0;2;5;0;0;0;1;6;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn stembiljetten kwijtgeraakt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;62;6;0;0;0;1;2;0;5;0;2;0;0;3;0;0;0;1;0;1;5;0;11;0;2;5;8;0;1;2;0;0;0;0;0;6;0;1;0
;andere verklaring;;;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
1;VVD;;;12464;520;726;462;304;282;314;388;467;196;215;373;455;235;398;326;339;255;325;375;377;713;253;114;342;265;407;200;233;296;312;255;144;188;295;403;240;318;154
;;1;Rutte, M.;9601;400;538;341;234;220;240;276;365;159;182;276;351;184;298;236;257;212;248;283;286;532;196;82;269;205;329;163;187;242;238;209;110;142;244;320;200;239;108
