Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 23 ,Lijstnr 24 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
1,Hof van Coevorden Coevorden,268,102,193,144,193,101,33,80,3,34,54,2,2,0,5,25,2,2,0,3,0,0,1246,3,1249,3,1252,1095,"114,34%"
2,Het Nieuwe Bastion Coevorden,145,78,127,110,170,55,19,34,9,19,51,0,4,0,1,22,0,1,0,3,0,0,848,0,848,2,850,1170,"72,65%"
3,De Voorde Coevorden,242,124,168,163,205,97,26,47,5,10,53,0,6,0,1,13,1,2,0,2,1,3,1169,2,1171,0,1171,1237,"94,66%"
4,Zaal De Loo Coevorden,284,112,327,217,247,127,48,94,0,29,77,2,5,5,5,29,3,0,0,3,0,2,1616,1,1617,5,1622,1847,"87,82%"
5,BSV Tuindorp Coevorden,57,45,178,110,68,39,5,32,2,13,33,0,4,6,1,4,0,0,0,1,0,2,600,1,601,4,605,1405,"43,06%"
6,Sint-Franciscus Coevorden,256,82,170,120,267,106,21,60,1,21,41,0,8,0,0,17,0,0,2,3,0,2,1177,0,1177,2,1179,1584,"74,43%"
7,Drostenhal Coevorden,373,124,291,245,207,142,36,110,9,18,54,1,5,0,2,35,0,0,1,3,0,4,1660,0,1660,2,1662,2100,"79,14%"
8,De Schutse Coevorden,83,92,197,112,94,47,16,36,3,11,25,0,2,5,1,6,0,0,0,3,0,1,734,1,735,2,737,936,"78,74%"
9,Dorpshuis De Schalm Steenwijksmoer,134,19,109,76,192,32,7,31,4,6,18,0,2,0,0,6,0,0,0,1,0,0,637,1,638,0,638,748,"85,29%"
10,Dorpshuis De Breiberg Dalerpeel,60,40,124,105,115,17,10,19,8,10,20,0,1,0,0,19,1,0,0,2,0,0,551,0,551,0,551,683,"80,67%"
11,De Spinde Dalen,479,116,114,105,244,155,25,77,6,27,42,6,3,1,0,27,0,0,0,0,0,0,1427,1,1428,0,1428,1546,"92,37%"
12,Dorpshuis Boerhoorn Dalerveen,134,23,68,32,76,40,7,19,1,12,12,1,2,0,1,6,1,0,0,1,0,0,436,0,436,5,441,563,"78,33%"
13,Selkersgoorn Dalen,359,138,85,95,127,150,17,88,0,14,46,1,4,0,0,10,0,6,0,2,0,0,1142,0,1142,3,1145,1502,"76,23%"
14,Dorpshuis De Kom Wachtum,104,7,23,14,34,27,10,12,2,6,4,1,4,0,1,5,0,0,0,1,0,0,255,1,256,1,257,294,"87,41%"
15,De Etgaarde Oosterhesselen,341,121,109,119,191,169,36,89,18,28,51,2,0,0,2,9,0,0,0,6,0,2,1293,0,1293,3,1296,1505,"86,11%"
16,Het Pluspunt Gees,156,47,30,36,153,57,48,45,32,19,17,1,1,0,0,5,0,0,0,1,0,0,648,0,648,0,648,757,"85,60%"
17,De Tiphof Geesbrug,102,52,215,98,163,63,28,19,23,15,30,2,9,0,0,18,3,0,0,2,0,0,842,0,842,3,845,1091,"77,45%"
18,MFC De Brink Sleen,443,167,97,164,281,206,36,118,8,32,37,2,6,0,0,21,1,0,0,1,0,1,1621,0,1621,2,1623,1849,"87,78%"
19,OBS De Vlinderhof Noord Sleen,152,55,33,32,125,69,19,42,3,25,17,0,2,0,3,5,0,3,0,0,0,1,586,2,588,0,588,665,"88,42%"
20,Het Ellertsveld Schoonoord,213,162,316,268,166,78,35,53,2,24,54,0,9,2,1,32,0,0,0,2,0,0,1417,4,1421,1,1422,1756,"80,98%"
21,Dorpshuis De Kiel,45,22,47,42,28,21,13,16,1,8,12,0,2,0,0,5,0,0,0,0,0,0,262,0,262,2,264,304,"86,84%"
22,d' Aol Schoelstee Wezuperbrug,75,29,9,20,38,28,6,17,3,12,10,0,6,0,0,3,1,0,0,0,0,0,257,1,258,0,258,339,"76,11%"
23,Restaurant Moorman Erm,138,60,81,51,130,41,21,35,17,20,24,0,0,0,1,20,0,0,0,1,0,0,640,0,640,2,642,780,"82,31%"
24,De Korenhof Aalden,383,143,97,151,281,204,51,129,5,36,48,4,5,0,4,33,1,1,0,1,0,0,1577,0,1577,0,1577,1767,"89,25%"
25,Brasserie Tramlokaal Meppen,97,27,21,17,44,29,9,31,9,16,10,1,1,0,0,6,0,0,0,0,0,0,318,0,318,0,318,319,"99,69%"

,Totaal,5123,1987,3229,2646,3839,2100,582,1333,174,465,840,26,93,19,29,381,14,15,3,42,1,18,22959,18,22977,42,23019,27842,"82,68 %"
