Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 23 ,Lijstnr 25 ,Lijstnr 26 ,Lijstnr 27 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
"1,Gemeentehuis Lopik,233,42,247,78,221,65,107,44,63,35,40,1,9,22,0,25,0,1,1,4,1,0,0,4,2,0,1245,1,1246,6,1252,1553,""80,62%"""
"2,Voormalige Peuterspeelzaal Villa Kakelbont,151,23,107,53,93,45,41,28,26,16,25,0,3,35,0,2,2,0,0,1,0,2,0,0,0,0,653,0,653,1,654,967,""67,63%"""
"3,Dorpshuis De Schouw,443,55,326,87,349,142,112,67,63,30,71,3,8,8,4,28,2,1,0,1,0,3,0,1,0,2,1806,2,1808,2,1810,1937,""93,44%"""
"4,Buurthuis Uitweg,221,29,145,25,158,40,82,31,106,12,20,2,2,3,1,14,0,0,0,1,0,0,0,0,0,0,892,1,893,6,899,1055,""85,21%"""
"5,Ver. gebouw Jaarsveld,128,20,94,35,74,27,46,28,55,9,6,0,3,0,0,7,2,0,1,3,0,1,0,0,0,0,539,4,543,1,544,733,""74,22%"""
"6,In 't Witte Paard,239,20,88,27,178,46,6,19,10,13,18,1,5,0,0,5,0,0,0,2,0,0,0,0,0,0,677,0,677,0,677,762,""88,85%"""
"7,Buurthuis 't Wilgegat,46,3,24,2,68,18,12,13,13,6,3,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,214,0,214,0,214,252,""84,92%"""
"8,Dorpshuis Benschop,469,57,283,102,374,113,153,85,173,35,53,1,8,1,4,31,1,0,0,2,1,0,0,0,0,3,1949,1,1950,6,1956,2115,""92,48%"""
"9,Buurthuis de Triangel,120,7,58,17,126,34,64,8,63,6,4,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,526,2,528,2,530,618,""85,76%"""
"10,Dorpshuis Polsbroek,149,12,66,12,120,36,101,16,155,8,10,3,1,0,0,9,0,0,0,3,1,0,0,4,0,0,706,0,706,2,708,818,""86,55%"""

",Totaal,2199,268,1438,438,1761,566,724,339,727,170,250,11,45,69,10,139,7,2,2,17,3,6,0,9,2,5,9207,11,9218,26,9244,10810,""85,51 %"""
