Nr;Stembureau;Lijstnr 1 ;Lijstnr 2 ;Lijstnr 3 ;Lijstnr 4 ;Lijstnr 5 ;Lijstnr 6 ;Lijstnr 7 ;Lijstnr 8 ;Lijstnr 9 ;Lijstnr 10 ;Lijstnr 11 ;Lijstnr 12 ;Lijstnr 13 ;Lijstnr 14 ;Lijstnr 15 ;Lijstnr 16 ;Lijstnr 17 ;Lijstnr 18 ;Lijstnr 19 ;Lijstnr 20 ;Lijstnr 21 ;Lijstnr 22 ;Lijstnr 23 ;Uitgebrachte stemmen;Blanco stemmen;Geldige stemmen;Ongeldige stemmen;Aantal kiezers;Aantal opgeroepen;Opkomst percentage
;;VVD;P.v.d.A.;PVV;SP;CDA;Democraten 66 (D66);ChristenUnie;GROENLINKS;SGP;Partij voor de Dieren;50PLUS;OndernemersPartij;VNL (VoorNederland);DENK;NIEUWE WEGEN;Forum voor Democratie;De Burger Beweging;Vrijzinnige Partij;GeenPeil;Piratenpartij;Artikel 1;Niet Stemmers;Libertarische Partij (LP);;;;;;;
1;Gemeenschapshuis Bemelen;101;18;44;32;71;65;4;35;0;9;23;1;0;0;0;6;0;0;0;1;0;0;0;410;1;411;0;411;475;86,53%
2;Harmoniezaal Banholt;122;28;117;63;196;49;4;43;1;16;45;2;3;0;1;8;0;0;2;1;0;0;0;701;0;701;0;701;818;85,70%
3;Harmoniezaal Mheer;122;40;62;35;176;60;1;56;0;24;28;2;3;0;0;10;0;0;0;1;1;1;0;622;0;622;1;623;731;85,23%
4;Paviljoen Berggalm;138;47;56;65;207;87;5;42;1;20;20;1;5;1;0;13;0;0;0;0;0;1;0;709;0;709;0;709;871;81,40%
5;Gemeenschapshuis Sint Geertruid;152;39;113;91;281;117;6;57;1;27;40;1;2;0;1;15;0;0;0;1;0;1;0;945;1;946;0;946;1121;84,39%
6;Harmoniezaal Eckelrade;90;19;47;38;110;68;7;30;3;17;15;0;0;0;0;8;0;0;0;0;0;0;0;452;1;453;1;454;559;81,22%
7;Gemeenschapshuis Scheulder;52;10;38;31;38;28;0;15;0;13;19;0;0;0;0;3;0;0;0;0;0;0;0;247;0;247;0;247;269;91,82%
8;Zaal-café Riékelt;111;9;74;49;110;45;3;35;1;18;27;0;0;0;1;15;0;2;0;4;1;0;0;505;0;505;3;508;556;91,37%
9;Feesthoeve De Laathof;64;26;43;30;66;25;1;22;0;4;13;0;1;0;1;7;0;0;0;0;0;0;0;303;0;303;0;303;337;89,91%
10;Gemeentehuis;501;118;341;275;528;307;12;183;2;67;125;7;8;0;4;59;1;1;4;3;0;2;0;2548;0;2548;2;2550;2997;85,09%
11;'t Keerhoes;538;105;323;218;439;274;12;146;2;59;81;9;2;0;5;58;0;0;1;1;1;1;0;2275;6;2281;6;2287;2722;84,02%
12;M.F.A. Gronsveld;337;60;267;149;281;187;4;108;3;36;98;0;6;0;3;36;0;0;0;3;0;0;0;1578;1;1579;1;1580;1931;81,82%
13;Brede School Op de Cour;313;71;236;175;237;232;19;101;0;54;58;1;3;1;2;46;1;0;0;3;0;1;1;1555;1;1556;1;1557;1840;84,62%
14;Basisschool St. Jozef;97;37;101;78;119;66;4;49;0;13;13;1;3;0;0;14;0;0;1;1;0;0;0;597;2;599;0;599;729;82,17%
15;Cultureel Centrum;363;101;252;161;347;194;14;155;0;54;87;2;1;0;1;52;0;0;0;1;0;1;1;1787;4;1791;5;1796;1913;93,88%
16;Zaal K.O.H.;313;92;279;125;285;216;8;99;3;51;64;1;7;0;1;60;0;0;0;1;0;1;0;1606;1;1607;2;1609;2381;67,58%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Totaal;3414;820;2393;1615;3491;2020;104;1176;17;482;756;28;44;2;20;410;2;3;8;21;3;9;2;16840;18;16858;22;16880;20250;83,36%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bron: Procura Verkiezingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;P.v.d.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;PVV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;CDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;Democraten 66 (D66);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;ChristenUnie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;GROENLINKS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;SGP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;Partij voor de Dieren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;50PLUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;OndernemersPartij;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13;VNL (VoorNederland);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14;DENK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15;NIEUWE WEGEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;16;Forum voor Democratie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;17;De Burger Beweging;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18;Vrijzinnige Partij;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;19;GeenPeil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;20;Piratenpartij;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;21;Artikel 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;22;Niet Stemmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;23;Libertarische Partij (LP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
