Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 23 ,Lijstnr 24 ,Lijstnr 26 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
"1,Gemeentehuis Uden,459,54,207,253,190,177,11,135,0,42,65,1,5,8,2,30,1,0,0,2,0,2,0,2,0,1646,4,1650,4,1654,1622,""101,97%"""
"2,Wijkcentrum Balans,236,40,150,183,165,136,12,108,4,28,43,2,2,24,3,22,5,0,1,2,0,1,1,0,0,1168,6,1174,5,1179,1447,""81,48%"""
"3,OBS De Brinck,356,64,155,158,143,165,10,107,0,31,48,1,2,18,0,17,3,0,0,3,1,2,0,0,0,1284,1,1285,6,1291,1603,""80,54%"""
"4,RK Basisschool De Springplank,275,63,163,166,154,120,7,74,0,25,46,0,2,23,3,18,1,0,0,7,0,0,0,1,0,1148,0,1148,4,1152,1085,""106,18%"""
"5,OBS Camelot,232,42,183,201,145,137,6,106,0,43,28,3,4,32,0,19,0,1,0,2,1,0,0,1,0,1186,1,1187,5,1192,1457,""81,81%"""
"6,Tennis- en Squashvereniging Park Hoeven,303,76,161,174,174,186,13,103,1,36,34,4,4,32,0,11,0,0,0,4,2,0,0,0,0,1318,3,1321,6,1327,1796,""73,89%"""
"7,Udens College,229,55,156,187,136,154,8,95,0,29,26,3,2,31,2,25,1,0,0,8,0,2,0,1,0,1150,2,1152,4,1156,1387,""83,35%"""
"8,OBS de Leeuwerik,310,59,204,266,194,150,6,87,5,43,61,1,6,40,1,19,4,0,0,2,0,2,0,3,0,1463,0,1463,6,1469,2032,""72,29%"""
"9,Zorgcentrum Sint Jan,217,39,121,128,227,87,7,49,2,24,47,1,5,3,1,20,2,0,0,1,1,1,2,0,1,986,2,988,3,991,1423,""69,64%"""
"10,Wijkgebouw De Nieuwe Pit,162,31,183,211,86,98,3,59,0,26,24,3,4,24,0,19,2,1,0,2,0,0,0,2,1,941,2,943,8,951,1332,""71,40%"""
"11,OBS de Meent,279,47,170,192,172,127,7,73,0,25,24,1,0,13,1,17,0,1,0,4,0,0,0,3,0,1156,1,1157,4,1161,1462,""79,41%"""
"12,Stichting Eigen Herd,312,46,108,169,271,142,3,63,1,25,27,0,5,20,1,17,0,0,0,6,0,1,0,1,0,1218,3,1221,1,1222,1463,""83,53%"""
"13,Ontmoetingsplein Muzerijk,390,80,326,331,214,195,12,124,1,50,39,1,7,58,1,30,1,0,0,6,0,1,0,6,0,1873,3,1876,6,1882,1611,""116,82%"""
"14,BS De Vlonder,377,55,124,150,169,198,11,59,2,31,38,2,2,2,0,24,1,0,0,1,0,0,0,0,0,1246,0,1246,2,1248,1383,""90,24%"""
"15,Kindcentrum Kidion,286,34,115,176,243,97,3,56,1,14,35,7,3,1,1,12,0,0,0,3,0,1,0,1,0,1089,4,1093,1,1094,1426,""76,72%"""
"16,Zorgcentrum Sint Antonius,314,42,130,173,310,76,4,38,0,14,28,0,5,0,1,26,3,0,0,0,0,1,0,1,0,1166,1,1167,1,1168,1367,""85,44%"""
"17,Terra Victa,268,31,168,220,377,93,4,42,0,13,52,2,5,0,0,21,0,0,0,4,0,0,1,0,2,1303,6,1309,6,1315,1540,""85,39%"""
"18,OBS De Cirkel,580,67,157,132,249,249,4,86,3,25,23,3,8,3,0,23,0,0,2,4,2,1,0,0,0,1621,0,1621,0,1621,1465,""110,65%"""
"19,Speelleercentrum De Wijde Wereld,515,53,158,112,174,248,8,103,0,30,16,1,6,15,2,30,2,0,2,2,1,0,0,0,0,1478,1,1479,2,1481,2282,""64,90%"""
"20,Ziekenhuis Bernhoven,152,19,90,109,69,67,3,35,1,24,21,3,0,10,0,9,0,0,0,6,0,0,0,1,0,619,0,619,0,619,1482,""41,77%"""
"21,Retraitehuis,292,32,75,65,164,118,3,42,1,15,21,0,1,1,2,6,1,0,0,2,0,0,0,0,0,841,4,845,2,847,1290,""65,66%"""

",Totaal,6544,1029,3304,3756,4026,3020,145,1644,22,593,746,39,78,358,21,415,27,3,5,71,8,15,4,23,4,25900,44,25944,76,26020,31955,""81,43 %"""
