Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 23 ,Lijstnr 24 ,Lijstnr 25 ,Lijstnr 26 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
1,Het Klavier,369,75,351,204,220,134,11,113,1,46,63,0,7,14,1,26,0,1,0,4,3,0,0,5,2,0,1650,2,1652,7,1659,1811,"91,61%"
2,De Bosvaert,464,36,174,100,181,129,12,62,2,26,45,2,5,3,0,41,0,0,0,0,1,0,0,0,1,0,1284,4,1288,0,1288,1617,"79,65%"
3,Gildenbond,259,38,252,211,145,103,13,92,1,35,45,3,6,6,4,16,0,0,0,2,1,2,0,4,0,0,1238,3,1241,6,1247,1653,"75,44%"
4,De Vossenberg,255,23,168,96,157,74,20,54,51,13,42,5,6,2,0,7,0,0,0,2,0,0,0,2,0,0,977,2,979,3,982,1429,"68,72%"
5,De Westkant,187,34,252,123,123,85,8,64,5,15,52,3,4,7,0,9,0,1,2,1,0,0,0,0,1,0,976,0,976,2,978,1324,"73,87%"
6,Buurthuis Pannehoef,176,46,246,164,127,85,6,68,2,23,65,0,7,32,1,7,0,0,0,1,0,3,0,2,0,1,1062,2,1064,8,1072,1516,"70,71%"
7,De Touwladder,356,63,198,155,188,134,7,78,1,30,55,1,6,11,3,16,0,0,0,3,1,0,0,3,0,1,1310,0,1310,1,1311,1659,"79,02%"
8,Crossroads,526,60,296,191,204,146,14,112,3,32,66,2,4,2,6,29,0,0,1,6,1,1,0,3,0,0,1705,3,1708,1,1709,1887,"90,57%"
9,De Venloene,349,62,224,173,243,141,14,102,1,40,43,1,3,1,2,16,3,1,0,0,0,1,0,1,0,0,1421,5,1426,2,1428,1645,"86,81%"
10,De Wetering,446,54,147,102,180,166,11,86,0,25,45,3,7,3,4,19,1,0,0,0,0,1,0,2,0,0,1302,0,1302,1,1303,1568,"83,10%"
11,Service-residence Molenwijck,421,64,126,95,213,147,13,94,7,35,38,1,5,3,1,15,0,0,0,3,0,1,0,2,1,0,1285,1,1286,1,1287,1560,"82,50%"
12,'t Maoske,115,7,46,32,113,25,2,13,3,6,8,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,379,0,379,0,379,441,"85,94%"

,Totaal,3923,562,2480,1646,2094,1369,131,938,77,326,567,24,60,84,22,207,4,3,3,22,7,9,0,24,5,2,14589,22,14611,32,14643,18110,"80,86 %"
