Nr,Aanduiding van de politieke groepering,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11,Sb 12,Sb 13,Sb 14,Sb 15,Sb 16,Sb 17,Sb 18
1,VVD,5952,513,252,397,306,292,248,236,425,58,287,255,215,519,331,481,561,248,328
2,Partij van de Arbeid (P.v.d.A.),787,83,61,51,44,41,43,50,79,7,31,33,16,50,28,32,56,21,61
3,PVV (Partij voor de Vrijheid),2554,245,143,160,157,144,128,131,200,30,203,161,97,125,100,125,138,45,222
4,SP (Socialistische Partij),878,83,59,67,59,54,55,52,128,3,34,29,24,48,39,21,51,5,67
5,CDA,3516,333,255,208,199,260,158,156,250,73,185,231,201,247,144,197,176,62,181
6,Democraten 66 (D66),2056,213,94,167,92,128,85,112,160,24,92,74,67,178,100,98,196,72,104
7,ChristenUnie,1488,139,82,138,61,134,94,96,132,5,62,90,89,80,63,57,62,22,82
8,GROENLINKS,1243,122,69,114,58,68,60,71,123,31,58,47,34,79,44,58,92,34,81
9,Staatkundig Gereformeerde Partij (SGP),1772,142,86,121,54,113,109,101,120,9,86,233,329,33,48,74,33,27,54
10,Partij voor de Dieren,386,27,15,40,22,26,21,23,39,7,19,15,11,26,11,17,19,13,35
11,50PLUS,525,44,35,41,19,37,43,33,49,5,25,16,20,33,15,24,21,13,52
12,OndernemersPartij,20,5,0,2,2,1,0,0,1,0,2,0,2,1,1,2,0,0,1
13,VNL (VoorNederland),81,10,1,6,6,3,4,7,6,4,5,2,1,3,5,1,8,3,6
14,DENK,247,31,46,21,0,6,11,72,32,0,7,1,0,6,2,2,3,0,7
15,NIEUWE WEGEN,23,0,2,3,3,1,1,2,2,1,0,1,2,1,0,2,1,0,1
16,Forum voor Democratie,394,37,8,32,24,12,24,18,35,5,16,24,16,22,24,23,30,14,30
17,De Burger Beweging,12,1,0,4,3,0,0,0,2,0,1,0,0,0,0,1,0,0,0
18,Vrijzinnige Partij,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,GeenPeil,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
20,Piratenpartij,60,13,4,2,5,3,2,1,5,1,3,4,2,2,3,2,6,0,2
21,Artikel 1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,Niet Stemmers,7,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
23,Libertarische Partij (LP),2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
25,JEZUS LEEFT,21,1,6,1,1,1,0,4,4,0,1,1,0,1,0,0,0,0,0
26,StemNL,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

,Aantal op kandidaten uitgebrachte stemmen,22035,2046,1220,1577,1115,1324,1086,1167,1793,264,1117,1218,1128,1454,958,1218,1455,580,1315
,Aantal blanco stemmen,35,9,1,3,2,4,1,3,3,0,1,1,0,2,0,2,0,0,3
,Aantal geldige stemmen,22070,2055,1221,1580,1117,1328,1087,1170,1796,264,1118,1219,1128,1456,958,1220,1455,580,1318
,Aantal ongeldige stemmen,58,10,2,3,3,4,4,9,6,0,4,0,0,3,0,2,5,0,3
,Aantal kiezers,22128,2065,1223,1583,1120,1332,1091,1179,1802,264,1122,1219,1128,1459,958,1222,1460,580,1321
,Aantal opgeroepen kiezers,25484,2043,1845,1557,1488,1443,1510,1768,1555,305,1344,1352,1239,1730,1546,1424,1368,738,1229
,Opkomstpercentage,"86,83%","101,08%","66,29%","101,67%","75,27%","92,31%","72,25%","66,69%","115,88%","86,56%","83,48%","90,16%","91,04%","84,34%","61,97%","85,81%","106,73%","78,59%","107,49%"
