"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente 's-Hertogenbosch"
"Nummer";"";"0796"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Stadskantoor";"Stadsbibliotheek";"Wooncentrum Antoniegaarde";"Muziekcentrum De Toonzaal";"BS  Het Bossche Broek (centrum)";"Nutsschool L.W. Beekman";"Verkadefabriek";"Woon- en Zorgcentrum Nieuwehagen";"Stadsarchief";"Scouting Lucas";"Lucaskerk";"BS Het Bossche Broek (zuid)";"Brede Bossche School Zuid";"Provinciehuis";"Basisschool Oberon";"Park Eemwijk";"Zorgcentrum De Grevelingen";"Brede Bossche School de Graaf";"Brede Bossche School aan de Aa";"Verzamelgebouw Seringenstraat";"Welzijnsonderneming Divers";"Buurthuis Graafsewijk Noord";"Dependance Sancta Maria Mavo";"H. Sacramentskerk";"Dagactiviteitencentrum De Stijl";"Trefpunt De Slinger";"BBS-school Boschveld";"Steunpunt De Westhoek";"'t Buurthuis";"RK Annakerk";"Kindcentrum De Ontdekking";"Woonzorgcentrum De Taling";"BBS De Kruiskamp Zuid";"Gereformeerde Kerk";"BBS De Kruiskamp Noord";"Dagcentrum De Schalm";"Weener XL";"Nico Schuurmanshuis";"Novadic Kentron";"Avans Hogeschool";"Clubhuis Voetbalvereniging TGG";"Centrum voor Tandzorg";"Gymlokaal Klokkenlaan";"Jongerencentrum De Poort";"Steunpunt Epigoon";"Kindcentrum Wijboom";"SCC De Schans";"Montessorischool Merlijn";"Campanile Hotel";"Basisschool Meander";"Sociaal Cultureel Centrum d'n As";"Kindcentrum Caleidoscoop";"Basisschool 't Wikveld";"Jenaplanschool Antonius Abt";"Dorpshuis De Engelenburcht";"Tennisvereniging Engelen";"Mobiel stembureau";"Tijdelijke Unit Station";"Steunpunt van Meeuwenhof";"Sociaal Cultureel Centrum Perron- 3";"Basisschool De Krommenhoek";"Basisschool De Hobbit";"Gymlokaal BS De Overlaet";"Kindcentrum 't Ven";"HEVO Seniorenvereniging";"R.K. Basisschool De Troubadour";"Hub Noord-Brabant";"Vakschool Schilders - Stukadoors";"SCC de Biechten";"Kindcentrum Het IJzeren Kind";"Kindcentrum Meerlaer";"Rodenborch College";"EC 't Sparrenbos (De Vlek)";"Wijkonderkomen Rosmalen";"Wijkcentrum Windkracht 5";"Kindcentrum de Sprong";"Kindcentrum De Hoven";"B.O. De Witte Wielen";"Koning Willem I College";"Avans Hogeschool";"BBS Haren-Donk-Reit";"Verzorgingshuis Noorderkroon";"Activiteitencentrum Duinendaal";"Verzorgingshuis De Hooghe Clock";"BBS De Hambaken";"Dagcentrum Eygenweg";"Kindcentrum Sterrenbosch";"Tijdelijke Unit Maaspoort";"Basisschool 't Schrijverke";"Basisschool De Hoogakker";"Gemeenschapshuis De Meent";"Martinushuis";"Gemeenschapshuis 't Zijl"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"20";"21";"22";"23";"24";"25";"26";"29";"30";"31";"32";"33";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"55";"57";"58";"60";"61";"63";"65";"66";"67";"69";"70";"71";"72";"80";"81";"82";"90";"91";"100";"101";"102";"103";"104";"105";"106";"108";"109";"110";"111";"112";"114";"115";"116";"118";"120";"121";"122";"123";"411";"412";"540";"541";"560";"561";"590";"591";"620";"621";"671";"702";"703";"704";"705"
"";"opgeroepenen";"";"";"117667";"1215";"992";"1612";"811";"1461";"1019";"1288";"1170";"1385";"1182";"1202";"1448";"1264";"552";"1354";"1289";"1533";"1351";"1202";"1173";"1125";"1180";"1529";"1548";"1487";"1187";"1176";"1181";"1281";"1152";"1329";"1429";"1616";"1553";"1466";"1337";"610";"1233";"1308";"1106";"1224";"1081";"1195";"1226";"1165";"1388";"1350";"1370";"1460";"1462";"1570";"1545";"1512";"1571";"1398";"1231";"0";"0";"1317";"1103";"1194";"1464";"1543";"1601";"1124";"1557";"1388";"1632";"1606";"1602";"1023";"1577";"1330";"1016";"1350";"845";"1577";"1342";"1027";"1329";"1160";"1274";"1095";"1175";"1239";"1173";"929";"1306";"1295";"941";"1116";"1356";"1977"
"";"geldige stempas";"";"";"86528";"1630";"1741";"905";"137";"869";"791";"842";"566";"1088";"737";"547";"1874";"557";"473";"1057";"658";"889";"1158";"938";"1001";"137";"642";"946";"638";"840";"1406";"679";"575";"752";"975";"1189";"837";"840";"897";"1126";"577";"363";"638";"990";"549";"538";"930";"543";"644";"629";"983";"612";"1048";"675";"1555";"1122";"970";"1269";"1279";"1016";"983";"326";"2702";"806";"1714";"638";"1119";"1300";"1519";"534";"1387";"915";"610";"1796";"1100";"712";"805";"1134";"385";"1489";"721";"1213";"253";"492";"1346";"1202";"614";"749";"854";"1098";"705";"621";"2010";"942";"210";"1616";"721";"1320"
"";"geldig volmachtbewijs";"";"";"8590";"148";"163";"100";"14";"96";"86";"36";"37";"79";"66";"51";"180";"63";"53";"127";"67";"68";"134";"99";"107";"16";"53";"85";"63";"55";"81";"74";"51";"55";"119";"132";"55";"94";"101";"153";"67";"41";"67";"90";"66";"54";"104";"65";"44";"58";"105";"60";"91";"74";"164";"272";"114";"118";"119";"89";"111";"17";"194";"90";"174";"1";"97";"137";"160";"45";"169";"86";"59";"175";"116";"78";"67";"99";"85";"156";"89";"152";"23";"36";"107";"129";"61";"77";"70";"146";"89";"51";"176";"1";"30";"166";"76";"172"
"";"geldige kiezerspas";"";"";"326";"15";"12";"4";"2";"3";"5";"11";"0";"9";"2";"2";"17";"1";"11";"3";"2";"3";"2";"6";"1";"0";"1";"4";"4";"3";"2";"0";"2";"3";"4";"4";"4";"0";"1";"0";"0";"0";"0";"3";"2";"0";"2";"1";"0";"2";"1";"0";"3";"3";"5";"3";"3";"1";"1";"2";"3";"0";"34";"1";"4";"0";"2";"4";"3";"2";"4";"2";"3";"5";"4";"3";"1";"3";"3";"1";"3";"6";"2";"0";"23";"2";"2";"6";"2";"0";"8";"0";"3";"4";"0";"3";"1";"4"
"";"toegelaten kiezers";"";"";"95444";"1793";"1916";"1009";"153";"968";"882";"889";"603";"1176";"805";"600";"2071";"621";"537";"1187";"727";"960";"1294";"1043";"1109";"153";"696";"1035";"705";"898";"1489";"753";"628";"810";"1098";"1325";"896";"934";"999";"1279";"644";"404";"705";"1083";"617";"592";"1036";"609";"688";"689";"1089";"672";"1142";"752";"1724";"1397";"1087";"1388";"1399";"1107";"1097";"343";"2930";"897";"1892";"639";"1218";"1441";"1682";"581";"1560";"1003";"672";"1976";"1220";"793";"873";"1236";"473";"1646";"813";"1371";"278";"528";"1476";"1333";"677";"832";"926";"1244";"802";"672";"2189";"947";"240";"1785";"798";"1496"
"";"geldige stembiljetten";"";"";"95033";"1783";"1902";"1005";"152";"968";"880";"883";"599";"1171";"800";"597";"2065";"615";"534";"1179";"721";"955";"1294";"1045";"1109";"153";"690";"1034";"703";"894";"1483";"746";"622";"808";"1085";"1309";"893";"905";"997";"1270";"643";"404";"701";"1076";"614";"588";"1031";"606";"687";"686";"1085";"670";"1141";"751";"1716";"1395";"1083";"1384";"1396";"1103";"1092";"342";"2917";"897";"1885";"637";"1213";"1435";"1676";"578";"1557";"1002";"671";"1958";"1216";"790";"871";"1235";"469";"1645";"812";"1368";"277";"529";"1476";"1320";"671";"829";"924";"1228";"797";"672";"2180";"946";"240";"1773";"797";"1499"
"";"blanco stembiljetten";"";"";"153";"4";"8";"1";"1";"0";"0";"3";"1";"2";"1";"0";"1";"0";"0";"1";"2";"3";"0";"0";"0";"0";"3";"1";"1";"0";"3";"2";"4";"1";"6";"6";"1";"19";"1";"3";"1";"0";"3";"4";"2";"2";"1";"2";"0";"2";"2";"0";"0";"1";"2";"0";"2";"0";"0";"1";"3";"0";"6";"0";"0";"0";"0";"4";"0";"2";"1";"1";"0";"6";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0";"2";"2";"4";"0";"0";"0";"1";"0";"5";"0";"0";"6";"0";"2"
"";"ongeldige stembiljetten";"";"";"267";"6";"6";"2";"0";"0";"2";"4";"3";"3";"4";"3";"4";"5";"3";"7";"4";"2";"0";"11";"0";"0";"4";"0";"1";"4";"2";"4";"1";"1";"5";"10";"2";"8";"1";"6";"0";"0";"1";"3";"1";"2";"4";"1";"1";"1";"3";"1";"1";"0";"6";"2";"2";"4";"1";"3";"2";"1";"7";"0";"2";"2";"5";"2";"5";"1";"1";"1";"1";"12";"3";"3";"1";"1";"4";"1";"1";"2";"1";"0";"4";"11";"2";"2";"2";"13";"4";"0";"4";"1";"1";"6";"1";"2"
"";"aangetroffen stembiljetten";"";"";"95456";"1793";"1916";"1008";"153";"968";"882";"890";"603";"1176";"805";"600";"2070";"620";"537";"1187";"727";"960";"1294";"1058";"1109";"153";"697";"1035";"705";"898";"1489";"752";"627";"810";"1096";"1325";"896";"932";"999";"1279";"644";"404";"705";"1083";"617";"592";"1036";"609";"688";"689";"1090";"671";"1142";"752";"1724";"1397";"1087";"1388";"1397";"1107";"1097";"343";"2930";"897";"1887";"639";"1218";"1441";"1681";"581";"1559";"1004";"672";"1976";"1220";"793";"874";"1236";"473";"1646";"813";"1371";"278";"529";"1482";"1333";"677";"831";"926";"1241";"802";"672";"2189";"947";"241";"1785";"798";"1503"
