Nr;Aanduiding van de politieke groepering;Totaal;Sb 1;Sb 2 ;Sb 3 ;Sb 4 ;Sb 5 ;Sb 6 ;Sb 7 ;Sb 8 ;Sb 9 ;Sb 10;Sb 11;Sb 12;Sb 13;Sb 14;Sb 15;Sb 16;Sb 17;Sb 18;Sb 19;Sb 20;Sb 21;Sb 22;Sb 23;Sb 24;Sb 25;Sb 26;Sb 27;Sb 28;Sb 29;Sb 30;Sb 31;Sb 32;Sb 33
1;VVD;5924;247;113;64;312;234;203;190;404;180;330;150;134;166;264;71;158;141;164;138;59;93;302;296;232;46;266;290;213;80;34;136;158;56
2;Partij van de Arbeid (P.v.d.A.);2028;121;45;63;145;150;62;80;162;85;95;43;49;29;118;13;74;52;71;27;9;6;63;81;92;8;56;65;59;27;14;21;34;9
3;PVV (Partij voor de Vrijheid);3455;236;128;189;139;214;77;185;226;116;136;111;99;85;179;44;100;100;104;72;41;21;103;86;119;15;114;99;81;44;21;66;83;22
4;SP (Socialistische Partij);2620;170;88;145;98;152;99;174;181;106;115;66;73;58;189;10;68;73;95;39;18;29;72;58;64;9;61;96;71;23;9;41;59;11
5;CDA;5441;207;69;62;226;221;147;177;290;159;290;125;99;85;303;54;212;194;288;337;154;148;225;91;106;33;216;273;212;64;23;126;162;63
6;Democraten 66 (D66);2504;119;59;30;161;91;112;99;227;116;194;72;54;52;154;23;63;45;85;37;24;24;67;87;88;18;75;122;60;43;21;32;30;20
7;ChristenUnie;1958;108;53;16;83;70;113;79;123;75;77;29;45;29;42;11;69;58;102;209;249;37;40;10;18;6;33;53;41;28;3;25;18;6
8;GROENLINKS;1628;115;43;35;82;59;77;66;144;81;103;58;64;26;89;9;25;40;45;12;14;12;57;49;44;9;54;65;53;13;14;23;26;22
9;Staatkundig Gereformeerde Partij (SGP);349;10;6;2;7;12;10;4;13;11;7;5;5;8;4;1;7;12;25;57;48;9;16;4;9;0;10;15;1;5;1;9;11;5
10;Partij voor de Dieren;653;41;25;16;44;32;30;26;46;32;22;28;20;10;31;2;16;18;20;8;10;6;15;23;18;6;15;18;20;11;13;12;15;4
11;50PLUS;914;50;33;29;32;67;30;53;74;30;35;36;18;23;63;11;20;18;33;21;10;12;33;20;20;2;31;29;32;10;9;14;9;7
12;OndernemersPartij;40;5;0;0;1;1;1;3;2;0;1;3;1;1;2;0;0;2;0;0;2;0;2;1;2;0;1;3;1;0;0;0;3;2
13;VNL (VoorNederland);81;3;5;0;4;2;2;6;6;0;8;8;4;0;8;1;0;0;2;1;0;1;1;1;4;0;4;1;2;1;0;2;4;0
14;DENK;132;17;11;54;7;9;4;14;12;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;NIEUWE WEGEN;34;1;3;1;0;0;3;2;4;1;3;2;2;0;1;0;3;0;3;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0
