Nr;Partij Naam;Totaal werkblad;Totaal Rij;Controle;1;2;3;4;5;6;7;8;9;10;11;12;13;20;21;22;23;24;25;26;27;28;29;30;31
1;VVD;6283;6283;0;277;173;266;315;218;158;130;112;259;189;202;370;445;267;277;302;265;263;205;292;230;261;294;259;254
2;Partij van de Arbeid (P.v.d.A.);1280;1280;0;87;72;26;47;65;70;74;47;102;82;47;67;68;35;47;55;48;33;19;36;22;32;27;39;33
3;PVV (Partij voor de Vrijheid);3238;3238;0;167;171;65;137;134;69;222;118;139;177;113;133;185;86;128;147;90;101;154;134;176;74;127;109;82
4;SP (Socialistische Partij);2357;2357;0;169;133;33;67;139;94;135;117;169;192;101;130;115;70;75;100;63;46;80;58;46;57;50;67;51
5;CDA;5647;5647;0;239;201;172;198;198;225;118;134;270;183;185;354;361;253;275;253;200;209;219;186;308;195;227;287;197
6;Democraten 66 (D66);2184;2184;0;147;101;79;72;85;48;95;59;142;89;79;149;152;70;97;92;97;54;84;81;55;53;67;58;79
7;ChristenUnie;2261;2261;0;91;192;82;56;74;67;56;122;240;93;78;141;170;35;86;99;65;51;71;52;128;50;72;50;40
8;GroenLinks;1346;1346;0;103;90;42;46;67;33;67;57;89;59;45;97;66;31;53;62;48;33;55;62;31;19;27;39;25
9;Staatkundig Gereformeerde Partij (SGP);1221;1221;0;42;39;55;25;22;25;22;43;55;31;31;55;65;33;26;40;27;33;34;46;333;72;28;26;13
10;Partij voor de Dieren;523;523;0;41;24;12;21;15;20;25;25;31;20;26;20;35;14;11;24;25;8;24;26;8;7;19;20;22
11;50Plus;713;713;0;54;32;10;18;38;39;29;26;44;43;23;36;41;19;32;27;16;29;21;29;16;19;26;24;22
12;OndernemersPartij;38;38;0;1;0;1;1;4;1;1;2;3;3;2;1;0;4;0;2;2;2;1;2;1;1;1;1;1
13;VNL (VoorNederland);108;108;0;3;7;4;2;2;5;2;2;14;4;3;8;7;1;5;8;6;1;6;3;6;4;3;1;1
14;Denk;203;203;0;54;29;2;8;23;12;43;13;5;3;2;5;2;1;0;0;0;0;0;0;0;1;0;0;0
15;Nieuwe Wegen;39;39;0;6;2;2;2;6;0;4;0;0;2;0;3;4;2;0;1;0;0;0;2;0;2;0;1;0
16;Formum voor Democratie;494;494;0;30;33;16;15;16;13;26;22;33;16;21;24;21;27;18;22;10;14;18;13;20;12;13;31;10
17;De Burger Beweging;27;27;0;2;0;2;0;0;1;0;0;0;0;4;5;0;1;0;2;1;0;1;4;2;1;1;0;0
18;Vrijzinnige Partij;8;8;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0
19;GeenPeil;19;19;0;2;2;0;0;0;0;4;0;3;2;2;0;0;0;0;0;0;0;0;1;2;0;1;0;0
20;Piratenpartij;66;66;0;6;9;3;7;2;0;1;4;3;3;0;4;4;4;1;3;1;2;0;0;3;3;1;0;2
21;Artikel 1;15;15;0;1;2;0;0;0;0;5;0;1;1;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0
22;Niet Stemmers;20;20;0;1;1;1;0;1;0;0;0;3;0;0;1;3;2;2;1;0;1;2;0;0;0;0;1;0
23;Libertarische Partij (LP);3;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
24;Lokaal in de Kamer;26;26;0;2;4;1;0;0;0;1;1;3;0;0;1;2;1;1;0;0;0;0;1;1;1;0;5;1
25;Jezus Leeft;52;52;0;4;5;2;0;2;0;1;3;6;2;1;3;2;4;0;1;0;0;1;0;9;3;0;1;2
Totaal aantal stemmen stembureau;;28171;28171;0;1529;1324;876;1038;1111;881;1062;907;1614;1195;965;1607;1748;960;1134;1241;965;882;995;1030;1402;867;984;1019;835
Ongeldige stembiljetten;;56;56;0;5;3;2;1;1;5;7;1;5;5;1;0;1;1;2;3;0;2;3;1;2;2;0;1;2
Blanco stembiljetten;;33;33;0;1;4;0;0;2;0;2;3;0;2;1;1;0;2;1;2;0;3;1;1;4;1;2;0;0
In stembus aangetroffen stembiljetten;;28260;28260;0;1535;1331;878;1039;1114;886;1071;911;1619;1202;967;1608;1749;963;1137;1246;965;887;999;1032;1408;870;986;1020;837
Stemgerechtigden;;;33516;;1318;1250;1610;978;1247;1263;1605;1480;1883;1287;1301;1961;1755;1146;1420;1395;1100;1101;1107;1318;1596;1028;1160;1224;983
Opkomst percentage;;;84,3179377;;116,4643399;106,48;54,53416149;106,2372188;89,33440257;70,15043547;66,72897196;61,55405405;85,97981944;93,3954934;74,32744043;81,99898011;99,65811966;84,03141361;80,07042254;89,31899642;87,72727273;80,56312443;90,24390244;78,30045524;88,22055138;84,63035019;85;83,33333333;85,14750763
