;;;Stemburo;;;;;;;;;
Nr;Aanduiding van de politieke groepering;Totaal;1. Gemeentehuis;2.  bo De Linde;3. Huize St. Joris;4. Dorpshuis Den Deel;5. Bo de Plataan;6. OBS de Korenbloem;7. Antoniusschool;8. Gemeenschapshuis Het Dorpsplein;9. Kantine Bboys;10. Ons Mevrouw 
1;VVD;3425;408;314;248;420;284;365;340;261;358;427
2;Partij van de Arbeid (P.v.d.A.);456;54;48;40;33;53;64;30;42;38;54
3;PVV (Partij voor de Vrijheid);1523;146;136;148;160;140;224;92;166;134;177
4;SP (Socialistische Partij);1486;149;196;163;137;117;241;75;127;134;147
5;CDA;2383;281;239;188;293;178;167;214;229;242;352
6;Democraten 66 (D66);1282;166;148;97;133;158;176;88;81;119;116
7;ChristenUnie;75;9;4;9;7;10;10;5;11;4;6
8;GROENLINKS;617;83;57;45;75;69;100;41;58;56;33
9;Staatkundig Gereformeerde Partij (SGP);28;1;0;2;6;2;2;8;4;1;2
10;Partij voor de Dieren;218;32;25;16;30;22;36;12;14;14;17
11;50PLUS;389;34;39;49;32;40;58;26;42;24;45
12;OndernemersPartij;21;3;1;1;6;2;1;3;3;1;0
13;VNL (VoorNederland);41;2;4;3;8;9;3;3;3;2;4
14;DENK;4;0;0;0;1;2;1;0;0;0;0
15;NIEUWE WEGEN;9;1;0;1;1;0;1;2;0;0;3
16;Forum voor Democratie;207;25;31;13;13;22;28;22;11;24;18
17;De Burger Beweging;5;1;2;1;0;0;1;0;0;0;0
18;Vrijzinnige Partij;1;0;0;0;0;0;0;1;0;0;0
19;GeenPeil;2;0;0;0;0;1;0;0;0;0;1
20;Piratenpartij;24;1;3;3;2;4;3;3;1;1;3
21;Artikel 1;0;0;0;0;0;0;0;0;0;0;0
22;Niet Stemmers;3;0;0;0;1;0;2;0;0;0;0
23;Libertarische Partij (LP);4;0;0;0;0;0;4;0;0;0;0
24;Lokaal in de Kamer;13;1;2;0;2;5;1;1;0;1;0
26;StemNL;1;0;0;0;0;1;0;0;0;0;0
;;;;;;;;;;;;
;Aantal op kandidaten uitgebrachte stemmen;12217;1397;1249;1027;1360;1119;1488;966;1053;1153;1405
;Aantal blanco stemmen;27;10;4;5;3;0;0;4;1;0;0
;Aantal geldige stemmen;12244;1407;1253;1032;1363;1119;1488;970;1054;1153;1405
;Aantal ongeldige stemmen;31;4;3;6;2;3;1;1;1;1;9
;Aantal kiezers;12275;1411;1256;1038;1365;1122;1489;971;1055;1154;1414
;Aantal opgeroepen kiezers;14628;1598;1462;1456;1647;1340;1575;1288;1277;1485;1500
;Opkomstpercentage;83,91%;88,30%;85,91%;71,29%;82,88%;83,73%;94,54%;75,39%;82,62%;77,71%;94,27%
