Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 23 ,Lijstnr 25 ,Lijstnr 26 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
1,Gemeentekantoor Pijnacker,447,97,183,88,189,232,54,144,12,54,27,4,2,6,10,51,1,0,2,10,0,0,1,4,0,1618,1,1619,5,1624,1509,"107,62%"
2,Sporthal 't Baken,360,75,121,55,176,195,45,99,16,38,32,2,4,1,1,25,0,1,0,8,1,0,0,0,1,1256,0,1256,2,1258,1430,"87,97%"
3,Buurt en Zo,420,68,204,80,240,196,49,96,17,39,38,3,10,6,4,30,1,0,2,2,0,1,1,0,0,1507,2,1509,2,1511,1829,"82,61%"
4,Gebouw 't Prinsesje,500,61,203,67,330,182,70,99,21,43,47,1,7,2,5,46,1,1,1,4,0,0,1,2,1,1695,5,1700,4,1704,1938,"87,93%"
5,Basisschool De Schatkaart,357,87,257,120,250,216,61,124,12,50,45,4,11,14,0,31,1,1,0,6,4,0,0,0,1,1652,2,1654,5,1659,1795,"92,42%"
6,Ontmoetingskerk,555,64,200,75,195,239,66,114,13,37,25,2,9,10,3,40,0,0,0,9,2,1,0,0,0,1659,8,1667,2,1669,1627,"102,58%"
7,Mariaschool,406,64,141,54,160,166,42,100,8,40,20,4,9,4,5,28,2,2,2,1,1,0,0,0,0,1259,0,1259,1,1260,1555,"81,03%"
8,Wijkcentrum Tolhek,635,79,281,89,209,273,54,132,7,61,41,0,15,12,3,56,0,1,0,13,3,1,0,0,0,1965,2,1967,8,1975,2724,"72,50%"
10,Buurtcentrum Het Oude Laarsje,141,9,46,4,80,36,11,17,20,14,5,2,0,0,1,7,0,0,0,0,0,0,0,0,0,393,0,393,1,394,419,"94,03%"
11,Meersma Holding BV,212,7,62,6,80,34,27,18,16,8,5,0,8,0,1,11,0,0,0,2,0,0,0,0,0,497,0,497,3,500,730,"68,49%"
12,Gebouw de Keet,217,40,113,30,99,103,25,58,19,23,20,3,0,2,1,16,1,0,0,1,0,0,0,1,1,773,0,773,1,774,1095,"70,68%"
13,Sportzaal Emerald,483,84,156,66,153,310,52,155,11,25,25,1,3,24,1,29,0,0,0,8,0,1,1,1,0,1589,4,1593,4,1597,1719,"92,90%"
14,Wooncentrum Emerald,520,93,206,58,162,283,65,152,11,58,51,2,7,19,2,41,0,1,1,7,1,2,0,0,0,1742,0,1742,2,1744,1848,"94,37%"
15,Kerkgebouw,400,52,146,72,209,225,89,124,23,55,34,3,9,5,2,30,0,0,1,2,3,0,0,0,0,1484,0,1484,1,1485,1650,"90,00%"
16,Hotel van der Valk,489,59,232,41,139,179,19,66,2,34,29,0,5,14,0,26,0,0,1,2,1,0,0,0,0,1338,0,1338,1,1339,1689,"79,28%"
17,Basisschool de Winde,318,50,184,84,174,130,11,76,4,31,43,1,5,5,3,34,0,0,1,1,0,2,0,0,0,1157,0,1157,4,1161,1429,"81,25%"
18,Parochiehuis,530,53,239,67,172,210,32,112,5,41,38,1,2,28,0,50,1,0,0,3,3,0,0,1,1,1589,0,1589,5,1594,1702,"93,65%"
20,Verzorgingshuis Veenhage,411,64,256,69,215,188,46,85,8,40,46,3,12,15,0,37,0,0,0,7,1,1,0,1,0,1505,3,1508,10,1518,1591,"95,41%"
21,Nové Kerkelijk centrum,774,118,392,173,312,360,69,176,12,74,77,5,11,39,7,51,0,0,1,1,4,0,0,1,0,2657,4,2661,11,2672,3733,"71,58%"
22,Basisschool De Regenboog,721,76,169,53,240,253,32,121,7,30,30,0,9,8,3,36,0,1,2,8,1,2,0,0,0,1802,1,1803,2,1805,1774,"101,75%"
23,Basisschool Sint Jozef,298,57,177,54,94,129,20,78,2,36,18,0,8,26,2,21,2,0,1,6,3,0,0,2,0,1034,0,1034,4,1038,1601,"64,83%"
24,Welzijnscentrum Keijzershof,584,115,419,145,236,285,52,142,7,63,86,4,10,19,7,61,0,1,1,3,7,3,0,0,0,2250,4,2254,6,2260,2452,"92,17%"

,Totaal,9778,1472,4387,1550,4114,4424,991,2288,253,894,782,45,156,259,61,757,10,9,16,104,35,14,4,13,5,32421,36,32457,84,32541,37839,"86,00 %"
