Nr;Stembureau;Lijstnr 1 ;Lijstnr 2 ;Lijstnr 3 ;Lijstnr 4 ;Lijstnr 5 ;Lijstnr 6 ;Lijstnr 7 ;Lijstnr 8 ;Lijstnr 9 ;Lijstnr 10 ;Lijstnr 11 ;Lijstnr 12 ;Lijstnr 13 ;Lijstnr 14 ;Lijstnr 15 ;Lijstnr 16 ;Lijstnr 17 ;Lijstnr 18 ;Lijstnr 19 ;Lijstnr 20 ;Lijstnr 21 ;Lijstnr 22 ;Lijstnr 24 ;Lijstnr 28 ;Uitgebrachte stemmen;Blanco stemmen;Geldige stemmen;Ongeldige stemmen;Aantal kiezers;Aantal opgeroepen;Opkomst percentage
1;Gemeentehuis Schagen;451;91;135;143;163;231;18;169;2;49;54;3;8;1;4;44;1;1;0;8;0;0;1;0;1577;4;1581;5;1586;1713;92,59%
2;Basisschool De Ark, Schagen;370;125;147;145;152;177;23;119;3;35;58;1;9;0;2;21;2;0;0;4;0;1;1;0;1395;4;1399;8;1407;1833;76,76%
3;WZG Samen, locatie Magnushof;314;122;156;130;136;142;27;110;0;47;60;4;9;2;2;18;1;0;2;2;1;0;6;1;1292;2;1294;6;1300;1754;74,12%
4;OBS Juliana Groeneweg, Schagen;345;124;157;114;179;210;19;148;4;45;62;1;7;1;4;27;0;0;1;2;0;2;3;0;1455;0;1455;0;1455;1737;83,77%
5;Niko Tinbergenschool, Schagen;380;94;173;123;147;191;22;133;2;65;39;3;5;6;0;23;0;0;0;5;0;2;3;0;1416;1;1417;10;1427;1687;84,59%
6;PCB De Wegwijzer, Schagen;367;97;177;123;123;193;32;132;6;47;37;0;5;0;1;38;0;1;0;7;1;1;1;0;1389;0;1389;0;1389;1802;77,08%
7;Spartahal,Schagen;470;95;147;131;159;205;10;116;3;51;66;1;5;1;3;32;0;1;0;7;0;1;10;1;1515;0;1515;0;1515;1709;88,65%
8;WZG Samen, locatie De Bron, Schagen;493;93;133;95;147;184;15;110;3;43;53;3;7;0;4;28;0;0;3;7;0;1;3;0;1425;3;1428;6;1434;1699;84,40%
9;Clusius College, Schagen;220;48;40;46;63;117;6;68;0;17;21;0;1;0;0;13;0;0;1;1;0;0;1;0;663;0;663;0;663;957;69,28%
12;Sporthal Molentocht;422;92;92;104;133;161;6;78;3;38;44;4;6;0;3;30;0;0;6;6;0;1;5;0;1234;1;1235;2;1237;1640;75,43%
13;Dorpsh. De Uijtkijk;250;52;116;69;110;77;10;50;2;32;30;0;6;0;2;22;0;0;1;1;0;0;0;0;830;1;831;3;834;1068;78,09%
14;Diner Events, Burgerbrug;147;22;50;25;77;49;9;53;2;21;15;1;3;0;0;11;0;0;0;0;0;0;0;0;485;0;485;0;485;620;78,23%
15;De Zandstee, 't Zand;505;58;165;88;256;159;24;87;6;42;48;5;3;5;1;25;4;3;2;5;0;0;4;0;1495;1;1496;4;1500;1829;82,01%
16;Sportcomplex Oudesluis;120;28;90;39;45;39;3;36;2;16;22;2;5;0;0;5;0;1;0;1;0;0;0;0;454;0;454;0;454;610;74,43%
17;Cultureel Centrum, Petten;302;94;142;116;89;123;15;86;8;44;49;3;9;0;2;28;2;0;1;5;1;2;0;0;1121;2;1123;2;1125;1221;92,14%
18;Brekers, Callantsoog;138;7;37;16;32;29;3;28;0;9;9;1;4;1;0;8;0;0;0;0;0;0;0;0;322;0;322;0;322;383;84,07%
19;Dorpshuis Kolfweid, Callantsoog;440;121;187;128;105;135;20;110;2;52;65;5;11;0;3;30;0;1;0;5;0;1;4;0;1425;0;1425;2;1427;1644;86,80%
20;Dorpshuis Waarland;550;59;173;102;242;155;18;82;4;36;58;1;6;0;3;39;1;0;1;3;0;1;6;0;1540;0;1540;8;1548;1917;80,75%
22;Ahoj Tuitjenhorn;509;95;207;129;300;149;13;124;2;52;48;2;13;0;0;52;1;0;0;1;0;1;4;0;1702;3;1705;5;1710;1987;86,06%
24;Dorpshuis Warmenhuizen;540;128;168;115;250;213;7;137;3;71;54;6;7;0;1;36;0;0;3;11;1;1;4;1;1757;0;1757;3;1760;2224;79,14%
26;Bibliotheek Tuitjenhorn;496;75;129;89;211;156;11;111;3;43;44;2;16;2;3;40;0;1;2;6;0;1;1;1;1443;1;1444;3;1447;1102;131,31%
27;Dorpshuis Sint Maarten;231;65;96;88;79;114;8;63;0;37;31;2;2;0;2;14;0;0;0;1;0;0;2;0;835;0;835;5;840;1102;76,23%
28;Dorpshuis Dirkshorn;386;70;150;85;113;138;25;92;5;37;44;1;3;0;4;51;1;0;0;5;0;0;3;0;1213;7;1220;6;1226;1499;81,79%
29;Albert Heijn, Warmenhuizen;588;76;157;89;190;213;12;122;1;51;41;2;6;0;0;40;0;0;0;2;0;2;3;0;1595;1;1596;2;1598;1277;125,14%
30;NS Station Schagen;135;33;41;49;44;98;5;69;1;34;7;1;2;0;1;8;0;0;1;12;0;0;0;0;541;2;543;4;547;1500;36,47%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Totaal;9169;1964;3265;2381;3545;3658;361;2433;67;1014;1059;54;158;19;45;683;13;9;24;107;4;18;65;4;30119;33;30152;84;30236;36514;82,81%
