Nr,Aanduiding van de politieke groepering,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7
1,VVD,2715,278,212,351,386,363,530,595
2,Partij van de Arbeid (P.v.d.A.),568,99,78,73,86,74,108,50
3,PVV (Partij voor de Vrijheid),862,99,109,142,136,143,132,101
4,SP (Socialistische Partij),688,95,109,106,111,102,124,41
5,CDA,980,121,93,159,143,169,166,129
6,Democraten 66 (D66),1267,158,149,141,160,175,287,197
7,ChristenUnie,101,8,22,15,17,9,17,13
8,GROENLINKS,815,114,111,83,129,123,168,87
9,Staatkundig Gereformeerde Partij (SGP),16,2,3,3,4,3,1,0
10,Partij voor de Dieren,296,37,28,43,52,59,48,29
11,50PLUS,270,50,32,33,46,49,38,22
12,OndernemersPartij,17,3,4,1,5,3,0,1
13,VNL (VoorNederland),59,12,6,8,6,14,6,7
14,DENK,14,2,0,1,3,8,0,0
15,NIEUWE WEGEN,11,2,1,1,3,2,1,1
16,Forum voor Democratie,210,25,22,34,40,27,32,30
17,De Burger Beweging,3,1,0,0,0,1,1,0
18,Vrijzinnige Partij,0,0,0,0,0,0,0,0
19,GeenPeil,4,0,0,0,0,1,2,1
20,Piratenpartij,35,5,3,2,3,12,7,3
21,Artikel 1,5,2,0,0,0,2,1,0
22,Niet Stemmers,8,0,1,1,3,0,1,2
24,Lokaal in de Kamer,4,0,0,1,1,0,2,0
28,Vrije Democratische Partij (VDP),2,0,1,0,0,0,1,0

,Aantal op kandidaten uitgebrachte stemmen,8950,1113,984,1198,1334,1339,1673,1309
,Aantal blanco stemmen,10,0,0,2,3,0,2,3
,Aantal geldige stemmen,8960,1113,984,1200,1337,1339,1675,1312
,Aantal ongeldige stemmen,19,3,3,4,5,2,2,0
,Aantal kiezers,8979,1116,987,1204,1342,1341,1677,1312
,Aantal opgeroepen kiezers,10287,1225,1123,1466,1435,1667,1861,1510
,Opkomstpercentage,"87,28%","91,10%","87,89%","82,13%","93,52%","80,44%","90,11%","86,89%"
