Lijst;Totaal;Bureau 1;Bureau 2;Bureau 3;Bureau 4;Bureau 5;Bureau 6;Bureau 7;Bureau 8;Bureau 9;Bureau 10
;;;;;;;;;;;
;;;;;;;;;;;
VVD;3524;280;382;299;153;436;432;519;358;329;336
PVDA;500;57;36;41;44;62;55;58;44;69;34
PVV;2189;198;216;158;174;324;249;240;263;193;174
SP;2149;157;167;213;180;283;297;255;253;208;136
CDA;2400;185;191;162;133;356;311;320;244;247;251
D66;1383;112;125;140;63;183;181;208;121;151;99
CU;62;9;7;3;3;0;8;13;5;5;9
GROENLIN;707;58;72;62;53;83;114;113;68;41;43
SGP;17;2;0;1;0;0;1;2;5;2;4
PVDD;271;18;31;14;22;36;34;32;30;32;22
50PLUS;375;30;36;26;28;50;46;48;41;34;36
OP;21;2;7;2;0;1;1;1;4;2;1
VNL;50;4;6;2;3;10;5;8;6;1;5
DENK;4;0;0;2;0;1;0;0;1;0;0
NIEUWEWE;11;0;2;0;0;0;3;6;0;0;0
FVD;193;12;28;19;14;14;21;23;34;11;17
DBB;4;1;1;1;0;0;1;0;0;0;0
VP;5;0;4;0;0;0;0;1;0;0;0
GP;3;1;0;1;0;0;0;0;1;0;0
PIRATENP;32;2;0;2;3;9;5;3;2;4;2
A1;2;0;0;0;2;0;0;0;0;0;0
NS;5;0;0;1;0;0;2;1;0;1;0
LP;4;0;0;0;3;0;1;0;0;0;0
LIDK;15;0;1;0;4;1;1;2;1;2;3
SNL;2;0;0;0;1;0;0;0;0;1;0
;;;;;;;;;;;
;;;;;;;;;;;
Totaal;13928;1128;1312;1149;883;1849;1768;1853;1481;1333;1172
Blanco;18;2;10;1;0;1;2;0;0;0;2
Ongeldig;36;10;3;2;2;3;10;0;0;3;3
Tot+Bl+Ong;13982;1140;1325;1152;885;1853;1780;1853;1481;1336;1177
Kiesger.;17180;1163;1578;1438;1220;2498;2181;2285;1964;1376;1477
Opkomst;81.38 %;98.02 %;83.97 %;80.11 %;72.54 %;74.17 %;81.61 %;81.09%;75.40 %;97.09 %;79.68 %
;;;;;;;;;;;
;;;;;;;;;;;
Bureau 1= Gemeentehuis ;;;;;;;;;;;
Bureau 2= Muziekcentrum't Anker;;;;;;;;;;;
Bureau 3= De Muldershof;;;;;;;;;;;
Bureau 4=;Ontmoetingscentrum;;;;;;;;;;
Bureau 5= Herberg 't Huukske;;;;;;;;;;;
Bureau 6= ;De Dreef;;;;;;;;;;
Bureau 7=;De Pastorie;;;;;;;;;;
Bureau 8=;Franciscushof Lieshout;;;;;;;;;;
Bureau 9=;Dorpshuis Lieshout;;;;;;;;;;
Bureau10=;Buurthuis Mariahout;;;;;;;;;;
