Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 24 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
1,Raadhuis,601,127,222,105,197,316,34,238,6,93,70,4,16,54,3,51,1,0,2,13,13,4,3,2173,5,2178,17,2195,1463,"150,03%"
2,Wijkcentrum De Nieuwe Silo,134,55,67,39,46,81,13,83,10,25,32,1,2,41,2,10,0,0,1,3,3,0,1,649,2,651,3,654,1117,"58,55%"
3,Kruiskerk,301,68,184,77,127,131,29,82,12,40,58,2,12,37,0,37,0,1,3,6,2,0,2,1211,5,1216,6,1222,1536,"79,56%"
4,Juliana van Stolbergschool,211,53,128,53,71,96,49,69,3,36,46,1,5,29,0,24,0,0,0,1,1,0,0,876,0,876,5,881,1302,"67,67%"
5,Verz.huis de Meerstede,267,50,133,54,137,66,21,40,11,27,40,3,1,23,1,26,2,0,0,3,3,1,0,909,1,910,7,917,1146,"80,02%"
6,Huurders Haarl'meer,280,63,152,75,109,107,36,86,7,21,49,1,3,8,0,26,0,0,1,4,6,1,0,1035,1,1036,1,1037,1304,"79,52%"
7,Verz.huis Horizon,226,37,82,42,118,68,27,57,21,24,31,0,0,9,1,8,0,1,0,0,0,0,0,752,1,753,1,754,885,"85,20%"
8,School de Flamingo,209,60,111,67,86,141,23,75,4,38,37,1,4,13,1,13,0,0,1,3,0,2,0,889,2,891,1,892,1135,"78,59%"
9,Wijkcentrum de Boerderij,325,106,193,115,155,151,27,122,3,31,66,3,3,34,0,26,1,0,3,4,5,2,2,1377,2,1379,8,1387,1385,"100,14%"
10,1e Montessorischool,306,66,92,54,108,151,21,119,3,58,42,1,2,2,0,23,0,0,1,4,2,0,5,1060,0,1060,2,1062,1279,"83,03%"
