Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 23 ,Lijstnr 24 ,Lijstnr 25 ,Lijstnr 26 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
1,Stadhuis,397,85,591,297,191,224,18,178,1,42,83,2,12,221,0,44,1,1,1,16,3,3,0,2,3,0,2416,18,2434,10,2444,3024,"80,82%"
2,Delta-Onderwijs,541,67,148,116,228,195,9,105,1,31,50,1,6,0,1,27,0,0,0,0,0,1,0,2,0,0,1529,0,1529,8,1537,2088,"73,61%"
3,De Doelen,298,82,200,153,197,128,7,101,0,32,56,0,5,9,2,19,0,0,0,4,0,1,0,2,0,0,1296,3,1299,6,1305,1780,"73,31%"
4,Theater De Bussel,404,81,259,182,148,177,19,107,5,49,56,3,13,26,1,25,2,0,0,2,1,0,0,1,0,1,1562,8,1570,2,1572,1894,"83,00%"
5,Praktijkschool De Zwaaikom,416,44,186,154,192,139,9,103,0,34,46,0,3,4,1,33,1,0,0,4,2,2,0,4,0,0,1377,3,1380,2,1382,1773,"77,95%"
7,KBS Paulo Freire,309,79,369,199,153,168,13,125,2,33,54,1,6,64,7,11,2,1,0,2,1,0,2,2,1,0,1604,35,1639,5,1644,2021,"81,35%"
8,Oosterheem,399,64,192,167,249,162,15,96,0,27,71,0,4,4,2,22,1,0,0,3,1,2,0,1,0,0,1482,4,1486,1,1487,2041,"72,86%"
9,"Speelgoed-& Carnavalsmuseum ""op Stelten""",248,67,284,161,145,130,18,80,1,35,52,1,8,16,0,22,1,0,0,3,0,0,0,5,2,1,1280,2,1282,6,1288,1669,"77,17%"
10,Activiteitencentrum De Bunthoef,205,98,399,292,163,142,20,174,0,26,77,3,7,266,1,31,3,0,0,4,3,0,0,0,1,0,1915,5,1920,23,1943,2017,"96,33%"
11,Kindcentrum De Ontdekking,137,53,298,156,88,111,14,124,3,30,53,0,5,186,3,18,1,0,0,5,0,0,2,2,2,0,1291,1,1292,9,1301,1917,"67,87%"
12,Sint-Oelbert Gymnasium,203,34,98,52,103,88,10,58,0,23,22,2,3,18,0,13,0,0,0,0,1,0,2,0,0,0,730,0,730,1,731,1397,"52,33%"
13,KBS De Beiaard,377,48,118,59,173,177,12,90,1,25,21,1,8,15,0,21,0,0,1,1,0,0,1,1,0,0,1150,0,1150,1,1151,1214,"94,81%"
14,De Klip,500,67,274,178,277,201,11,119,0,48,46,7,6,0,0,20,0,2,2,8,0,0,1,2,0,0,1769,1,1770,2,1772,2281,"77,69%"
15,Gemeenschapshuis Oostquartier,244,26,86,60,240,80,2,34,3,14,29,0,1,0,2,18,0,0,0,0,0,2,0,0,0,0,841,3,844,0,844,1009,"83,65%"
16,Dorpshuis Den Brink,383,24,135,83,175,115,11,67,0,19,31,1,4,7,1,15,1,0,0,3,0,0,0,1,0,0,1076,0,1076,3,1079,1465,"73,65%"
17,KBS De Hobbit,451,78,152,101,176,233,23,125,4,23,31,3,3,1,4,27,1,2,0,1,0,0,0,0,0,0,1439,2,1441,1,1442,1502,"96,01%"
18,OBS Rubenshof,466,84,180,163,155,251,14,118,3,42,32,0,1,7,2,24,1,0,0,2,1,1,0,3,0,0,1550,3,1553,3,1556,1906,"81,64%"
19,OBS Sterrendonk,142,51,200,145,70,90,8,80,2,20,63,2,5,20,1,21,1,0,0,0,0,2,0,2,1,0,926,5,931,1,932,1132,"82,33%"
20,Activiteitencentrum Dommelbergen,304,84,314,233,165,196,10,144,0,45,83,1,8,60,1,27,1,0,0,4,1,1,0,0,1,0,1683,6,1689,7,1696,1978,"85,74%"
21,Montessorischool Oosterhout,222,34,226,157,88,126,14,90,0,32,42,4,2,5,1,29,3,0,0,3,4,2,1,0,1,0,1086,0,1086,1,1087,1761,"61,73%"
22,OBS De Duizendpoot,519,84,293,189,179,236,24,130,7,56,62,6,6,20,3,31,0,0,0,3,3,0,0,3,0,0,1854,0,1854,9,1863,2244,"83,02%"
23,OBS De Pionier,820,88,279,152,226,271,24,98,2,55,59,1,6,15,2,33,0,0,0,2,0,0,0,0,0,0,2133,3,2136,2,2138,2441,"87,59%"
25,KBS De Meander,596,62,230,135,171,196,8,82,1,37,49,3,8,16,2,23,0,0,0,2,1,1,0,1,0,0,1624,1,1625,4,1629,1886,"86,37%"

,Totaal,8581,1484,5511,3584,3952,3836,313,2428,36,778,1168,42,130,980,37,554,20,6,4,72,22,18,9,34,12,2,33613,103,33716,107,33823,42440,"79,70 %"
