LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 4,Sb 5,Sb 6,Sb 8,Sb 9,Sb 11,Sb 12,Sb 14,Sb 15,Sb 17,Sb 18,Sb 19
1,VVD,1,"Rutte, M. (Mark) (m)",5441,468,422,373,234,332,391,346,409,748,517,402,239,260,300
,,2,"Hennis - Plasschaert, J.A. (Jeanine) (v)",489,46,45,22,18,32,37,31,29,92,54,22,13,28,20
,,3,"Zijlstra, H. (Halbe) (m)",35,1,1,0,1,0,1,2,6,5,6,5,2,5,0
,,4,"van Ark, T. (Tamara) (v)",38,5,4,2,0,0,1,2,2,5,6,3,3,3,2
,,5,"Dijkhoff, K.H.D.M. (Klaas) (m)",338,29,16,26,17,22,30,15,22,52,32,32,13,21,11
,,6,"Dekker, S. (Sander) (m)",7,0,4,0,0,0,0,1,2,0,0,0,0,0,0
,,7,"Visser, B. (Barbara) (v)",30,2,0,2,0,1,6,0,1,7,4,0,4,2,1
,,8,"Harbers, M.G.J. (Mark) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,9,"ten Broeke, J.H. (Han) (m)",2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
,,10,"Azmani, M. (Malik) (m)",5,0,1,0,0,0,0,2,0,2,0,0,0,0,0
,,11,"Wiersma, A.D. (Dennis) (m)",2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
,,12,"Lodders, W.J.H. (Helma) (v)",11,1,3,2,0,1,1,0,0,1,0,1,0,1,0
,,13,"van 't Wout, B. (Bas) (m)",2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
,,14,"Becker, B. (Bente) (v)",12,0,2,0,0,1,1,0,2,2,4,0,0,0,0
,,15,"Duisenberg, P.J. (Pieter) (m)",5,0,0,0,0,0,0,0,0,1,0,1,1,0,2
,,16,"Hermans, S.T.M. (Sophie) (v)",21,2,0,0,1,0,0,0,3,7,4,0,1,0,3
,,17,"Mulder, A. (Anne) (m)",6,1,1,0,0,0,0,0,0,1,0,1,2,0,0
,,18,"de Vries, A. (Aukje) (v)",8,1,1,0,1,0,1,1,0,2,0,0,1,0,0
,,19,"Yeşilgöz - Zegerius, D. (Dilan) (v)",15,1,2,1,1,0,1,2,4,0,2,0,1,0,0
,,20,"Rutte, A.C.L. (Arno) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,21,"Tellegen, O.C. (Ockje) (v)",6,1,2,0,0,0,0,0,0,1,1,0,0,1,0
,,22,"Koerhuis, D.A.N. (Daniel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"Ziengs, E. (Erik) (m)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,24,"Bosman, A. (André) (m)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,25,"van den Bosch, A. (Albert) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,26,"El Yassini, Z. (Zohair) (m)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,27,"Dijkstra, R.J. (Remco) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
