"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Ridderkerk"
"Nummer";"";"0597"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Gemeentehuis";"St. Jorisparochie";"Rehobothschool";"Gasterij de Ontmoeting (Riederborgh)";"Dependance Farel College";"Kerk De Levensbron";"OBS de Noord";"CBS de Wingerd";"Wilhelminakerk Slikkerveer";"cbs de Driemaster";"muziekver. Harmonie Slikkerveer";"Irenekerk";"Boezemkerk";"Wijkvoorzieningencentrum Bolnes";"Sporthal Beverbol";"Kerk Bolnes";"De Korenbloem";"cbs de Klimop";"kerk Rijsoord (gebouw de Hoeksteen)";"cbs de Bongerd";"Sionskerk";"Rijerheem";"Verpleeghuis Salem";"'t Ronde Sant";"OBS de Piramide";"Christus is Koningkerk";"Ichthuskerk";"CBS De Klimop"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28"
"";"opgeroepenen";"";"";"36204";"1188";"890";"994";"1215";"1241";"1209";"1424";"1653";"1634";"968";"1207";"1439";"1423";"1798";"1498";"1467";"524";"1011";"1310";"1530";"0";"1109";"1169";"1584";"1092";"1600";"2846";"1181"
"";"geldige stempas";"";"";"26392";"1214";"569";"592";"948";"780";"992";"935";"1429";"812";"733";"1183";"1122";"631";"1372";"1204";"1184";"404";"806";"940";"1075";"55";"773";"840";"1408";"735";"1072";"1905";"679"
"";"geldig volmachtbewijs";"";"";"2844";"138";"48";"93";"92";"86";"101";"95";"160";"78";"68";"121";"141";"47";"141";"105";"97";"51";"84";"145";"109";"8";"80";"101";"163";"89";"104";"210";"89"
"";"geldige kiezerspas";"";"";"51";"6";"1";"1";"4";"3";"2";"2";"6";"0";"2";"1";"3";"0";"0";"1";"1";"1";"1";"0";"2";"2";"1";"5";"1";"1";"3";"1";"0"
"";"toegelaten kiezers";"";"";"29287";"1358";"618";"686";"1044";"869";"1095";"1032";"1595";"890";"803";"1305";"1266";"678";"1513";"1310";"1282";"456";"891";"1085";"1186";"65";"854";"946";"1572";"825";"1179";"2116";"768"
"";"geldige stembiljetten";"";"";"29159";"1351";"617";"680";"1041";"867";"1092";"1022";"1579";"888";"803";"1301";"1256";"676";"1503";"1307";"1274";"456";"890";"1082";"1178";"64";"849";"945";"1568";"825";"1171";"2110";"764"
"";"blanco stembiljetten";"";"";"52";"2";"0";"4";"1";"2";"1";"2";"8";"1";"2";"1";"4";"0";"2";"1";"8";"0";"0";"0";"0";"1";"2";"1";"0";"0";"6";"0";"3"
"";"ongeldige stembiljetten";"";"";"51";"3";"1";"4";"2";"0";"1";"3";"0";"1";"0";"3";"5";"1";"4";"5";"0";"0";"1";"1";"6";"0";"2";"0";"3";"0";"0";"4";"1"
"";"aangetroffen stembiljetten";"";"";"29262";"1356";"618";"688";"1044";"869";"1094";"1027";"1587";"890";"805";"1305";"1265";"677";"1509";"1313";"1282";"456";"891";"1083";"1184";"65";"853";"946";"1571";"825";"1177";"2114";"768"
"";"meer stembiljetten dan toegelaten kiezers ";"";"";"7";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"minder stembiljetten dan toegelaten kiezers ";"";"";"32";"2";"0";"0";"0";"0";"1";"5";"8";"0";"0";"0";"1";"1";"4";"0";"0";"0";"0";"2";"2";"0";"1";"0";"1";"0";"2";"2";"0"
"";"kiezers met stembiljet hebben niet gestemd";"";"";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn te weinig stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn te veel stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn stembiljetten kwijtgeraakt";"";"";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"geen verklaring";"";"";"30";"2";"0";"0";"0";"0";"1";"5";"8";"0";"2";"0";"0";"1";"1";"3";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"2";"2";"0"
