Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 23 ,Lijstnr 25 ,Lijstnr 26 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
"1,Raadhuis Krimpen aan den IJssel,141,48,161,51,97,85,83,52,236,32,20,0,7,22,0,15,0,0,5,4,3,0,0,2,0,1064,2,1066,4,1070,960,""111,46%"""
"2,Basisschool Het Kompas,219,33,171,62,93,83,61,63,242,25,26,0,9,2,0,26,0,1,0,3,3,0,2,2,0,1126,3,1129,1,1130,1371,""82,42%"""
"3,Zwembad /Sauna De Lansingh,174,54,143,49,109,76,66,45,227,27,31,2,2,9,0,26,0,0,0,1,2,0,0,2,0,1045,0,1045,2,1047,1530,""68,43%"""
"4,Dorpsplein Het Facet,169,59,158,78,115,83,78,58,203,26,37,0,1,3,1,23,0,0,0,1,2,0,0,1,0,1096,1,1097,3,1100,1087,""101,20%"""
"5,Immanuelkerk,137,42,76,41,66,69,60,25,82,7,24,0,1,0,0,8,0,0,0,1,0,1,0,0,0,640,0,640,0,640,1138,""56,24%"""
"6,Sociëteit Gouden Regen,190,56,115,63,87,74,69,53,160,21,38,1,2,0,0,23,0,0,1,2,1,1,0,0,0,957,0,957,4,961,1243,""77,31%"""
"7,Wijkcentrum De Sperwer,428,75,204,75,203,126,100,68,119,34,41,0,9,4,0,32,0,0,3,2,4,0,0,0,0,1527,2,1529,3,1532,1393,""109,98%"""
"8,Basisschool Het Mozaïek,213,57,117,65,109,102,153,57,105,33,34,2,5,4,0,14,0,0,0,3,0,2,1,0,0,1076,1,1077,1,1078,1100,""98,00%"""
"9,BS De Groeiplaneet/loc. Wielerbaan,265,67,128,57,108,99,65,56,96,23,36,6,5,0,2,32,0,0,0,7,3,1,1,0,0,1057,1,1058,1,1059,1359,""77,92%"""
"10,Zorgcentrum Crimpenersteyn,178,65,196,94,106,106,62,51,73,28,31,2,8,2,1,16,0,1,4,3,2,0,0,2,0,1031,1,1032,3,1035,1234,""83,87%"""
"11,BS De Groeiplaneet/locatie De Berk,280,55,131,61,105,164,62,65,64,40,23,2,2,2,0,28,0,0,0,5,1,1,0,0,0,1091,0,1091,2,1093,1215,""89,96%"""
"12,Sportzaal De Populier,254,71,205,79,135,91,58,66,66,27,43,1,5,1,1,21,1,0,0,0,0,0,0,1,0,1126,1,1127,2,1129,1465,""77,06%"""
"13,Comenius College,142,32,131,36,87,57,73,27,353,13,12,3,6,3,1,22,0,0,1,2,0,0,0,0,0,1001,0,1001,1,1002,1310,""76,49%"""
"14,Basisschool De Wegwijzer,198,69,197,106,136,115,68,80,41,29,48,0,1,7,0,22,1,0,1,8,3,0,0,0,0,1130,4,1134,1,1135,1396,""81,30%"""
"15,Gezondheidscentrum Krimpen,251,88,163,76,152,114,88,78,238,31,53,0,3,3,1,27,1,1,0,2,3,0,0,0,0,1373,1,1374,5,1379,1285,""107,32%"""
"16,Ontmoetingscentrum De Tuyter,115,58,183,73,113,55,50,49,209,30,20,1,2,7,1,16,0,0,1,0,4,1,0,0,0,988,1,989,2,991,1008,""98,31%"""
"17,Wijkcentrum Vijverhoek,183,49,146,74,106,81,34,59,74,23,37,2,5,10,1,23,2,0,0,2,1,0,1,2,0,915,1,916,3,919,1303,""70,53%"""
"18,Wijkcentrum Het Palet,79,62,164,76,82,39,29,43,102,21,25,0,2,5,0,13,0,0,0,0,1,0,0,0,0,743,2,745,1,746,1019,""73,21%"""

",Totaal,3616,1040,2789,1216,2009,1619,1259,995,2690,470,579,22,75,84,9,387,5,3,16,46,33,7,5,12,0,18986,21,19007,39,19046,22416,""84,97 %"""
