Aantal stemmen per lijst per bureau;;;;;;;;;;;Datum: 03-04-2017
Waterland - Noord-Holland - TK17 - 15 maart 2017;;;;;;;;;;;
Lijst;Bureau 1;Bureau 2;Bureau 3;Bureau 4;Bureau 5;Bureau 6;Bureau 7;Bureau 8;Bureau 9;Bureau 10;
VVD;372;262;207;248;259;341;56;325;236;274;
PVDA;92;69;81;95;127;92;7;73;69;70;
PVV;135;172;85;172;116;156;26;168;42;119;
SP;84;98;65;90;79;70;7;63;39;57;
CDA;160;207;86;155;107;133;40;397;52;77;
D66;179;90;114;119;152;156;20;72;180;148;
CU;14;23;13;16;18;13;1;53;6;19;
GROENLIN;160;88;80;95;114;80;26;70;120;106;
SGP;0;4;1;6;3;1;5;6;4;1;
PVDD;64;26;34;37;39;47;2;41;39;44;
50PLUS;18;52;27;46;45;49;2;34;15;26;
OP;3;4;0;2;1;1;2;1;0;1;
VNL;8;4;7;8;10;7;0;5;1;4;
DENK;0;5;3;6;0;0;1;0;0;0;
NIEUWEWE;0;1;1;2;1;4;1;0;0;0;
FVD;29;37;18;49;38;53;4;8;9;21;
DBB;0;0;0;1;2;0;0;0;1;0;
VP;0;1;0;0;0;1;0;0;0;3;
GP;0;0;0;0;0;0;0;0;0;1;
PIRATENP;5;2;2;2;2;4;0;3;4;1;
A1;3;3;1;4;1;0;0;0;1;3;
NS;1;1;1;0;1;0;0;0;0;0;
LIDK;0;1;0;0;3;0;0;0;0;0;
VDP;0;0;0;0;0;0;0;0;0;0;
;Bureau 1;Bureau 2;Bureau 3;Bureau 4;Bureau 5;Bureau 6;Bureau 7;Bureau 8;Bureau 9;Bureau 10;
Totaal Geldig;1327;1150;826;1153;1118;1208;200;1319;818;975;
Blanco;1;3;2;0;0;1;0;4;0;2;
Ongeldig;7;7;2;2;0;1;0;1;2;0;
Totaal ;1335;1160;830;1155;1118;1210;200;1324;820;977;
Kiesgerechtigden;1539;1456;960;1361;1158;1304;224;1482;881;1112;
Opkomst percentage;86.74 %;79.67 %;86.46 %;84.86 %;96.55 %;92.79 %;89.29 %;89.34 %;93.08 %;87.86 %;
Bron: Elektor 5 - Aantal stemmen per lijst per bureau;;;;;;;;;;;Pagina : 1
Aantal stemmen per lijst per bureau;;;;;;;;;;;Datum: 03-04-2017
Waterland - Noord-Holland - TK17 - 15 maart 2017;;;;;;;;;;;
Lijst;Bureau 11;Bureau 12;Bureau 13;Totaal;;;;;;;
VVD;86;333;61;3060;;;;;;;
PVDA;29;83;17;904;;;;;;;
PVV;19;143;38;1391;;;;;;;
SP;11;77;6;746;;;;;;;
CDA;36;220;19;1689;;;;;;;
D66;46;163;45;1484;;;;;;;
CU;7;23;6;212;;;;;;;
GROENLIN;45;113;39;1136;;;;;;;
SGP;6;4;0;41;;;;;;;
PVDD;18;42;15;448;;;;;;;
50PLUS;3;35;9;361;;;;;;;
OP;0;0;0;15;;;;;;;
VNL;0;9;0;63;;;;;;;
DENK;0;1;0;16;;;;;;;
NIEUWEWE;0;3;0;13;;;;;;;
FVD;3;32;5;306;;;;;;;
DBB;0;0;0;4;;;;;;;
VP;0;0;1;6;;;;;;;
GP;0;0;0;1;;;;;;;
PIRATENP;0;2;1;28;;;;;;;
A1;0;1;0;17;;;;;;;
NS;0;2;0;6;;;;;;;
LIDK;0;0;0;4;;;;;;;
VDP;0;0;0;0;;;;;;;
;Bureau 11;Bureau 12;Bureau 13;Totaal;;;;;;;
Totaal Geldig;309;1286;262;11951;;;;;;;
Blanco;0;4;0;17;;;;;;;
Ongeldig;2;1;0;25;;;;;;;
Totaal ;311;1291;262;11993;;;;;;;
Kiesgerechtigden;320;1396;327;13520;;;;;;;
Opkomst percentage;97.19 %;92.48 %;80.12 %;88.71 %;;;;;;;
Bron: Elektor 5 - Aantal stemmen per lijst per bureau;;;;;;;;;;;Pagina : 2
