Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 23 ,Lijstnr 24 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
"1,Gemeentehuis Zuidwolde,380,83,155,114,231,138,57,80,13,24,35,4,2,0,0,36,1,1,1,4,0,2,1361,1,1362,5,1367,1374,""99,49%"""
"2,Ontmoetingscentrum De Boerhoorn,195,71,81,71,193,61,29,29,8,25,47,3,3,0,4,29,1,0,0,3,0,0,853,1,854,1,855,897,""95,32%"""
"3,Zorgcentrum Tonckenshuys,258,80,81,83,251,135,61,79,16,12,50,0,0,0,0,18,0,0,0,4,0,2,1130,1,1131,4,1135,1480,""76,69%"""
"4,Dorpshuis 't Markehuus,98,33,56,31,40,30,8,19,5,7,16,0,1,0,2,4,0,0,0,0,0,0,350,0,350,3,353,473,""74,63%"""
"5,Dorpshuis Buddingehof,293,85,77,64,172,98,42,54,9,19,46,1,5,1,0,17,0,0,2,0,0,1,986,0,986,3,989,1050,""94,19%"""
"6,Dorpshuis De Kolonie,226,35,39,35,150,63,35,61,9,15,10,1,2,0,1,8,2,0,0,1,1,0,694,0,694,1,695,720,""96,53%"""
"7,Streekcentrum De Snikke,141,22,36,42,78,38,12,27,6,14,8,0,2,0,0,12,0,0,0,1,0,0,439,2,441,1,442,540,""81,85%"""
"8,Dorpshuis Linde,110,15,30,25,92,37,14,13,19,7,8,0,3,0,0,10,1,1,0,0,0,0,385,0,385,0,385,443,""86,91%"""
"9,Dorpshuis 't Drogterhuus,76,5,54,32,83,21,15,14,5,9,16,0,2,0,0,6,0,0,0,0,0,0,338,0,338,2,340,418,""81,34%"""
"10,Dorpshuis 't Neie Punt,384,123,128,104,144,112,22,75,6,45,43,3,2,0,3,19,0,0,0,2,0,1,1216,3,1219,0,1219,1446,""84,30%"""
"11,Sporthal De Marse,383,85,123,90,101,126,16,53,1,30,42,1,0,2,2,16,2,0,0,1,1,1,1076,4,1080,1,1081,1281,""84,39%"""
"12,Dorpshuis Bastogne,142,36,23,26,39,49,6,33,7,24,3,0,2,0,0,6,1,0,0,0,1,0,398,2,400,0,400,460,""86,96%"""
"13,Dorpshuis De Schakel,335,75,120,74,357,108,59,80,14,45,28,4,6,0,0,21,0,0,1,2,0,1,1330,1,1331,1,1332,1514,""87,98%"""
"14,Welzijncentrum Havezate,310,110,110,97,97,157,19,80,4,26,55,3,2,0,4,23,0,0,0,2,1,3,1103,2,1105,2,1107,1092,""101,37%"""
"15,Zorgcentrum Dunninghe,257,73,53,61,117,120,14,38,8,20,49,0,5,0,1,10,0,0,0,0,0,0,826,1,827,0,827,1187,""69,67%"""
"16,Dorpshuis D' Olde Karke,112,12,27,12,53,20,23,23,3,10,9,1,1,0,1,4,0,0,0,0,0,0,311,0,311,1,312,316,""98,73%"""
"17,Dorpshuis De Alke,176,31,124,99,401,47,55,28,35,18,37,2,2,0,0,14,0,0,0,1,0,2,1072,0,1072,2,1074,1288,""83,39%"""
"18,Zorgcentrum 't Vonder,253,74,75,52,177,115,29,70,9,10,30,2,2,0,1,14,0,0,0,1,1,2,917,0,917,5,922,1209,""76,26%"""
"19,Dorpshuis De Veldhoek,83,25,55,22,61,27,10,39,1,11,11,0,3,0,0,4,0,0,0,1,0,2,355,1,356,2,358,485,""73,81%"""
"20,De Ontmoetingskerk,240,44,80,66,187,90,74,64,2,17,29,1,5,0,2,15,2,1,0,0,1,3,923,0,923,1,924,1218,""75,86%"""

",Totaal,4452,1117,1527,1200,3024,1592,600,959,180,388,572,26,50,3,21,286,10,3,4,23,6,20,16063,19,16082,35,16117,18891,""85,32 %"""
