Nr,Stembureau,Lijstnr 1 VVD,Lijstnr 2 PvdA,Lijstnr 3 PVV,Lijstnr 4 SP,Lijstnr 5 CDA,Lijstnr 6 D66,Lijstnr 7 CU,Lijstnr 8 GL,Lijstnr 9 SGP,Lijstnr 10 PvdD,Lijstnr 11 50+,Lijstnr 12 OP,Lijstnr 13 VNL,Lijstnr 14 DENK,Lijstnr 15 NW,Lijstnr 16 FvD,Lijstnr 17 DBB,Lijstnr 18 VP,Lijstnr 19 GP,Lijstnr 20  PPNL ,Lijstnr 21  Art1kel ,Lijstnr 22 NS,Lijstnr 23 LP,Lijstnr 24 LidK,Lijstnr 26 SNL,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
1,Gemeentehuis Oss,309,85,215,275,211,180,9,118,1,46,32,1,4,43,3,26,1,0,0,6,1,0,0,0,0,1566,1,1567,5,1572,1371,"114,66%"
2,Unit Centraal Station,295,63,166,230,140,253,13,185,0,35,27,2,5,40,2,25,1,0,0,12,2,1,0,1,0,1498,3,1501,9,1510,1247,"121,09%"
3,Wijkcentrum Schadewijk,250,69,610,521,179,131,2,101,1,58,73,2,7,202,2,36,0,0,0,10,1,3,0,4,0,2262,8,2270,5,2275,3316,"68,61%"
4,Basisschool De Nieuwe Link,358,73,397,354,222,157,8,111,0,43,63,6,9,127,3,45,0,1,0,11,0,0,0,2,0,1990,3,1993,6,1999,2697,"74,12%"
5,Scoutinggroep Dr. Saal van Zwanenberg,327,39,239,206,148,125,5,72,0,40,43,1,5,12,2,14,0,1,0,5,2,2,2,2,0,1292,3,1295,3,1298,1896,"68,46%"
6,Steunpunt De Brink,162,48,262,303,134,102,8,80,3,30,43,2,2,31,0,19,0,1,0,0,2,0,0,1,0,1233,2,1235,7,1242,1712,"72,55%"
7,Unit Centrum,233,30,168,143,117,115,4,85,0,40,24,2,3,9,0,25,0,0,0,3,0,1,0,2,0,1004,8,1012,2,1014,1024,"99,02%"
8,Hub Noord-Brabant,130,47,134,187,64,95,4,101,0,22,19,0,6,27,1,21,0,0,0,5,0,2,0,0,0,865,3,868,6,874,1363,"64,12%"
9,Titus Brandsma Parochie,174,53,137,201,122,125,6,98,2,28,29,1,1,22,2,15,0,0,1,4,2,0,0,0,0,1023,2,1025,4,1029,1247,"82,52%"
10,RK Basisschool Pius X,305,57,204,237,174,166,9,83,3,45,41,0,1,41,1,33,0,0,0,1,0,0,1,0,0,1402,6,1408,2,1410,1762,"80,02%"
11,"Het Hooghuis, Mondriaan College",487,32,100,49,191,132,6,61,1,17,26,0,0,3,0,21,0,0,0,1,0,0,0,0,0,1127,0,1127,1,1128,1427,"79,05%"
