Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Moerdijk;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1709;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Theater de Schuur;De Zeven Schakels;Kruisgebouw;Pluspunt Serena;Openbare Basisschool De Boemerang;Sportgezondheidscentrum Zevenbergen;Sportplaza Moerdijk De Kristal;Stationsrestauratie Happy Dees;Ons Stedeke;De Zevensprong;Mauritshof;De Niervaert;SBO Het Palet;De Ankerkuil;GSch.huis Noordhoek;De Standaert;Mauritshuis;De Blokhut;De Parel;Fendertshof;Openbare Basisschool De Springplank;Pestalozzihuis
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
Postcode;;;;;4761 CA;4761 BN;4761 KC;4761 TW;4761 SB;4761 KN;4761 ZC;4761 BG;4772 RA;4765 CP;4791 JR;4791 GB;4791 JL;4781 AP;4759 BD;4758 AJ;4797 AC;4797 HT;4793 CB;4793 ES;4793 BC;4794 AA
;opgeroepenen;;;28759;1049;1185;1389;1649;1530;1503;1605;1209;687;1268;1497;1442;1534;883;849;1750;1785;988;1418;1227;1474;838
;geldige stempas;;;20955;699;881;845;1415;927;833;1354;1295;504;859;1116;1223;865;600;630;1244;1468;588;1237;885;949;538
;geldig volmachtbewijs;;;2087;57;83;66;129;83;99;153;133;42;95;116;125;84;62;73;104;145;56;138;86;96;62
;geldige kiezerspas;;;47;1;4;1;2;0;2;3;1;2;7;1;1;0;1;3;7;4;1;1;1;0;4
;toegelaten kiezers;;;23089;757;968;912;1546;1010;934;1510;1429;548;961;1233;1349;949;663;706;1355;1617;645;1376;972;1045;604
;geldige stembiljetten;;;23005;754;964;910;1542;1008;932;1505;1426;547;963;1228;1342;944;662;705;1350;1609;641;1368;966;1036;603
;blanco stembiljetten;;;29;2;5;5;1;1;1;3;2;0;0;0;1;0;1;0;0;4;0;1;2;0;0
;ongeldige stembiljetten;;;31;1;1;1;2;1;0;4;1;1;0;1;1;4;0;1;2;1;3;3;0;3;0
;aangetroffen stembiljetten;;;23065;757;970;916;1545;1010;933;1512;1429;548;963;1229;1344;948;663;706;1352;1614;644;1372;968;1039;603
;meer stembiljetten dan toegelaten kiezers ;;;10;0;2;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers ;;;34;0;0;0;1;0;1;0;0;0;0;4;5;1;0;0;3;3;1;4;4;6;1
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn stembiljetten kwijtgeraakt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;42;0;0;4;1;0;1;2;0;0;2;4;5;1;0;0;3;3;1;4;4;6;1
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;5832;206;224;136;329;263;198;496;479;135;239;302;255;222;122;229;345;555;123;313;233;284;144
;;1;Rutte, M.;4610;141;181;115;257;204;158;408;337;95;199;250;203;184;98;186;277;426;88;264;189;232;118
;;2;Hennis-Plasschaert, J.A.;354;15;14;8;27;8;10;27;36;10;19;13;15;14;7;11;23;37;9;12;15;18;6
;;3;Zijlstra, H.;24;2;0;0;2;1;1;0;2;0;1;0;1;0;1;0;4;2;1;1;0;5;0
;;4;van Ark, T.;29;1;1;0;3;7;3;3;0;0;0;2;1;0;0;0;3;3;1;1;0;0;0
;;5;Dijkhoff, K.H.D.M.;615;38;23;9;32;29;17;42;81;22;16;26;27;19;13;25;26;69;19;25;23;22;12
;;6;Dekker, S.;4;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;7;Visser, B.;15;1;0;1;2;0;2;2;0;0;0;0;0;0;1;1;0;2;0;1;0;0;2
