Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Utrechtse Heuvelrug;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1581;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nieuw Salem;De Vijver;Sparrenheide;Kraaijbeekerhof;Beukenhorst;Parklaankerk;De Uilenburcht;Kerk De Bron;'t Hoge Licht;Ontmoetingskapel;Dorpskerk;Kerk De Ark;De Twee Marken;De Ark;Allemandswaard;De Ridderhof;De Buurthucht;Michaëlhuis;Meander;De Schermerij;De Binder;Cultuurhuis;Het Zonnehuis;Steinheim;Huize Beatrix;Park Boswijk
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
;opgeroepenen;;;37959;1650;1565;1661;1334;1531;1749;1427;1540;1845;1280;980;1176;1171;1294;1593;1370;1124;1523;1428;1359;1364;1664;1681;1747;1616;1287
;geldige stempas;;;29581;1479;1366;1304;997;1175;844;1327;1305;1515;1061;783;636;1378;991;1311;913;853;1161;862;1070;1270;1772;1068;1176;1280;684
;geldig volmachtbewijs;;;3046;2;152;140;115;119;106;116;139;171;109;85;68;117;108;148;90;114;141;97;125;107;223;147;91;144;72
;geldige kiezerspas;;;212;6;3;4;11;9;10;11;8;7;9;4;2;9;10;9;5;12;16;2;2;5;31;9;4;7;7
;toegelaten kiezers;;;32839;1487;1521;1448;1123;1303;960;1454;1452;1693;1179;872;706;1504;1109;1468;1008;979;1318;961;1197;1382;2026;1224;1271;1431;763
;geldige stembiljetten;;;32719;1481;1515;1443;1115;1292;953;1455;1443;1689;1173;865;705;1499;1109;1466;1008;977;1312;960;1191;1379;2019;1221;1262;1427;760
;blanco stembiljetten;;;30;0;3;1;1;1;0;0;2;2;0;4;0;0;0;1;0;1;0;2;3;2;3;2;2;0;0
;ongeldige stembiljetten;;;70;1;3;3;4;8;7;0;7;1;4;1;1;6;0;1;0;1;4;1;0;3;3;1;7;2;1
;aangetroffen stembiljetten;;;32819;1482;1521;1447;1120;1301;960;1455;1452;1692;1177;870;706;1505;1109;1468;1008;979;1316;963;1194;1384;2025;1224;1271;1429;761
;meer stembiljetten dan toegelaten kiezers ;;;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers ;;;27;5;0;1;3;2;0;1;0;1;2;2;0;0;0;0;0;0;2;0;3;0;1;0;0;2;2
;kiezers met stembiljet hebben niet gestemd;;;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn stembiljetten kwijtgeraakt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;24;5;0;0;3;2;0;1;0;1;0;2;0;0;0;0;0;0;2;0;3;2;1;0;0;2;0
;andere verklaring;;;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
1;VVD;;;8758;349;463;430;243;294;207;337;343;358;337;265;246;423;319;323;256;154;350;257;328;387;610;446;257;535;241
;;1;Rutte, M.;6759;282;363;317;197;233;148;265;264;287;260;194;186;317;267;252;208;125;275;211;258;309;428;335;196;396;186
;;2;Hennis-Plasschaert, J.A.;754;14;30;42;14;25;16;38;35;30;31;25;26;33;20;23;16;10;32;14;37;27;72;38;32;47;27
;;3;Zijlstra, H.;114;4;3;6;5;3;4;0;3;6;4;4;4;6;2;3;3;3;6;5;3;5;13;5;7;5;2
;;4;van Ark, T.;54;0;2;4;0;2;2;1;1;2;2;0;3;4;3;3;3;1;1;3;0;4;8;3;0;2;0
;;5;Dijkhoff, K.H.D.M.;626;25;29;33;17;19;21;26;25;19;21;27;16;35;19;21;18;7;19;15;17;28;56;37;9;53;14
;;6;Dekker, S.;14;0;0;0;3;1;0;0;1;0;0;1;0;2;0;1;0;2;1;0;0;2;0;0;0;0;0
;;7;Visser, B.;29;2;1;1;0;0;4;0;0;1;1;0;2;2;1;2;2;0;2;0;0;2;0;1;1;4;0
;;8;Harbers, M.G.J.;8;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1
;;9;ten Broeke, J.H.;7;0;0;1;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1
;;10;Azmani, M.;6;0;2;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;11;Wiersma, A.D.;31;1;2;0;0;2;0;2;1;2;1;1;1;0;1;1;0;1;6;1;0;0;2;2;1;2;1
;;12;Lodders, W.J.H.;14;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;2;1;1;1;0;2;0
;;13;van 't Wout, B.;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0
;;14;Becker, B.;13;1;1;0;0;1;1;1;2;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
;;15;Duisenberg, P.J.;15;0;5;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;3;2
;;16;Hermans, S.T.M.;15;0;2;4;0;1;0;0;0;1;1;0;1;2;1;0;0;0;0;0;0;0;0;1;0;0;1
;;17;Mulder, A.;7;0;1;3;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;18;de Vries, A.;10;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
