Nr;Stembureau;Lijstnr 1 ;Lijstnr 2 ;Lijstnr 3 ;Lijstnr 4 ;Lijstnr 5 ;Lijstnr 6 ;Lijstnr 7 ;Lijstnr 8 ;Lijstnr 9 ;Lijstnr 10 ;Lijstnr 11 ;Lijstnr 12 ;Lijstnr 13 ;Lijstnr 14 ;Lijstnr 15 ;Lijstnr 16 ;Lijstnr 17 ;Lijstnr 18 ;Lijstnr 19 ;Lijstnr 20 ;Lijstnr 21 ;Lijstnr 22 ;Lijstnr 23 ;Lijstnr 24 ;Lijstnr 26 ;Uitgebrachte stemmen;Blanco stemmen;Geldige stemmen;Ongeldige stemmen;Aantal kiezers;Aantal opgeroepen;Opkomst percentage
1;Gemeenschapshuis De Borgh;325;26;175;164;242;101;2;57;0;29;47;1;3;0;2;34;1;0;0;3;0;0;1;0;0;1213;3;1216;1;1217;1432;84,99%
2;zaal Bellevue;304;27;211;133;222;72;4;33;2;30;44;0;7;0;1;15;1;0;0;4;2;0;0;0;1;1113;1;1114;3;1117;1531;72,96%
3;Basisschool De Triolier;288;43;202;152;161;148;5;58;1;26;62;0;7;3;3;25;1;0;0;2;0;1;0;2;0;1190;4;1194;3;1197;1378;86,87%
4;Zorgcentrum Marienburght;305;44;209;170;267;91;4;43;3;27;72;2;2;1;4;16;0;0;0;1;0;0;0;0;0;1261;2;1263;1;1264;1429;88,45%
5;Gemeenschapshuis Den Donck;268;26;217;153;274;107;4;48;3;24;52;3;9;0;0;26;0;0;0;2;0;0;0;1;0;1217;0;1217;0;1217;1441;84,46%
6;Gemeenschapshuis De Reinder;235;40;330;191;187;116;15;56;2;43;74;3;8;1;2;17;3;0;0;4;0;1;0;2;1;1331;2;1333;2;1335;1634;81,70%
7;Gemeenschapshuis De Schakel;126;23;239;123;86;71;16;52;0;26;55;0;3;1;2;14;2;0;0;5;0;0;0;2;0;846;1;847;2;849;1106;76,76%
8;De Smeltkroes;356;47;162;118;216;129;12;49;2;32;37;3;5;0;0;16;0;0;0;7;1;0;0;2;0;1194;0;1194;3;1197;1274;93,96%
9;Zorgcentrum Marishof;242;57;187;154;228;111;15;47;4;37;63;1;5;0;4;30;1;1;1;4;0;2;0;3;1;1198;0;1198;4;1202;1384;86,85%
10;Gemeenschapshuis De Schaapskooi;119;14;69;50;122;45;0;14;0;10;21;1;2;0;0;7;0;0;0;0;0;0;0;2;0;476;0;476;2;478;577;82,84%
11;Gemeentehuis Cranendonck;305;33;198;125;141;90;2;40;0;20;31;0;3;4;0;20;1;0;0;0;0;0;0;1;0;1014;0;1014;0;1014;1405;72,17%
12;Onze School;338;45;101;96;183;112;10;51;1;32;39;1;1;3;0;22;0;0;0;2;0;0;0;1;0;1038;2;1040;1;1041;1470;70,82%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Totaal;3211;425;2300;1629;2329;1193;89;548;18;336;597;15;55;13;18;242;10;1;1;34;3;4;1;16;3;13091;15;13106;22;13128;16061;81,74%
