Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;
Gebied;;Gemeente Westervoort;;;;;;;;;;
Nummer;;293;;;;;;;;;;
;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Montessorischool;De Brug;De Bult Wijkcentrum;Het Startblok;Het Ravelijn;De Nieuwhof;Wesstar
Gebiednummer;;;;;1;2;3;4;5;6;7;8
Postcode;;;;;6931 CZ;6931 CP;6931CM;6931 WP;6931 CN;6932 CA;6932 JR;6932 ML
;opgeroepenen;;;11848;1895;1349;1040;1154;1345;1652;1529;1884
;geldige stempas;;;8912;1715;827;787;729;1091;1412;1671;680
;geldig volmachtbewijs;;;764;161;79;82;61;85;86;146;64
;geldige kiezerspas;;;31;5;1;0;3;6;6;7;3
;toegelaten kiezers;;;9707;1881;907;869;793;1182;1504;1824;747
;geldige stembiljetten;;;9670;1879;900;867;793;1179;1492;1816;744
;blanco stembiljetten;;;24;0;7;2;0;3;10;0;2
;ongeldige stembiljetten;;;13;2;0;0;0;0;2;8;1
;aangetroffen stembiljetten;;;9707;1881;907;869;793;1182;1504;1824;747
;meer stembiljetten dan toegelaten kiezers ;;;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers ;;;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0
;er zijn stembiljetten kwijtgeraakt;;;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0
1;VVD;;;1859;409;182;203;108;209;301;302;145
;;1;Rutte, M.;1540;333;147;178;92;163;253;259;115
;;2;Hennis-Plasschaert, J.A.;136;35;15;9;3;22;24;13;15
;;3;Zijlstra, H.;12;3;4;0;1;2;2;0;0
;;4;van Ark, T.;8;5;1;0;0;0;1;0;1
;;5;Dijkhoff, K.H.D.M.;106;17;9;10;8;13;16;21;12
;;6;Dekker, S.;2;0;0;0;1;0;0;1;0
;;7;Visser, B.;2;1;0;1;0;0;0;0;0
;;8;Harbers, M.G.J.;0;0;0;0;0;0;0;0;0
;;9;ten Broeke, J.H.;0;0;0;0;0;0;0;0;0
;;10;Azmani, M.;0;0;0;0;0;0;0;0;0
;;11;Wiersma, A.D.;1;0;0;0;0;1;0;0;0
;;12;Lodders, W.J.H.;2;0;2;0;0;0;0;0;0
;;13;van 't Wout, B.;3;0;0;1;0;0;2;0;0
;;14;Becker, B.;3;1;0;0;0;0;0;2;0
;;15;Duisenberg, P.J.;0;0;0;0;0;0;0;0;0
;;16;Hermans, S.T.M.;0;0;0;0;0;0;0;0;0
;;17;Mulder, A.;1;0;0;0;0;0;0;1;0
;;18;de Vries, A.;2;0;1;0;1;0;0;0;0
;;19;Ye?ilgöz-Zegerius, D.;3;2;0;0;0;0;0;1;0
;;20;Rutte, A.C.L.;1;0;0;0;0;1;0;0;0
;;21;Tellegen, O.C.;0;0;0;0;0;0;0;0;0
