Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;
Gebied;;Gemeente Maasdriel;;;;;;;;;;;;;;;
Nummer;;263;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Kerkdriel;De Leijenstein;MFC De Kreek;De Boxhof;Dorpshuis Gelre's End;Rehoboth;De Lindeboom;De Weesboom;Dorpshuis Ons Huis;Dorpshuis De Vrijheid;De Vaste Burcht;Dorpshuis De Kil;De Drie Linden
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13
Postcode;;;;;5331 CB;5331 TA;5331 KC;5334 JR;5321 GG;5321 TM;5324 EP;5324 AT;5325 XE;6624 KN;5328 ES;5327 AR;5335 LK
;opgeroepenen;;;18328;2198;1100;2620;1165;1273;2365;1281;1392;763;966;2115;575;515
;geldige stempas;;;13568;1862;929;1333;1002;1052;1671;908;1048;589;718;1461;567;428
;geldig volmachtbewijs;;;1905;311;130;207;176;146;225;119;159;69;78;176;65;44
;geldige kiezerspas;;;20;0;0;2;0;3;1;3;1;3;4;3;0;0
;toegelaten kiezers;;;15493;2173;1059;1542;1178;1201;1897;1030;1208;661;800;1640;632;472
;geldige stembiljetten;;;15437;2167;1053;1533;1180;1191;1888;1033;1204;661;798;1633;626;470
;blanco stembiljetten;;;25;2;1;2;1;1;2;1;3;1;1;4;5;1
;ongeldige stembiljetten;;;28;2;5;2;0;7;4;0;1;0;1;4;1;1
;aangetroffen stembiljetten;;;15490;2171;1059;1537;1181;1199;1894;1034;1208;662;800;1641;632;472
;meer stembiljetten dan toegelaten kiezers ;;;8;0;0;0;3;0;0;4;0;0;0;1;0;0
;minder stembiljetten dan toegelaten kiezers ;;;12;2;0;5;0;2;3;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn stembiljetten kwijtgeraakt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;20;2;0;5;3;2;3;4;0;0;0;1;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;3947;621;232;472;351;276;392;190;396;143;189;423;172;90
;;1;Rutte, M.;3181;497;188;389;288;237;306;164;340;112;139;312;135;74
;;2;Hennis-Plasschaert, J.A.;205;25;10;33;14;11;23;8;8;13;13;31;10;6
;;3;Zijlstra, H.;19;3;1;4;2;0;1;0;1;1;4;2;0;0
;;4;van Ark, T.;30;2;1;0;2;0;0;0;0;0;22;2;1;0
;;5;Dijkhoff, K.H.D.M.;256;48;19;29;18;16;40;11;28;8;0;29;5;5
;;6;Dekker, S.;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;7;Visser, B.;4;0;0;1;0;0;1;0;0;1;0;1;0;0
;;8;Harbers, M.G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;ten Broeke, J.H.;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Azmani, M.;2;0;0;0;0;0;1;0;0;0;0;0;1;0
;;11;Wiersma, A.D.;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;12;Lodders, W.J.H.;4;0;0;0;2;1;0;0;0;1;0;0;0;0
;;13;van 't Wout, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Becker, B.;5;2;0;0;0;0;2;0;0;0;0;1;0;0
;;15;Duisenberg, P.J.;2;0;0;0;0;0;1;0;0;0;0;1;0;0
;;16;Hermans, S.T.M.;3;1;0;0;0;1;1;0;0;0;0;0;0;0
;;17;Mulder, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Vries, A.;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;19;Ye?ilgöz-Zegerius, D.;3;1;0;0;1;0;0;0;0;0;1;0;0;0
;;20;Rutte, A.C.L.;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;21;Tellegen, O.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Koerhuis, D.A.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Ziengs, E.;5;1;0;0;0;4;0;0;0;0;0;0;0;0
;;24;Bosman, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van den Bosch, A.;182;34;11;12;20;3;10;7;15;5;7;37;17;4
;;26;El Yassini, Z.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Dijkstra, R.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Wörsdörfer, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Weverling, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Nijkerken-de Haan, C.N.A.;10;1;0;1;1;0;1;0;2;0;0;3;1;0
;;31;Potters, S.C.C.M.;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;32;van Oosten, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Koopmans, S.M.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Middendorp, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van der Linde, R.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van Keulen, J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Laan-Geselschap, A.J.M.;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;38;Tielen, J.Z.C.M.;3;1;0;0;0;0;1;0;0;0;0;0;1;0
;;39;Veldman, H.S.;2;0;0;0;0;1;1;0;0;0;0;0;0;0
;;40;Heerema, R.J.;4;0;0;0;0;0;0;0;1;1;1;0;0;1
;;41;van Haga, W.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;de Lange, L.A.;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van Gent, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;de Veth, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Van Wijngaarden, J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;46;Aartsen, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Regterschot, K.;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;48;Smals, B.M.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Pauwels-Paauw, M.S.;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Bolkestein, M.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;51;Snoeren, M.A.J.;2;0;0;0;1;1;0;0;0;0;0;0;0;0
;;52;Heemskerk, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;53;Tönjann-Levert, W.E.;2;0;0;0;1;0;0;0;0;0;0;1;0;0
;;54;van Rijn, R.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;55;de Reus, J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;56;Dral, R.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;57;Korting, I.A.;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;58;Arends-Drijver, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;59;Lock, K.P.;2;0;0;0;0;0;2;0;0;0;0;0;0;0
;;60;Hoekstra, F.;2;0;0;0;0;0;1;0;0;0;0;1;0;0
;;61;van Schie, A.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;62;Struijlaart, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;63;Haseloop-Amsing, T.H.;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;64;Jacobs, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;65;Elbertsen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;66;van Dijk, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;67;Mos, J.;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;68;Böcker, B.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;69;de Rijk, R.H.;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;70;Welter, Y.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;71;Derks, N.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;72;Joziasse, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;73;Bevers, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;74;Prins, A.J.;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;75;Huisman-Peelen, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;76;Bonnevits-de Jong, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;77;Lochtenberg, D.S.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;78;Larson, C.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;79;Zevenbergen, E.F.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;80;van der Weijden, M.;2;1;1;0;0;0;0;0;0;0;0;0;0;0
2;Partij van de Arbeid (P.v.d.A.);;;509;79;23;33;8;39;64;26;26;24;61;80;31;15
;;1;Asscher, L.F.;354;51;15;25;7;28;50;20;17;17;38;50;25;11
;;2;Arib, K.;31;9;4;1;0;2;3;2;0;0;1;5;2;2
;;3;Dijsselbloem, J.R.V.A.;45;7;2;4;0;3;3;2;4;4;7;7;1;1
;;4;Dijksma, S.A.M.;38;7;0;3;1;5;1;1;3;0;7;7;2;1
;;5;van Dijk, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Kuiken, A.H.;2;0;0;0;0;0;0;0;0;0;2;0;0;0
;;7;Nijboer, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van den Hul, K.A.E.;3;0;2;0;0;0;0;0;0;1;0;0;0;0
;;9;Moorlag, W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Ploumen, E.M.J.;11;0;0;0;0;0;1;1;1;1;1;6;0;0
;;11;Kerstens, J.W.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;de Kock, J.C.M.;2;0;0;0;0;1;0;0;0;0;0;1;0;0
;;13;Marcouch, A.;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Volp, M.J.;3;1;0;0;0;0;0;0;1;1;0;0;0;0
;;15;Moti, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Yücel, K.;2;0;0;0;0;0;0;0;0;0;2;0;0;0
;;17;Servaes, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Bozkurt, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van der Linde, I.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Oosterbaan, C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Mohandis, M.;2;0;0;0;0;0;0;0;0;0;0;2;0;0
;;22;Ypma, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Recourt, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Maij, M.E.;2;1;0;0;0;0;0;0;0;0;0;1;0;0
;;25;de Kort, M.V.;3;0;0;0;0;0;2;0;0;0;0;1;0;0
;;26;Roopram, R.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Hoogland, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Schellekens, G.M.M.;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;29;de Vries, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Biemans, M.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Brouwer, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Vos, M.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Reinaerts, J.L.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Dibi, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van Drooge, S.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Asante, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Ünver, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Vermue, J.G.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van Dekken, T.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Hedin-Penninx, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Deen, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Vorselman-Derksen, C.H.W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Pentenga, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van den Boogaard, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Laar, R.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Schrofer, T.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
